method,stage,policy_id,source,seed,generation,valid,is_final_comparison,train_size,unlabeled_size,val_size,test_size,epochs,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,runtime_sec,final_pseudo_mask_rate,final_pseudo_confidence,best_pseudo_mask_rate,best_pseudo_confidence,best_unsupervised_loss,device
fixmatch_standard,fixmatch,strong_standard,fixmatch_named_strong,61,,True,True,1000,10000,1000,2000,15,0.566,0.5551510053175159,0.5675,0.5512035100102725,457.8352921009064,0.0,0.1432924292599543,,,,mps
fixmatch_randaugment,fixmatch,strong_randaugment,fixmatch_named_strong,61,,True,True,1000,10000,1000,2000,15,0.639,0.6365051623081526,0.6205,0.6105111738777231,477.4414572715759,0.6319110576923077,0.8189146709747803,,,,mps
fixmatch_trivialaugment,fixmatch,strong_trivialaugment,fixmatch_named_strong,61,,True,True,1000,10000,1000,2000,15,0.63,0.626799619561219,0.615,0.6108378052526446,466.3779230117798,0.5873397435897436,0.7967087611173972,,,,mps
fixmatch_llm_evolved_cifar_best,fixmatch,fix_llm_gen02_mut_005,openai_ranked_policy_from_supervised_search,61,,True,True,1000,10000,1000,2000,15,0.614,0.6137227717437923,0.59,0.5838242670042952,460.5797588825226,0.6901041666666666,0.8498592949830569,,,,mps
fixmatch_llm_repaired_mut_001,fixmatch,fm_gen01_mut_001_repaired,repaired_openai_ranked_mutation,61,,True,True,1000,10000,1000,2000,15,0.627,0.6206248569650835,0.5905,0.5805318204750257,444.922199010849,0.6813902243589743,0.8449750305750431,0.6813902243589743,0.8449750305750431,0.2183609251410533,mps
fixmatch_standard,fixmatch,strong_standard,fixmatch_named_strong,62,,True,True,1000,10000,1000,2000,15,0.1,0.0181818181818181,0.0965,0.0176014591883264,439.9826340675354,0.0,0.1260567808953615,0.0058092948717948,0.2340037626906847,0.0011187363983108,mps
fixmatch_standard,fixmatch,strong_standard,fixmatch_named_strong,63,,True,True,1000,10000,1000,2000,15,0.564,0.5519214398513189,0.553,0.5400783592318148,450.8365099430084,0.6885016025641025,0.8485852472293072,0.6705729166666666,0.8402960170537997,0.1762622677458402,mps
fixmatch_randaugment,fixmatch,strong_randaugment,fixmatch_named_strong,62,,True,True,1000,10000,1000,2000,15,0.631,0.6244172075317962,0.6035,0.5929960299878523,482.92001366615295,0.6370192307692307,0.8213653480395292,0.6370192307692307,0.8213653480395292,0.3156259472553546,mps
fixmatch_randaugment,fixmatch,strong_randaugment,fixmatch_named_strong,63,,True,True,1000,10000,1000,2000,15,0.61,0.6078421219378607,0.6315,0.6273351382404709,483.3822410106659,0.6309094551282052,0.816892506984564,0.6309094551282052,0.816892506984564,0.3189017770764155,mps
fixmatch_trivialaugment,fixmatch,strong_trivialaugment,fixmatch_named_strong,62,,True,True,1000,10000,1000,2000,15,0.362,0.3619623522031219,0.369,0.3654408506649667,475.9579768180847,0.0,0.1287335967406248,0.0220352564102564,0.3968793780375749,0.0199520364523125,mps
fixmatch_trivialaugment,fixmatch,strong_trivialaugment,fixmatch_named_strong,63,,True,True,1000,10000,1000,2000,15,0.621,0.610852697917524,0.6325,0.6220645938874321,469.3416488170624,0.6129807692307693,0.8066526918839185,0.6129807692307693,0.8066526918839185,0.4919472012000206,mps
fixmatch_llm_evolved_cifar_best,fixmatch,fix_llm_gen02_mut_005,openai_ranked_policy_from_supervised_search,62,,True,True,1000,10000,1000,2000,15,0.548,0.5488030837692895,0.548,0.5399145282029633,444.17132115364075,0.6867988782051282,0.8478139715316968,0.6867988782051282,0.8478139715316968,0.1830639520134681,mps
fixmatch_llm_evolved_cifar_best,fixmatch,fix_llm_gen02_mut_005,openai_ranked_policy_from_supervised_search,63,,True,True,1000,10000,1000,2000,15,0.585,0.5867992332428333,0.58,0.5771162709430262,470.4980311393738,0.6736778846153846,0.8408393393724393,0.6690705128205128,0.8395821108267858,0.1801014294226964,mps
fixmatch_llm_repaired_mut_001,fixmatch,fm_gen01_mut_001_repaired,repaired_openai_ranked_mutation,62,,True,True,1000,10000,1000,2000,15,0.375,0.3501460325802372,0.4025,0.3817905733219321,469.0351679325104,0.0,0.1293381497454949,0.2391826923076923,0.6048480822489812,0.0741946570193156,mps
fixmatch_llm_repaired_mut_001,fixmatch,fm_gen01_mut_001_repaired,repaired_openai_ranked_mutation,63,,True,True,1000,10000,1000,2000,15,0.456,0.4358500752151706,0.4515,0.4324643148351129,460.0349020957947,0.0,0.1238302227396231,0.2419871794871795,0.6140773915327512,0.0716564355609126,mps
