method,stage,policy_id,source,seed,valid,train_size,unlabeled_size,val_size,test_size,epochs,threshold,lambda_u,val_accuracy,val_macro_f1,runtime_sec,device,final_pseudo_mask_rate,final_pseudo_confidence,test_accuracy,test_macro_f1,best_epoch,best_pseudo_mask_rate,best_pseudo_confidence,best_unsupervised_loss
fixmatch_standard,fixmatch,strong_standard,fixmatch_named_strong,61,True,1000,10000,1000,2000,15,0.8,1.0,0.566,0.5551510053175159,457.8352921009064,mps,0.0,0.1432924292599543,0.5675,0.5512035100102725,,,,
fixmatch_randaugment,fixmatch,strong_randaugment,fixmatch_named_strong,61,True,1000,10000,1000,2000,15,0.8,1.0,0.639,0.6365051623081526,477.4414572715759,mps,0.6319110576923077,0.8189146709747803,0.6205,0.6105111738777231,,,,
fixmatch_trivialaugment,fixmatch,strong_trivialaugment,fixmatch_named_strong,61,True,1000,10000,1000,2000,15,0.8,1.0,0.63,0.626799619561219,466.3779230117798,mps,0.5873397435897436,0.7967087611173972,0.615,0.6108378052526446,,,,
fixmatch_llm_evolved_cifar_best,fixmatch,fix_llm_gen02_mut_005,openai_ranked_policy_from_supervised_search,61,True,1000,10000,1000,2000,15,0.8,1.0,0.614,0.6137227717437923,460.5797588825226,mps,0.6901041666666666,0.8498592949830569,0.59,0.5838242670042952,,,,
fixmatch_llm_repaired_mut_001,fixmatch,fm_gen01_mut_001_repaired,repaired_openai_ranked_mutation,61,True,1000,10000,1000,2000,15,0.8,1.0,0.627,0.6206248569650835,444.922199010849,mps,0.6813902243589743,0.8449750305750431,0.5905,0.5805318204750257,15.0,0.6813902243589743,0.8449750305750431,0.2183609251410533
fixmatch_standard,fixmatch,strong_standard,fixmatch_named_strong,62,True,1000,10000,1000,2000,15,0.8,1.0,0.1,0.01818181818181818,439.9826340675354,mps,0.0,0.12605678089536154,0.0965,0.017601459188326493,1.0,0.005809294871794872,0.23400376269068474,0.0011187363983108066
fixmatch_standard,fixmatch,strong_standard,fixmatch_named_strong,63,True,1000,10000,1000,2000,15,0.8,1.0,0.564,0.5519214398513189,450.8365099430084,mps,0.6885016025641025,0.8485852472293072,0.553,0.5400783592318148,14.0,0.6705729166666666,0.8402960170537997,0.17626226774584025
fixmatch_randaugment,fixmatch,strong_randaugment,fixmatch_named_strong,62,True,1000,10000,1000,2000,15,0.8,1.0,0.631,0.6244172075317962,482.92001366615295,mps,0.6370192307692307,0.8213653480395292,0.6035,0.5929960299878523,15.0,0.6370192307692307,0.8213653480395292,0.31562594725535464
fixmatch_randaugment,fixmatch,strong_randaugment,fixmatch_named_strong,63,True,1000,10000,1000,2000,15,0.8,1.0,0.61,0.6078421219378607,483.3822410106659,mps,0.6309094551282052,0.816892506984564,0.6315,0.6273351382404709,15.0,0.6309094551282052,0.816892506984564,0.31890177707641554
fixmatch_trivialaugment,fixmatch,strong_trivialaugment,fixmatch_named_strong,62,True,1000,10000,1000,2000,15,0.8,1.0,0.362,0.36196235220312195,475.9579768180847,mps,0.0,0.12873359674062484,0.369,0.36544085066496673,1.0,0.022035256410256412,0.39687937803757495,0.0199520364523125
fixmatch_trivialaugment,fixmatch,strong_trivialaugment,fixmatch_named_strong,63,True,1000,10000,1000,2000,15,0.8,1.0,0.621,0.610852697917524,469.3416488170624,mps,0.6129807692307693,0.8066526918839185,0.6325,0.6220645938874321,15.0,0.6129807692307693,0.8066526918839185,0.4919472012000206
fixmatch_llm_evolved_cifar_best,fixmatch,fix_llm_gen02_mut_005,openai_ranked_policy_from_supervised_search,62,True,1000,10000,1000,2000,15,0.8,1.0,0.548,0.5488030837692895,444.17132115364075,mps,0.6867988782051282,0.8478139715316968,0.548,0.5399145282029633,15.0,0.6867988782051282,0.8478139715316968,0.18306395201346812
fixmatch_llm_evolved_cifar_best,fixmatch,fix_llm_gen02_mut_005,openai_ranked_policy_from_supervised_search,63,True,1000,10000,1000,2000,15,0.8,1.0,0.585,0.5867992332428333,470.4980311393738,mps,0.6736778846153846,0.8408393393724393,0.58,0.5771162709430262,13.0,0.6690705128205128,0.8395821108267858,0.18010142942269644
fixmatch_llm_repaired_mut_001,fixmatch,fm_gen01_mut_001_repaired,repaired_openai_ranked_mutation,62,True,1000,10000,1000,2000,15,0.8,1.0,0.375,0.35014603258023724,469.0351679325104,mps,0.0,0.1293381497454949,0.4025,0.3817905733219321,3.0,0.23918269230769232,0.6048480822489812,0.07419465701931562
fixmatch_llm_repaired_mut_001,fixmatch,fm_gen01_mut_001_repaired,repaired_openai_ranked_mutation,63,True,1000,10000,1000,2000,15,0.8,1.0,0.456,0.43585007521517066,460.0349020957947,mps,0.0,0.12383022273962314,0.4515,0.43246431483511294,3.0,0.2419871794871795,0.6140773915327512,0.07165643556091265
