method,stage,policy_id,source,seed,generation,valid,is_final_comparison,train_size,unlabeled_size,val_size,test_size,epochs,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,runtime_sec,final_pseudo_mask_rate,final_pseudo_confidence,best_pseudo_mask_rate,best_pseudo_confidence,best_unsupervised_loss,device
none,baseline,,,47,,True,True,1000,,1000,2000,,0.371,0.3473365746011933,0.342,0.3241978844916062,30.221981287002563,,,,,,mps
none,baseline,,,48,,True,True,1000,,1000,2000,,0.374,0.3577838321386766,0.36,0.346815146708103,28.96191167831421,,,,,,mps
none,baseline,,,49,,True,True,1000,,1000,2000,,0.374,0.3752985432516033,0.3635,0.3632118160793748,29.16812300682068,,,,,,mps
standard,baseline,,,47,,True,True,1000,,1000,2000,,0.439,0.4320629777883279,0.462,0.4466091257999304,30.186825037002563,,,,,,mps
standard,baseline,,,48,,True,True,1000,,1000,2000,,0.448,0.4356255854576655,0.4375,0.4185614900555549,29.88232707977295,,,,,,mps
standard,baseline,,,49,,True,True,1000,,1000,2000,,0.48,0.4728530664859408,0.447,0.4368089841162204,30.023475885391235,,,,,,mps
standard_mixup,baseline,,,47,,True,True,1000,,1000,2000,,0.443,0.4438686532207979,0.4525,0.4430857415849892,30.8634729385376,,,,,,mps
standard_mixup,baseline,,,48,,True,True,1000,,1000,2000,,0.473,0.4659306490937704,0.439,0.4274162309383584,29.996649980545044,,,,,,mps
standard_mixup,baseline,,,49,,True,True,1000,,1000,2000,,0.46,0.4505369764333657,0.4465,0.4335720719105269,30.234022855758667,,,,,,mps
standard_cutmix,baseline,,,47,,True,True,1000,,1000,2000,,0.444,0.4327310116129547,0.4645,0.4507409880350941,30.29140877723694,,,,,,mps
standard_cutmix,baseline,,,48,,True,True,1000,,1000,2000,,0.478,0.470542615039964,0.4625,0.4467243273313723,30.22551012039185,,,,,,mps
standard_cutmix,baseline,,,49,,True,True,1000,,1000,2000,,0.474,0.4446549000551923,0.444,0.4141992891904439,30.185609817504883,,,,,,mps
randaugment,baseline,,,47,,True,True,1000,,1000,2000,,0.449,0.4304163122695453,0.4445,0.4232964130412083,31.017807006835938,,,,,,mps
randaugment,baseline,,,48,,True,True,1000,,1000,2000,,0.482,0.4786604879871633,0.481,0.4671037668622245,31.08156800270081,,,,,,mps
randaugment,baseline,,,49,,True,True,1000,,1000,2000,,0.436,0.4381688259743456,0.418,0.4168871304495559,30.922651052474976,,,,,,mps
trivialaugment,baseline,,,47,,True,True,1000,,1000,2000,,0.388,0.3791992535544538,0.393,0.382033291826583,31.491765022277832,,,,,,mps
trivialaugment,baseline,,,48,,True,True,1000,,1000,2000,,0.411,0.3917816639188011,0.4085,0.3828245957387863,31.277891159057617,,,,,,mps
trivialaugment,baseline,,,49,,True,True,1000,,1000,2000,,0.371,0.3186608988930185,0.369,0.3148395628563859,30.05121397972107,,,,,,mps
supervised_llm_evolved_best,one_shot,gen02_mut_005,openai_ranked_mutation,47,,True,True,1000,,1000,2000,15,0.477,0.469484995182171,0.4625,0.4479805647426782,31.45910906791687,,,,,,mps
supervised_llm_evolved_best,one_shot,gen02_mut_005,openai_ranked_mutation,48,,True,True,1000,,1000,2000,15,0.473,0.4593655738532546,0.4545,0.441433194269034,30.668571949005127,,,,,,mps
supervised_llm_evolved_best,one_shot,gen02_mut_005,openai_ranked_mutation,49,,True,True,1000,,1000,2000,15,0.441,0.4319353136833194,0.428,0.4158895746513239,30.808689832687374,,,,,,mps
