method,seed,train_size,val_size,test_size,val_accuracy,val_macro_f1,runtime_sec,device,test_accuracy,test_macro_f1
none,47,1000,1000,2000,0.371,0.3473365746011933,30.221981287002563,mps,0.342,0.3241978844916062
none,48,1000,1000,2000,0.374,0.3577838321386766,28.96191167831421,mps,0.36,0.34681514670810304
none,49,1000,1000,2000,0.374,0.37529854325160333,29.16812300682068,mps,0.3635,0.36321181607937486
standard,47,1000,1000,2000,0.439,0.4320629777883279,30.186825037002563,mps,0.462,0.4466091257999304
standard,48,1000,1000,2000,0.448,0.43562558545766555,29.88232707977295,mps,0.4375,0.4185614900555549
standard,49,1000,1000,2000,0.48,0.47285306648594083,30.023475885391235,mps,0.447,0.43680898411622043
standard_mixup,47,1000,1000,2000,0.443,0.44386865322079794,30.863472938537598,mps,0.4525,0.4430857415849892
standard_mixup,48,1000,1000,2000,0.473,0.46593064909377047,29.996649980545044,mps,0.439,0.4274162309383584
standard_mixup,49,1000,1000,2000,0.46,0.45053697643336577,30.234022855758667,mps,0.4465,0.4335720719105269
standard_cutmix,47,1000,1000,2000,0.444,0.43273101161295474,30.29140877723694,mps,0.4645,0.45074098803509416
standard_cutmix,48,1000,1000,2000,0.478,0.470542615039964,30.225510120391846,mps,0.4625,0.44672432733137235
standard_cutmix,49,1000,1000,2000,0.474,0.4446549000551923,30.185609817504883,mps,0.444,0.4141992891904439
randaugment,47,1000,1000,2000,0.449,0.4304163122695453,31.017807006835938,mps,0.4445,0.4232964130412083
randaugment,48,1000,1000,2000,0.482,0.4786604879871633,31.081568002700806,mps,0.481,0.46710376686222455
randaugment,49,1000,1000,2000,0.436,0.43816882597434564,30.922651052474976,mps,0.418,0.41688713044955594
trivialaugment,47,1000,1000,2000,0.388,0.37919925355445383,31.491765022277832,mps,0.393,0.382033291826583
trivialaugment,48,1000,1000,2000,0.411,0.39178166391880115,31.277891159057617,mps,0.4085,0.38282459573878636
trivialaugment,49,1000,1000,2000,0.371,0.3186608988930185,30.05121397972107,mps,0.369,0.3148395628563859
