generation,source,operation,count,mean_probability,mean_magnitude
0,baseline_seed:randaugment,Affine,1,0.35,0.3
0,baseline_seed:randaugment,ColorJitter,1,0.55,0.35
0,baseline_seed:randaugment,GaussianBlur,1,0.2,0.2
0,baseline_seed:randaugment,HorizontalFlip,1,0.5,0.0
0,baseline_seed:randaugment,Posterize,1,0.15,0.25
0,baseline_seed:randaugment,RandomCrop,1,1.0,0.45
0,baseline_seed:randaugment,Rotation,1,0.45,0.3
0,baseline_seed:randaugment,Solarize,1,0.2,0.3
0,baseline_seed:standard,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard,RandomCrop,1,1.0,0.45
0,baseline_seed:trivialaugment,ColorJitter,1,0.55,0.3
0,baseline_seed:trivialaugment,HorizontalFlip,1,0.5,0.0
0,baseline_seed:trivialaugment,RandomCrop,1,1.0,0.4
0,baseline_seed:trivialaugment,Rotation,1,0.4,0.25
0,supervised_openai_ranked_policy,ColorJitter,1,0.16,0.12
0,supervised_openai_ranked_policy,HorizontalFlip,1,0.5,0.0
0,supervised_openai_ranked_policy,RandomCrop,1,1.0,0.32
1,openai_ranked_mutation,Affine,2,0.19,0.16
1,openai_ranked_mutation,ColorJitter,2,0.37,0.21
1,openai_ranked_mutation,GaussianBlur,2,0.1,0.11
1,openai_ranked_mutation,HorizontalFlip,4,0.5,0.0
1,openai_ranked_mutation,RandomCrop,4,1.0,0.405
1,openai_ranked_mutation,Rotation,2,0.27,0.18
1,openai_ranked_mutation,Solarize,2,0.1,0.18
