policy_id,generation,source,operation,probability,magnitude
seed_00_standard,0,baseline_seed:standard,RandomCrop,1.0,0.45
seed_00_standard,0,baseline_seed:standard,HorizontalFlip,0.5,0.0
seed_01_randaugment,0,baseline_seed:randaugment,RandomCrop,1.0,0.45
seed_01_randaugment,0,baseline_seed:randaugment,HorizontalFlip,0.5,0.0
seed_01_randaugment,0,baseline_seed:randaugment,ColorJitter,0.55,0.35
seed_01_randaugment,0,baseline_seed:randaugment,Rotation,0.45,0.3
seed_01_randaugment,0,baseline_seed:randaugment,Affine,0.35,0.3
seed_01_randaugment,0,baseline_seed:randaugment,Solarize,0.2,0.3
seed_01_randaugment,0,baseline_seed:randaugment,Posterize,0.15,0.25
seed_01_randaugment,0,baseline_seed:randaugment,GaussianBlur,0.2,0.2
seed_02_trivialaugment,0,baseline_seed:trivialaugment,RandomCrop,1.0,0.4
seed_02_trivialaugment,0,baseline_seed:trivialaugment,HorizontalFlip,0.5,0.0
seed_02_trivialaugment,0,baseline_seed:trivialaugment,ColorJitter,0.55,0.3
seed_02_trivialaugment,0,baseline_seed:trivialaugment,Rotation,0.4,0.25
init_supervised_llm_gen02_mut_005,0,supervised_openai_ranked_policy,RandomCrop,1.0,0.32
init_supervised_llm_gen02_mut_005,0,supervised_openai_ranked_policy,HorizontalFlip,0.5,0.0
init_supervised_llm_gen02_mut_005,0,supervised_openai_ranked_policy,ColorJitter,0.16,0.12
fm_gen01_cross_000,1,openai_ranked_mutation,RandomCrop,1.0,0.4
fm_gen01_cross_000,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
fm_gen01_cross_000,1,openai_ranked_mutation,ColorJitter,0.32,0.18
fm_gen01_cross_000,1,openai_ranked_mutation,RandomCrop,1.0,0.4
fm_gen01_cross_000,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
fm_gen01_cross_000,1,openai_ranked_mutation,Rotation,0.22,0.16
fm_gen01_cross_000,1,openai_ranked_mutation,Solarize,0.1,0.18
fm_gen01_cross_000,1,openai_ranked_mutation,RandomCrop,1.0,0.4
fm_gen01_cross_000,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
fm_gen01_cross_000,1,openai_ranked_mutation,Affine,0.16,0.14
fm_gen01_cross_000,1,openai_ranked_mutation,GaussianBlur,0.1,0.1
fm_gen01_mut_001,1,openai_ranked_mutation,RandomCrop,1.0,0.42
fm_gen01_mut_001,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
fm_gen01_mut_001,1,openai_ranked_mutation,ColorJitter,0.42,0.24
fm_gen01_mut_001,1,openai_ranked_mutation,Rotation,0.32,0.2
fm_gen01_mut_001,1,openai_ranked_mutation,Affine,0.22,0.18
fm_gen01_mut_001,1,openai_ranked_mutation,Solarize,0.1,0.18
fm_gen01_mut_001,1,openai_ranked_mutation,GaussianBlur,0.1,0.12
