method,policy_id,generation,source,valid,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy,full_test_macro_f1,runtime_sec
pure_evolution,heuristic_init_000,0,heuristic,True,0.315,0.2899697230873048,,,,4.582484006881714
pure_evolution,heuristic_init_001,0,heuristic,True,0.338,0.320950677832082,,,,4.122737884521484
pure_evolution,heuristic_init_002,0,heuristic,True,0.341,0.3310031774684986,,,,3.56518816947937
pure_evolution,heuristic_init_003,0,heuristic,True,0.259,0.23479190614277773,,,,3.5222883224487305
pure_evolution,heuristic_init_004,0,heuristic,True,0.326,0.31169594741888834,,,,4.268476963043213
pure_evolution,heuristic_init_005,0,heuristic,True,0.308,0.2757315707387729,,,,3.554191827774048
pure_evolution,heuristic_init_006,0,heuristic,True,0.312,0.29690026073329395,,,,4.504392862319946
pure_evolution,heuristic_init_007,0,heuristic,True,0.3,0.29040079185601547,,,,3.5670790672302246
pure_evolution,gen01_mut_000,1,pure_evolution_mutation,True,0.353,0.34452300893437143,,,,3.5519330501556396
pure_evolution,gen01_mut_001,1,pure_evolution_mutation,True,0.389,0.37321988069618656,0.394,0.3895,0.3762817965090805,27.20769500732422
pure_evolution,gen01_mut_002,1,pure_evolution_mutation,True,0.377,0.36374450401561004,,,,4.2343809604644775
pure_evolution,gen01_cross_003,1,pure_evolution_crossover,True,0.308,0.2854958670356956,,,,3.605163097381592
pure_evolution,gen01_mut_004,1,pure_evolution_mutation,True,0.383,0.36795155018221687,0.41,0.428,0.418963686816552,27.42973804473877
pure_evolution,gen01_mut_005,1,pure_evolution_mutation,True,0.367,0.3361840678289173,,,,4.223801136016846
pure_evolution,gen01_cross_006,1,pure_evolution_crossover,True,0.351,0.34799963956782914,,,,3.6187500953674316
pure_evolution,gen01_mut_007,1,pure_evolution_mutation,True,0.371,0.36749765847589816,,,,3.4743947982788086
pure_evolution,gen02_mut_000,2,pure_evolution_mutation,True,0.329,0.32961322630853607,,,,4.012969970703125
pure_evolution,gen02_mut_001,2,pure_evolution_mutation,True,0.328,0.3286464323334897,,,,3.666836977005005
pure_evolution,gen02_mut_002,2,pure_evolution_mutation,True,0.345,0.3218784773492476,,,,4.214478015899658
pure_evolution,gen02_cross_003,2,pure_evolution_crossover,True,0.405,0.40686866145994466,0.362,0.381,0.36996152827350476,22.382630825042725
pure_evolution,gen02_mut_004,2,pure_evolution_mutation,True,0.318,0.2787173623462703,,,,3.9529430866241455
pure_evolution,gen02_mut_005,2,pure_evolution_mutation,True,0.362,0.35200309314542216,,,,4.139865875244141
pure_evolution,gen02_cross_006,2,pure_evolution_crossover,True,0.362,0.3529700933175706,,,,4.503051042556763
pure_evolution,gen02_mut_007,2,pure_evolution_mutation,True,0.304,0.28076594088231405,,,,3.5834648609161377
pure_evolution,gen03_mut_000,3,pure_evolution_mutation,True,0.335,0.3119346745877941,,,,3.3426759243011475
pure_evolution,gen03_mut_001,3,pure_evolution_mutation,True,0.31,0.2856696945708953,,,,4.381435871124268
pure_evolution,gen03_mut_002,3,pure_evolution_mutation,True,0.327,0.31492063207984367,,,,3.999985933303833
pure_evolution,gen03_cross_003,3,pure_evolution_crossover,True,0.328,0.3202933679660527,,,,3.552408218383789
pure_evolution,gen03_mut_004,3,pure_evolution_mutation,True,0.301,0.264379539771498,,,,4.219426155090332
pure_evolution,gen03_mut_005,3,pure_evolution_mutation,True,0.355,0.3353670018265661,,,,4.136198997497559
pure_evolution,gen03_cross_006,3,pure_evolution_crossover,True,0.339,0.3262434530993986,,,,3.4606382846832275
pure_evolution,gen03_mut_007,3,pure_evolution_mutation,True,0.355,0.3491854878129427,,,,4.128118991851807
