policy_id,generation,source,status,validation_ok,num_sub_policies,num_operations,mean_probability,mean_magnitude,mixup_alpha,cutmix_alpha,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,rough_evaluated,True,3,3,0.5866666666666667,0.4366666666666667,0.26,0.0,0.315,0.2899697230873048,,
heuristic_init_001,0,heuristic,rough_evaluated,True,3,5,0.5780000000000001,0.5900000000000001,0.0,0.0,0.338,0.320950677832082,,
heuristic_init_002,0,heuristic,rough_evaluated,True,3,5,0.45,0.42400000000000004,0.0,0.0,0.341,0.3310031774684986,,
heuristic_init_003,0,heuristic,rough_evaluated,True,2,2,0.6799999999999999,0.475,0.0,0.0,0.259,0.23479190614277773,,
heuristic_init_004,0,heuristic,rough_evaluated,True,3,8,0.45625,0.5425,0.0,0.0,0.326,0.31169594741888834,,
heuristic_init_005,0,heuristic,rough_evaluated,True,1,3,0.58,0.57,0.0,0.45,0.308,0.2757315707387729,,
heuristic_init_006,0,heuristic,rough_evaluated,True,2,4,0.6900000000000001,0.5225,0.0,0.0,0.312,0.29690026073329395,,
heuristic_init_007,0,heuristic,rough_evaluated,True,1,2,0.5,0.445,0.0,0.0,0.3,0.29040079185601547,,
gen01_mut_000,1,pure_evolution_mutation,rough_evaluated,True,3,5,0.46799999999999997,0.45599999999999996,0.0,0.0,0.353,0.34452300893437143,,
gen01_mut_001,1,pure_evolution_mutation,full_evaluated,True,3,5,0.688,0.496,0.0,0.0,0.389,0.37321988069618656,0.394,0.3895
gen01_mut_002,1,pure_evolution_mutation,rough_evaluated,True,3,7,0.45,0.4985714285714286,0.0,0.0,0.377,0.36374450401561004,,
gen01_cross_003,1,pure_evolution_crossover,rough_evaluated,True,2,2,0.52,0.47,0.0,0.0,0.308,0.2854958670356956,,
gen01_mut_004,1,pure_evolution_mutation,full_evaluated,True,3,6,0.6316666666666667,0.5916666666666667,0.0,0.0,0.383,0.36795155018221687,0.41,0.428
gen01_mut_005,1,pure_evolution_mutation,rough_evaluated,True,3,7,0.45,0.4985714285714286,0.0,0.0,0.367,0.3361840678289173,,
gen01_cross_006,1,pure_evolution_crossover,rough_evaluated,True,2,4,0.5,0.565,0.0,0.0,0.351,0.34799963956782914,,
gen01_mut_007,1,pure_evolution_mutation,rough_evaluated,True,4,5,0.48,0.642,0.0,0.0,0.371,0.36749765847589816,,
gen02_mut_000,2,pure_evolution_mutation,rough_evaluated,True,4,5,0.654,0.47000000000000003,0.0,0.0,0.329,0.32961322630853607,,
gen02_mut_001,2,pure_evolution_mutation,rough_evaluated,True,3,6,0.5766666666666667,0.6066666666666666,0.0,0.0,0.328,0.3286464323334897,,
gen02_mut_002,2,pure_evolution_mutation,rough_evaluated,True,3,7,0.44571428571428573,0.4928571428571429,0.0,0.0,0.345,0.3218784773492476,,
gen02_cross_003,2,pure_evolution_crossover,full_evaluated,True,2,2,0.895,0.33,0.0,0.0,0.405,0.40686866145994466,0.362,0.381
gen02_mut_004,2,pure_evolution_mutation,rough_evaluated,True,4,6,0.6466666666666666,0.6166666666666667,0.0,0.0,0.318,0.2787173623462703,,
gen02_mut_005,2,pure_evolution_mutation,rough_evaluated,True,4,7,0.43857142857142856,0.4614285714285714,0.0,0.0,0.362,0.35200309314542216,,
gen02_cross_006,2,pure_evolution_crossover,rough_evaluated,True,2,4,0.6425000000000001,0.5525,0.0,0.0,0.362,0.3529700933175706,,
gen02_mut_007,2,pure_evolution_mutation,rough_evaluated,True,3,5,0.6100000000000001,0.632,0.0,0.0,0.304,0.28076594088231405,,
gen03_mut_000,3,pure_evolution_mutation,rough_evaluated,True,3,2,0.895,0.33,0.0,0.0,0.335,0.3119346745877941,,
gen03_mut_001,3,pure_evolution_mutation,rough_evaluated,True,3,5,0.75,0.506,0.0,0.0,0.31,0.2856696945708953,,
gen03_mut_002,3,pure_evolution_mutation,rough_evaluated,True,3,5,0.626,0.5660000000000001,0.0,0.0,0.327,0.31492063207984367,,
gen03_cross_003,3,pure_evolution_crossover,rough_evaluated,True,2,2,0.87,0.27,0.0,0.0,0.328,0.3202933679660527,,
gen03_mut_004,3,pure_evolution_mutation,rough_evaluated,True,3,6,0.69,0.5233333333333333,0.0,0.0,0.301,0.264379539771498,,
gen03_mut_005,3,pure_evolution_mutation,rough_evaluated,True,3,5,0.6940000000000001,0.562,0.0,0.0,0.355,0.3353670018265661,,
gen03_cross_006,3,pure_evolution_crossover,rough_evaluated,True,2,2,0.895,0.33,0.0,0.0,0.339,0.3262434530993986,,
gen03_mut_007,3,pure_evolution_mutation,rough_evaluated,True,3,5,0.674,0.45199999999999996,0.0,0.0,0.355,0.3491854878129427,,
