policy_id,generation,source,parent_ids,status,rough_val_accuracy,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,,rough_evaluated,0.315,,
heuristic_init_001,0,heuristic,,rough_evaluated,0.338,,
heuristic_init_002,0,heuristic,,rough_evaluated,0.341,,
heuristic_init_003,0,heuristic,,rough_evaluated,0.259,,
heuristic_init_004,0,heuristic,,rough_evaluated,0.326,,
heuristic_init_005,0,heuristic,,rough_evaluated,0.308,,
heuristic_init_006,0,heuristic,,rough_evaluated,0.312,,
heuristic_init_007,0,heuristic,,rough_evaluated,0.3,,
gen01_mut_000,1,pure_evolution_mutation,heuristic_init_002,rough_evaluated,0.353,,
gen01_mut_001,1,pure_evolution_mutation,heuristic_init_001,full_evaluated,0.389,0.394,0.3895
gen01_mut_002,1,pure_evolution_mutation,heuristic_init_004,rough_evaluated,0.377,,
gen01_cross_003,1,pure_evolution_crossover,heuristic_init_002;heuristic_init_002,rough_evaluated,0.308,,
gen01_mut_004,1,pure_evolution_mutation,heuristic_init_001,full_evaluated,0.383,0.41,0.428
gen01_mut_005,1,pure_evolution_mutation,heuristic_init_004,rough_evaluated,0.367,,
gen01_cross_006,1,pure_evolution_crossover,heuristic_init_002;heuristic_init_002,rough_evaluated,0.351,,
gen01_mut_007,1,pure_evolution_mutation,heuristic_init_001,rough_evaluated,0.371,,
gen02_mut_000,2,pure_evolution_mutation,gen01_mut_001,rough_evaluated,0.329,,
gen02_mut_001,2,pure_evolution_mutation,gen01_mut_004,rough_evaluated,0.328,,
gen02_mut_002,2,pure_evolution_mutation,gen01_mut_002,rough_evaluated,0.345,,
gen02_cross_003,2,pure_evolution_crossover,gen01_mut_001;gen01_mut_001,full_evaluated,0.405,0.362,0.381
gen02_mut_004,2,pure_evolution_mutation,gen01_mut_004,rough_evaluated,0.318,,
gen02_mut_005,2,pure_evolution_mutation,gen01_mut_002,rough_evaluated,0.362,,
gen02_cross_006,2,pure_evolution_crossover,gen01_mut_001;gen01_mut_001,rough_evaluated,0.362,,
gen02_mut_007,2,pure_evolution_mutation,gen01_mut_004,rough_evaluated,0.304,,
gen03_mut_000,3,pure_evolution_mutation,gen02_cross_003,rough_evaluated,0.335,,
gen03_mut_001,3,pure_evolution_mutation,gen01_mut_001,rough_evaluated,0.31,,
gen03_mut_002,3,pure_evolution_mutation,gen01_mut_004,rough_evaluated,0.327,,
gen03_cross_003,3,pure_evolution_crossover,gen02_cross_003;gen02_cross_003,rough_evaluated,0.328,,
gen03_mut_004,3,pure_evolution_mutation,gen01_mut_001,rough_evaluated,0.301,,
gen03_mut_005,3,pure_evolution_mutation,gen01_mut_004,rough_evaluated,0.355,,
gen03_cross_006,3,pure_evolution_crossover,gen02_cross_003;gen02_cross_003,rough_evaluated,0.339,,
gen03_mut_007,3,pure_evolution_mutation,gen01_mut_001,rough_evaluated,0.355,,
