generation,source,operation,count,mean_probability,mean_magnitude
0,heuristic,Affine,2,0.5449999999999999,0.565
0,heuristic,ColorJitter,6,0.665,0.5733333333333334
0,heuristic,GaussianBlur,4,0.5425,0.505
0,heuristic,Grayscale,3,0.45,0.4666666666666666
0,heuristic,HorizontalFlip,3,0.49666666666666665,0.61
0,heuristic,RandomCrop,3,0.55,0.39666666666666667
0,heuristic,RandomErasing,4,0.5575,0.48
0,heuristic,Rotation,7,0.49142857142857144,0.49000000000000005
1,pure_evolution_crossover,ColorJitter,4,0.41500000000000004,0.415
1,pure_evolution_crossover,Rotation,2,0.69,0.77
1,pure_evolution_mutation,Affine,3,0.5333333333333333,0.5333333333333333
1,pure_evolution_mutation,ColorJitter,5,0.5800000000000001,0.63
1,pure_evolution_mutation,GaussianBlur,6,0.58,0.5066666666666667
1,pure_evolution_mutation,HorizontalFlip,3,0.4166666666666667,0.61
1,pure_evolution_mutation,Posterize,1,0.87,0.27
1,pure_evolution_mutation,RandomErasing,2,0.42,0.54
1,pure_evolution_mutation,Rotation,15,0.4886666666666667,0.502
2,pure_evolution_crossover,ColorJitter,1,0.66,0.72
2,pure_evolution_crossover,GaussianBlur,1,0.74,0.39
2,pure_evolution_crossover,Posterize,1,0.87,0.27
2,pure_evolution_crossover,Rotation,3,0.6966666666666667,0.49666666666666665
2,pure_evolution_mutation,Affine,5,0.6799999999999999,0.5599999999999999
2,pure_evolution_mutation,ColorJitter,4,0.66,0.72
2,pure_evolution_mutation,GaussianBlur,7,0.5457142857142857,0.4742857142857143
2,pure_evolution_mutation,HorizontalFlip,2,0.385,0.79
2,pure_evolution_mutation,Posterize,2,0.64,0.375
2,pure_evolution_mutation,RandomErasing,1,0.42,0.54
2,pure_evolution_mutation,Rotation,15,0.5013333333333333,0.5106666666666667
3,pure_evolution_crossover,Posterize,3,0.87,0.27
3,pure_evolution_crossover,Rotation,1,0.92,0.39
3,pure_evolution_mutation,Affine,2,0.9,0.6
3,pure_evolution_mutation,ColorJitter,4,0.66,0.72
3,pure_evolution_mutation,GaussianBlur,5,0.726,0.346
3,pure_evolution_mutation,Grayscale,1,0.7,0.66
3,pure_evolution_mutation,Posterize,4,0.87,0.27
3,pure_evolution_mutation,RandomErasing,1,0.56,0.76
3,pure_evolution_mutation,Rotation,11,0.6218181818181818,0.5381818181818182
