method,stage,policy_id,source,seed,generation,valid,is_final_comparison,train_size,val_size,test_size,epochs,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,runtime_sec,device
none,baseline,,,42,,True,True,1000,1000,2000,,0.389,0.3830478858281967,0.3885,0.3837172493538882,18.521108150482178,mps
none,baseline,,,43,,True,True,1000,1000,2000,,0.421,0.419931095986112,0.409,0.406143157689313,18.038081169128414,mps
none,baseline,,,44,,True,True,1000,1000,2000,,0.391,0.3834020316773892,0.3705,0.362858265104666,17.47546696662903,mps
standard,baseline,,,42,,True,True,1000,1000,2000,,0.43,0.419621396009698,0.4505,0.435828616889215,19.888291120529175,mps
standard,baseline,,,43,,True,True,1000,1000,2000,,0.461,0.4553574404668271,0.4355,0.4244909845922642,19.93661093711853,mps
standard,baseline,,,44,,True,True,1000,1000,2000,,0.437,0.4352773056669788,0.4095,0.4031829290266104,20.288698196411133,mps
autoaugment,baseline,,,42,,True,True,1000,1000,2000,,0.398,0.3828291620179636,0.4115,0.3911059673843353,22.48367214202881,mps
autoaugment,baseline,,,43,,True,True,1000,1000,2000,,0.392,0.3925614517731893,0.3805,0.3805109666482281,22.069581985473633,mps
autoaugment,baseline,,,44,,True,True,1000,1000,2000,,0.391,0.3833589116035844,0.403,0.3913117991543766,23.313265085220337,mps
randaugment,baseline,,,42,,True,True,1000,1000,2000,,0.427,0.4142625625569513,0.4495,0.4356838191110486,21.53835678100586,mps
randaugment,baseline,,,43,,True,True,1000,1000,2000,,0.437,0.4309993153993482,0.4375,0.4272380125000568,21.066309928894043,mps
randaugment,baseline,,,44,,True,True,1000,1000,2000,,0.441,0.4278284279661766,0.432,0.417368091601202,20.938331842422485,mps
trivialaugment,baseline,,,42,,True,True,1000,1000,2000,,0.455,0.4435789654744329,0.4465,0.4349175880043529,20.055482149124146,mps
trivialaugment,baseline,,,43,,True,True,1000,1000,2000,,0.427,0.4084941356654316,0.41,0.3891523938028758,19.797182083129883,mps
trivialaugment,baseline,,,44,,True,True,1000,1000,2000,,0.407,0.3959406974484764,0.4155,0.3935747975078375,19.820548057556152,mps
augmix,baseline,,,42,,True,True,1000,1000,2000,,0.387,0.3826392518581551,0.395,0.3872730826509208,46.55468201637268,mps
augmix,baseline,,,43,,True,True,1000,1000,2000,,0.405,0.3980588666136443,0.394,0.3869521145790236,46.709969997406006,mps
augmix,baseline,,,44,,True,True,1000,1000,2000,,0.396,0.3887909752783451,0.376,0.3651483828919602,46.37889814376831,mps
one_shot_llm,one_shot,one_shot_000,one_shot_heuristic_llm,,,True,True,1000,1000,2000,30,0.426,0.4191675317333461,0.4525,0.4439372197625598,19.775655031204224,mps
random_search,random_rough,random_000,random_search,,,True,False,1000,1000,2000,5,0.32,0.290857800045151,,,3.3198630809783936,mps
random_search,random_rough,random_001,random_search,,,True,False,1000,1000,2000,5,0.253,0.2189570297492479,,,3.762763023376465,mps
random_search,random_rough,random_002,random_search,,,True,False,1000,1000,2000,5,0.289,0.2596349972274928,,,3.69280219078064,mps
random_search,random_rough,random_003,random_search,,,True,False,1000,1000,2000,5,0.318,0.3084236461383601,,,3.609122037887573,mps
random_search,random_rough,random_004,random_search,,,True,False,1000,1000,2000,5,0.324,0.3206601527760612,,,3.2802059650421143,mps
random_search,random_rough,random_005,random_search,,,True,False,1000,1000,2000,5,0.283,0.251980831804633,,,4.057434797286987,mps
random_search,random_rough,random_006,random_search,,,True,False,1000,1000,2000,5,0.271,0.2448300097024784,,,3.765788793563843,mps
random_search,random_rough,random_007,random_search,,,True,False,1000,1000,2000,5,0.304,0.2841689335048367,,,3.844681978225708,mps
random_search,random_rough,random_008,random_search,,,True,False,1000,1000,2000,5,0.329,0.3160063228345883,,,4.471102952957153,mps
random_search,random_rough,random_009,random_search,,,True,False,1000,1000,2000,5,0.203,0.1320186112226711,,,3.4710259437561035,mps
random_search,random_rough,random_010,random_search,,,True,False,1000,1000,2000,5,0.207,0.158111132751376,,,4.466671705245972,mps
random_search,random_rough,random_011,random_search,,,True,False,1000,1000,2000,5,0.312,0.3028627495128841,,,3.5444841384887695,mps
random_search_full,random_full,random_008,random_search,,,True,True,1000,1000,2000,30,0.419,0.4102787907127855,0.409,0.3953913500627301,25.47954297065735,mps
random_search_full,random_full,random_004,random_search,,,True,True,1000,1000,2000,30,0.378,0.3762693921707801,0.401,0.3948228617207249,18.04678726196289,mps
random_search_full,random_full,random_000,random_search,,,True,True,1000,1000,2000,30,0.367,0.3622054523364669,0.376,0.3705336509845466,18.26835036277771,mps
llm_guided_evolution,evolution_rough,heuristic_init_000,heuristic,,0,True,False,,,,,0.319,0.2979999447661376,,,4.840051174163818,
llm_guided_evolution,evolution_rough,heuristic_init_001,heuristic,,0,True,False,,,,,0.318,0.2834920054399835,,,4.081878185272217,
llm_guided_evolution,evolution_rough,heuristic_init_002,heuristic,,0,True,False,,,,,0.332,0.3191915859209854,,,3.434629201889038,
llm_guided_evolution,evolution_rough,heuristic_init_003,heuristic,,0,True,False,,,,,0.278,0.2486528637269898,,,3.4921581745147705,
llm_guided_evolution,evolution_rough,heuristic_init_004,heuristic,,0,True,False,,,,,0.321,0.3027179288388514,,,4.147225856781006,
llm_guided_evolution,evolution_rough,heuristic_init_005,heuristic,,0,True,False,,,,,0.299,0.2628607394741924,,,3.393177032470703,
llm_guided_evolution,evolution_rough,heuristic_init_006,heuristic,,0,True,False,,,,,0.314,0.2969212004063942,,,4.39173698425293,
llm_guided_evolution,evolution_rough,heuristic_init_007,heuristic,,0,True,False,,,,,0.279,0.2707173772405446,,,3.4317281246185303,
llm_guided_evolution,evolution_rough,gen01_mut_000,heuristic_feedback,,1,True,False,,,,,0.36,0.3527604757463669,,,3.4696788787841797,
llm_guided_evolution,evolution_rough,gen01_mut_001,heuristic_feedback,,1,True,False,,,,,0.392,0.3747808458250582,,,29.121087312698364,
llm_guided_evolution,evolution_full,gen01_mut_001,heuristic_feedback,,1,True,True,,,,,0.41,,0.409,0.4027869668860241,29.121087312698364,
llm_guided_evolution,evolution_rough,gen01_mut_002,heuristic_feedback,,1,True,False,,,,,0.361,0.3533331055266956,,,3.609222173690796,
llm_guided_evolution,evolution_rough,gen01_cross_003,heuristic_crossover,,1,True,False,,,,,0.361,0.3409504042280446,,,3.6236472129821777,
llm_guided_evolution,evolution_rough,gen01_mut_004,heuristic_feedback,,1,True,False,,,,,0.362,0.3647037719630938,,,4.136756181716919,
llm_guided_evolution,evolution_rough,gen01_mut_005,heuristic_feedback,,1,True,False,,,,,0.352,0.32244229774349,,,3.394652843475342,
llm_guided_evolution,evolution_rough,gen01_cross_006,heuristic_crossover,,1,True,False,,,,,0.351,0.3379418069395363,,,3.427377223968506,
llm_guided_evolution,evolution_rough,gen01_mut_007,heuristic_feedback,,1,True,False,,,,,0.373,0.3634765820260395,,,28.076944828033447,
llm_guided_evolution,evolution_full,gen01_mut_007,heuristic_feedback,,1,True,True,,,,,0.41,,0.4105,0.4092392975214883,28.076944828033447,
llm_guided_evolution,evolution_rough,gen02_mut_000,heuristic_feedback,,2,True,False,,,,,0.325,0.3110102248082649,,,4.097801923751831,
llm_guided_evolution,evolution_rough,gen02_mut_001,heuristic_feedback,,2,True,False,,,,,0.37,0.3661520571866063,,,28.102792739868164,
llm_guided_evolution,evolution_full,gen02_mut_001,heuristic_feedback,,2,True,True,,,,,0.413,,0.395,0.3731930582974315,28.102792739868164,
llm_guided_evolution,evolution_rough,gen02_mut_002,heuristic_feedback,,2,True,False,,,,,0.34,0.3195160909333272,,,4.112149000167847,
llm_guided_evolution,evolution_rough,gen02_cross_003,heuristic_crossover,,2,True,False,,,,,0.293,0.2689972159719379,,,4.689946889877319,
llm_guided_evolution,evolution_rough,gen02_mut_004,heuristic_feedback,,2,True,False,,,,,0.357,0.3345558375096501,,,3.618249893188477,
llm_guided_evolution,evolution_rough,gen02_mut_005,heuristic_feedback,,2,True,False,,,,,0.343,0.3144668681131218,,,4.107326030731201,
llm_guided_evolution,evolution_rough,gen02_cross_006,heuristic_crossover,,2,True,False,,,,,0.369,0.3515855050120498,,,4.331075191497803,
llm_guided_evolution,evolution_rough,gen02_mut_007,heuristic_feedback,,2,True,False,,,,,0.348,0.3179963366646029,,,4.479948043823242,
llm_guided_evolution,evolution_rough,gen03_mut_000,heuristic_feedback,,3,True,False,,,,,0.316,0.2918123643712724,,,4.280356168746948,
llm_guided_evolution,evolution_rough,gen03_mut_001,heuristic_feedback,,3,True,False,,,,,0.313,0.288499412813315,,,4.296850919723511,
llm_guided_evolution,evolution_rough,gen03_mut_002,heuristic_feedback,,3,True,False,,,,,0.334,0.3152113796753514,,,4.06747579574585,
llm_guided_evolution,evolution_rough,gen03_cross_003,heuristic_crossover,,3,True,False,,,,,0.328,0.3018777013535195,,,4.559031009674072,
llm_guided_evolution,evolution_rough,gen03_mut_004,heuristic_feedback,,3,True,False,,,,,0.328,0.3006427874404608,,,4.387614011764526,
llm_guided_evolution,evolution_rough,gen03_mut_005,heuristic_feedback,,3,True,False,,,,,0.316,0.2923107467571285,,,4.307030916213989,
llm_guided_evolution,evolution_rough,gen03_cross_006,heuristic_crossover,,3,True,False,,,,,0.324,0.3040018311522597,,,4.328434944152832,
llm_guided_evolution,evolution_rough,gen03_mut_007,heuristic_feedback,,3,True,False,,,,,0.345,0.3234927439722883,,,4.267973184585571,
