method,seed,train_size,val_size,test_size,val_accuracy,val_macro_f1,runtime_sec,device,test_accuracy,test_macro_f1
none,42,1000,1000,2000,0.389,0.3830478858281967,18.521108150482178,mps,0.3885,0.38371724935388823
none,43,1000,1000,2000,0.421,0.419931095986112,18.038081169128418,mps,0.409,0.40614315768931303
none,44,1000,1000,2000,0.391,0.38340203167738923,17.47546696662903,mps,0.3705,0.362858265104666
standard,42,1000,1000,2000,0.43,0.419621396009698,19.888291120529175,mps,0.4505,0.43582861688921504
standard,43,1000,1000,2000,0.461,0.45535744046682713,19.93661093711853,mps,0.4355,0.4244909845922642
standard,44,1000,1000,2000,0.437,0.4352773056669788,20.288698196411133,mps,0.4095,0.40318292902661046
autoaugment,42,1000,1000,2000,0.398,0.3828291620179636,22.48367214202881,mps,0.4115,0.39110596738433534
autoaugment,43,1000,1000,2000,0.392,0.39256145177318935,22.069581985473633,mps,0.3805,0.3805109666482281
autoaugment,44,1000,1000,2000,0.391,0.3833589116035844,23.313265085220337,mps,0.403,0.39131179915437664
randaugment,42,1000,1000,2000,0.427,0.4142625625569513,21.53835678100586,mps,0.4495,0.43568381911104864
randaugment,43,1000,1000,2000,0.437,0.4309993153993482,21.066309928894043,mps,0.4375,0.42723801250005683
randaugment,44,1000,1000,2000,0.441,0.4278284279661766,20.938331842422485,mps,0.432,0.41736809160120203
trivialaugment,42,1000,1000,2000,0.455,0.4435789654744329,20.055482149124146,mps,0.4465,0.43491758800435293
trivialaugment,43,1000,1000,2000,0.427,0.4084941356654316,19.797182083129883,mps,0.41,0.38915239380287586
trivialaugment,44,1000,1000,2000,0.407,0.39594069744847643,19.820548057556152,mps,0.4155,0.3935747975078375
augmix,42,1000,1000,2000,0.387,0.38263925185815517,46.55468201637268,mps,0.395,0.38727308265092086
augmix,43,1000,1000,2000,0.405,0.3980588666136443,46.709969997406006,mps,0.394,0.3869521145790236
augmix,44,1000,1000,2000,0.396,0.38879097527834516,46.37889814376831,mps,0.376,0.3651483828919602
