method,policy_id,generation,source,valid,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy,full_test_macro_f1,runtime_sec
llm_guided_evolution,heuristic_init_000,0,heuristic,True,0.319,0.29799994476613767,,,,4.840051174163818
llm_guided_evolution,heuristic_init_001,0,heuristic,True,0.318,0.28349200543998354,,,,4.081878185272217
llm_guided_evolution,heuristic_init_002,0,heuristic,True,0.332,0.3191915859209854,,,,3.434629201889038
llm_guided_evolution,heuristic_init_003,0,heuristic,True,0.278,0.24865286372698986,,,,3.4921581745147705
llm_guided_evolution,heuristic_init_004,0,heuristic,True,0.321,0.30271792883885146,,,,4.147225856781006
llm_guided_evolution,heuristic_init_005,0,heuristic,True,0.299,0.2628607394741924,,,,3.393177032470703
llm_guided_evolution,heuristic_init_006,0,heuristic,True,0.314,0.29692120040639425,,,,4.39173698425293
llm_guided_evolution,heuristic_init_007,0,heuristic,True,0.279,0.2707173772405446,,,,3.4317281246185303
llm_guided_evolution,gen01_mut_000,1,heuristic_feedback,True,0.36,0.35276047574636693,,,,3.4696788787841797
llm_guided_evolution,gen01_mut_001,1,heuristic_feedback,True,0.392,0.3747808458250582,0.41,0.409,0.4027869668860241,29.121087312698364
llm_guided_evolution,gen01_mut_002,1,heuristic_feedback,True,0.361,0.35333310552669567,,,,3.609222173690796
llm_guided_evolution,gen01_cross_003,1,heuristic_crossover,True,0.361,0.3409504042280446,,,,3.6236472129821777
llm_guided_evolution,gen01_mut_004,1,heuristic_feedback,True,0.362,0.3647037719630938,,,,4.136756181716919
llm_guided_evolution,gen01_mut_005,1,heuristic_feedback,True,0.352,0.32244229774349004,,,,3.394652843475342
llm_guided_evolution,gen01_cross_006,1,heuristic_crossover,True,0.351,0.3379418069395363,,,,3.427377223968506
llm_guided_evolution,gen01_mut_007,1,heuristic_feedback,True,0.373,0.36347658202603955,0.41,0.4105,0.40923929752148835,28.076944828033447
llm_guided_evolution,gen02_mut_000,2,heuristic_feedback,True,0.325,0.31101022480826496,,,,4.097801923751831
llm_guided_evolution,gen02_mut_001,2,heuristic_feedback,True,0.37,0.36615205718660637,0.413,0.395,0.37319305829743155,28.102792739868164
llm_guided_evolution,gen02_mut_002,2,heuristic_feedback,True,0.34,0.3195160909333272,,,,4.112149000167847
llm_guided_evolution,gen02_cross_003,2,heuristic_crossover,True,0.293,0.2689972159719379,,,,4.689946889877319
llm_guided_evolution,gen02_mut_004,2,heuristic_feedback,True,0.357,0.3345558375096501,,,,3.6182498931884766
llm_guided_evolution,gen02_mut_005,2,heuristic_feedback,True,0.343,0.31446686811312186,,,,4.107326030731201
llm_guided_evolution,gen02_cross_006,2,heuristic_crossover,True,0.369,0.3515855050120498,,,,4.331075191497803
llm_guided_evolution,gen02_mut_007,2,heuristic_feedback,True,0.348,0.3179963366646029,,,,4.479948043823242
llm_guided_evolution,gen03_mut_000,3,heuristic_feedback,True,0.316,0.29181236437127245,,,,4.280356168746948
llm_guided_evolution,gen03_mut_001,3,heuristic_feedback,True,0.313,0.28849941281331504,,,,4.296850919723511
llm_guided_evolution,gen03_mut_002,3,heuristic_feedback,True,0.334,0.3152113796753514,,,,4.06747579574585
llm_guided_evolution,gen03_cross_003,3,heuristic_crossover,True,0.328,0.30187770135351955,,,,4.559031009674072
llm_guided_evolution,gen03_mut_004,3,heuristic_feedback,True,0.328,0.3006427874404608,,,,4.387614011764526
llm_guided_evolution,gen03_mut_005,3,heuristic_feedback,True,0.316,0.29231074675712854,,,,4.307030916213989
llm_guided_evolution,gen03_cross_006,3,heuristic_crossover,True,0.324,0.30400183115225976,,,,4.328434944152832
llm_guided_evolution,gen03_mut_007,3,heuristic_feedback,True,0.345,0.3234927439722883,,,,4.267973184585571
