policy_id,generation,source,status,validation_ok,num_sub_policies,num_operations,mean_probability,mean_magnitude,mixup_alpha,cutmix_alpha,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,rough_evaluated,True,3,3,0.5866666666666667,0.4366666666666667,0.26,0.0,0.319,0.29799994476613767,,
heuristic_init_001,0,heuristic,rough_evaluated,True,3,5,0.5780000000000001,0.5900000000000001,0.0,0.0,0.318,0.28349200543998354,,
heuristic_init_002,0,heuristic,rough_evaluated,True,3,5,0.45,0.42400000000000004,0.0,0.0,0.332,0.3191915859209854,,
heuristic_init_003,0,heuristic,rough_evaluated,True,2,2,0.6799999999999999,0.475,0.0,0.0,0.278,0.24865286372698986,,
heuristic_init_004,0,heuristic,rough_evaluated,True,3,8,0.45625,0.5425,0.0,0.0,0.321,0.30271792883885146,,
heuristic_init_005,0,heuristic,rough_evaluated,True,1,3,0.58,0.57,0.0,0.45,0.299,0.2628607394741924,,
heuristic_init_006,0,heuristic,rough_evaluated,True,2,4,0.6900000000000001,0.5225,0.0,0.0,0.314,0.29692120040639425,,
heuristic_init_007,0,heuristic,rough_evaluated,True,1,2,0.5,0.445,0.0,0.0,0.279,0.2707173772405446,,
gen01_mut_000,1,heuristic_feedback,rough_evaluated,True,3,5,0.46799999999999997,0.45599999999999996,0.0,0.0,0.36,0.35276047574636693,,
gen01_mut_001,1,heuristic_feedback,full_evaluated,True,3,8,0.5025,0.47000000000000003,0.0,0.0,0.392,0.3747808458250582,0.41,0.409
gen01_mut_002,1,heuristic_feedback,rough_evaluated,True,3,3,0.5866666666666667,0.4366666666666667,0.26,0.0,0.361,0.35333310552669567,,
gen01_cross_003,1,heuristic_crossover,rough_evaluated,True,2,3,0.5066666666666667,0.5333333333333333,0.0,0.0,0.361,0.3409504042280446,,
gen01_mut_004,1,heuristic_feedback,rough_evaluated,True,3,8,0.525,0.555,0.0,0.0,0.362,0.3647037719630938,,
gen01_mut_005,1,heuristic_feedback,rough_evaluated,True,3,3,0.5866666666666667,0.4366666666666667,0.26,0.0,0.352,0.32244229774349004,,
gen01_cross_006,1,heuristic_crossover,rough_evaluated,True,2,4,0.5,0.565,0.0,0.0,0.351,0.3379418069395363,,
gen01_mut_007,1,heuristic_feedback,full_evaluated,True,3,8,0.45875,0.5475,0.0,0.0,0.373,0.36347658202603955,0.41,0.4105
gen02_mut_000,2,heuristic_feedback,rough_evaluated,True,4,8,0.5525,0.47375,0.0,0.0,0.325,0.31101022480826496,,
gen02_mut_001,2,heuristic_feedback,full_evaluated,True,3,7,0.45285714285714285,0.5042857142857143,0.0,0.0,0.37,0.36615205718660637,0.413,0.395
gen02_mut_002,2,heuristic_feedback,rough_evaluated,True,3,7,0.5285714285714286,0.5128571428571429,0.0,0.0,0.34,0.3195160909333272,,
gen02_cross_003,2,heuristic_crossover,rough_evaluated,True,2,6,0.5066666666666667,0.5566666666666668,0.0,0.0,0.293,0.2689972159719379,,
gen02_mut_004,2,heuristic_feedback,rough_evaluated,True,4,7,0.4571428571428572,0.5771428571428572,0.0,0.0,0.357,0.3345558375096501,,
gen02_mut_005,2,heuristic_feedback,rough_evaluated,True,3,8,0.5325,0.56375,0.0,0.0,0.343,0.31446686811312186,,
gen02_cross_006,2,heuristic_crossover,rough_evaluated,True,2,6,0.4666666666666666,0.49833333333333335,0.0,0.0,0.369,0.3515855050120498,,
gen02_mut_007,2,heuristic_feedback,rough_evaluated,True,3,8,0.4825,0.5575,0.0,0.0,0.348,0.3179963366646029,,
gen03_mut_000,3,heuristic_feedback,rough_evaluated,True,4,8,0.5025,0.47000000000000003,0.0,0.0,0.316,0.29181236437127245,,
gen03_mut_001,3,heuristic_feedback,rough_evaluated,True,3,7,0.46714285714285714,0.51,0.0,0.0,0.313,0.28849941281331504,,
gen03_mut_002,3,heuristic_feedback,rough_evaluated,True,4,7,0.4342857142857143,0.5028571428571429,0.0,0.0,0.334,0.3152113796753514,,
gen03_cross_003,3,heuristic_crossover,rough_evaluated,True,2,6,0.4666666666666666,0.49833333333333335,0.0,0.0,0.328,0.30187770135351955,,
gen03_mut_004,3,heuristic_feedback,rough_evaluated,True,3,7,0.4657142857142857,0.6014285714285714,0.0,0.0,0.328,0.3006427874404608,,
gen03_mut_005,3,heuristic_feedback,rough_evaluated,True,3,6,0.43333333333333335,0.5316666666666666,0.0,0.0,0.316,0.29231074675712854,,
gen03_cross_006,3,heuristic_crossover,rough_evaluated,True,2,5,0.5479999999999999,0.488,0.0,0.0,0.324,0.30400183115225976,,
gen03_mut_007,3,heuristic_feedback,rough_evaluated,True,3,7,0.45285714285714285,0.5042857142857143,0.0,0.0,0.345,0.3234927439722883,,
