policy_id,generation,source,parent_ids,status,rough_val_accuracy,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,,rough_evaluated,0.319,,
heuristic_init_001,0,heuristic,,rough_evaluated,0.318,,
heuristic_init_002,0,heuristic,,rough_evaluated,0.332,,
heuristic_init_003,0,heuristic,,rough_evaluated,0.278,,
heuristic_init_004,0,heuristic,,rough_evaluated,0.321,,
heuristic_init_005,0,heuristic,,rough_evaluated,0.299,,
heuristic_init_006,0,heuristic,,rough_evaluated,0.314,,
heuristic_init_007,0,heuristic,,rough_evaluated,0.279,,
gen01_mut_000,1,heuristic_feedback,heuristic_init_002,rough_evaluated,0.36,,
gen01_mut_001,1,heuristic_feedback,heuristic_init_004,full_evaluated,0.392,0.41,0.409
gen01_mut_002,1,heuristic_feedback,heuristic_init_000,rough_evaluated,0.361,,
gen01_cross_003,1,heuristic_crossover,heuristic_init_002;heuristic_init_002,rough_evaluated,0.361,,
gen01_mut_004,1,heuristic_feedback,heuristic_init_004,rough_evaluated,0.362,,
gen01_mut_005,1,heuristic_feedback,heuristic_init_000,rough_evaluated,0.352,,
gen01_cross_006,1,heuristic_crossover,heuristic_init_002;heuristic_init_002,rough_evaluated,0.351,,
gen01_mut_007,1,heuristic_feedback,heuristic_init_004,full_evaluated,0.373,0.41,0.4105
gen02_mut_000,2,heuristic_feedback,gen01_mut_001,rough_evaluated,0.325,,
gen02_mut_001,2,heuristic_feedback,gen01_mut_007,full_evaluated,0.37,0.413,0.395
gen02_mut_002,2,heuristic_feedback,gen01_mut_004,rough_evaluated,0.34,,
gen02_cross_003,2,heuristic_crossover,gen01_mut_001;gen01_mut_001,rough_evaluated,0.293,,
gen02_mut_004,2,heuristic_feedback,gen01_mut_007,rough_evaluated,0.357,,
gen02_mut_005,2,heuristic_feedback,gen01_mut_004,rough_evaluated,0.343,,
gen02_cross_006,2,heuristic_crossover,gen01_mut_001;gen01_mut_001,rough_evaluated,0.369,,
gen02_mut_007,2,heuristic_feedback,gen01_mut_007,rough_evaluated,0.348,,
gen03_mut_000,3,heuristic_feedback,gen01_mut_001,rough_evaluated,0.316,,
gen03_mut_001,3,heuristic_feedback,gen01_mut_007,rough_evaluated,0.313,,
gen03_mut_002,3,heuristic_feedback,gen02_mut_001,rough_evaluated,0.334,,
gen03_cross_003,3,heuristic_crossover,gen01_mut_001;gen01_mut_001,rough_evaluated,0.328,,
gen03_mut_004,3,heuristic_feedback,gen01_mut_007,rough_evaluated,0.328,,
gen03_mut_005,3,heuristic_feedback,gen02_mut_001,rough_evaluated,0.316,,
gen03_cross_006,3,heuristic_crossover,gen01_mut_001;gen01_mut_001,rough_evaluated,0.324,,
gen03_mut_007,3,heuristic_feedback,gen01_mut_007,rough_evaluated,0.345,,
