generation,source,operation,count,mean_probability,mean_magnitude
0,heuristic,Affine,2,0.5449999999999999,0.565
0,heuristic,ColorJitter,6,0.665,0.5733333333333334
0,heuristic,GaussianBlur,4,0.5425,0.505
0,heuristic,Grayscale,3,0.45,0.4666666666666666
0,heuristic,HorizontalFlip,3,0.49666666666666665,0.61
0,heuristic,RandomCrop,3,0.55,0.39666666666666667
0,heuristic,RandomErasing,4,0.5575,0.48
0,heuristic,Rotation,7,0.49142857142857144,0.49000000000000005
1,heuristic_crossover,ColorJitter,4,0.36250000000000004,0.38749999999999996
1,heuristic_crossover,Rotation,3,0.69,0.77
1,heuristic_feedback,Affine,3,0.5333333333333333,0.5333333333333333
1,heuristic_feedback,ColorJitter,4,0.59,0.6325000000000001
1,heuristic_feedback,GaussianBlur,6,0.5,0.5650000000000001
1,heuristic_feedback,Grayscale,4,0.385,0.5349999999999999
1,heuristic_feedback,HorizontalFlip,4,0.41250000000000003,0.66
1,heuristic_feedback,Posterize,1,0.87,0.27
1,heuristic_feedback,RandomCrop,2,0.77,0.32
1,heuristic_feedback,RandomErasing,3,0.4266666666666667,0.5533333333333333
1,heuristic_feedback,Rotation,8,0.48875,0.32625000000000004
2,heuristic_crossover,GaussianBlur,4,0.515,0.6775
2,heuristic_crossover,HorizontalFlip,1,0.4,0.81
2,heuristic_crossover,RandomErasing,3,0.42,0.54
2,heuristic_crossover,Rotation,4,0.53,0.2975
2,heuristic_feedback,Affine,6,0.5333333333333333,0.5333333333333333
2,heuristic_feedback,GaussianBlur,11,0.5027272727272728,0.5854545454545454
2,heuristic_feedback,Grayscale,3,0.5,0.85
2,heuristic_feedback,HorizontalFlip,6,0.4000000000000001,0.81
2,heuristic_feedback,Posterize,1,0.87,0.27
2,heuristic_feedback,RandomCrop,1,0.81,0.2
2,heuristic_feedback,RandomErasing,6,0.44,0.5716666666666667
2,heuristic_feedback,Rotation,11,0.5145454545454545,0.27
3,heuristic_crossover,Affine,1,0.35,0.5
3,heuristic_crossover,GaussianBlur,3,0.51,0.64
3,heuristic_crossover,HorizontalFlip,1,0.4,0.81
3,heuristic_crossover,Posterize,1,0.87,0.27
3,heuristic_crossover,RandomErasing,2,0.42,0.54
3,heuristic_crossover,Rotation,3,0.5166666666666666,0.2833333333333334
3,heuristic_feedback,Affine,6,0.3499999999999999,0.5
3,heuristic_feedback,GaussianBlur,12,0.5,0.5650000000000001
3,heuristic_feedback,Grayscale,2,0.5,0.85
3,heuristic_feedback,HorizontalFlip,5,0.4,0.8100000000000002
3,heuristic_feedback,Posterize,1,0.87,0.27
3,heuristic_feedback,RandomErasing,6,0.4366666666666667,0.5733333333333334
3,heuristic_feedback,Rotation,10,0.477,0.254
