policy_id,generation,source,operation,probability,magnitude
heuristic_init_000,0,heuristic,RandomCrop,0.77,0.32
heuristic_init_000,0,heuristic,ColorJitter,0.72,0.77
heuristic_init_000,0,heuristic,Grayscale,0.27,0.22
heuristic_init_001,0,heuristic,ColorJitter,0.66,0.72
heuristic_init_001,0,heuristic,Rotation,0.25,0.71
heuristic_init_001,0,heuristic,GaussianBlur,0.74,0.39
heuristic_init_001,0,heuristic,Rotation,0.92,0.39
heuristic_init_001,0,heuristic,Rotation,0.32,0.74
heuristic_init_002,0,heuristic,ColorJitter,0.31,0.36
heuristic_init_002,0,heuristic,Rotation,0.69,0.77
heuristic_init_002,0,heuristic,Rotation,0.28,0.31
heuristic_init_002,0,heuristic,HorizontalFlip,0.45,0.21
heuristic_init_002,0,heuristic,ColorJitter,0.52,0.47
heuristic_init_003,0,heuristic,Affine,0.74,0.63
heuristic_init_003,0,heuristic,RandomErasing,0.62,0.32
heuristic_init_004,0,heuristic,Rotation,0.41,0.17
heuristic_init_004,0,heuristic,GaussianBlur,0.47,0.34
heuristic_init_004,0,heuristic,HorizontalFlip,0.4,0.81
heuristic_init_004,0,heuristic,GaussianBlur,0.53,0.79
heuristic_init_004,0,heuristic,Rotation,0.57,0.34
heuristic_init_004,0,heuristic,RandomErasing,0.42,0.54
heuristic_init_004,0,heuristic,Grayscale,0.5,0.85
heuristic_init_004,0,heuristic,Affine,0.35,0.5
heuristic_init_005,0,heuristic,RandomErasing,0.52,0.57
heuristic_init_005,0,heuristic,Grayscale,0.58,0.33
heuristic_init_005,0,heuristic,HorizontalFlip,0.64,0.81
heuristic_init_006,0,heuristic,RandomCrop,0.55,0.47
heuristic_init_006,0,heuristic,ColorJitter,0.92,0.76
heuristic_init_006,0,heuristic,GaussianBlur,0.43,0.5
heuristic_init_006,0,heuristic,ColorJitter,0.86,0.36
heuristic_init_007,0,heuristic,RandomErasing,0.67,0.49
heuristic_init_007,0,heuristic,RandomCrop,0.33,0.4
gen01_mut_000,1,heuristic_feedback,ColorJitter,0.4,0.52
gen01_mut_000,1,heuristic_feedback,Rotation,0.69,0.77
gen01_mut_000,1,heuristic_feedback,Rotation,0.28,0.31
gen01_mut_000,1,heuristic_feedback,HorizontalFlip,0.45,0.21
gen01_mut_000,1,heuristic_feedback,ColorJitter,0.52,0.47
gen01_mut_001,1,heuristic_feedback,Rotation,0.41,0.17
gen01_mut_001,1,heuristic_feedback,GaussianBlur,0.47,0.34
gen01_mut_001,1,heuristic_feedback,HorizontalFlip,0.4,0.81
gen01_mut_001,1,heuristic_feedback,GaussianBlur,0.53,0.79
gen01_mut_001,1,heuristic_feedback,Rotation,0.57,0.34
gen01_mut_001,1,heuristic_feedback,RandomErasing,0.42,0.54
gen01_mut_001,1,heuristic_feedback,Posterize,0.87,0.27
gen01_mut_001,1,heuristic_feedback,Affine,0.35,0.5
gen01_mut_002,1,heuristic_feedback,RandomCrop,0.77,0.32
gen01_mut_002,1,heuristic_feedback,ColorJitter,0.72,0.77
gen01_mut_002,1,heuristic_feedback,Grayscale,0.27,0.22
gen01_cross_003,1,heuristic_crossover,ColorJitter,0.31,0.36
gen01_cross_003,1,heuristic_crossover,Rotation,0.69,0.77
gen01_cross_003,1,heuristic_crossover,ColorJitter,0.52,0.47
gen01_mut_004,1,heuristic_feedback,Rotation,0.41,0.17
gen01_mut_004,1,heuristic_feedback,GaussianBlur,0.47,0.34
gen01_mut_004,1,heuristic_feedback,HorizontalFlip,0.4,0.81
gen01_mut_004,1,heuristic_feedback,GaussianBlur,0.53,0.79
gen01_mut_004,1,heuristic_feedback,Rotation,0.57,0.34
gen01_mut_004,1,heuristic_feedback,RandomErasing,0.42,0.54
gen01_mut_004,1,heuristic_feedback,Grayscale,0.5,0.85
gen01_mut_004,1,heuristic_feedback,Affine,0.9,0.6
gen01_mut_005,1,heuristic_feedback,RandomCrop,0.77,0.32
gen01_mut_005,1,heuristic_feedback,ColorJitter,0.72,0.77
gen01_mut_005,1,heuristic_feedback,Grayscale,0.27,0.22
gen01_cross_006,1,heuristic_crossover,ColorJitter,0.31,0.36
gen01_cross_006,1,heuristic_crossover,Rotation,0.69,0.77
gen01_cross_006,1,heuristic_crossover,ColorJitter,0.31,0.36
gen01_cross_006,1,heuristic_crossover,Rotation,0.69,0.77
gen01_mut_007,1,heuristic_feedback,Rotation,0.41,0.17
gen01_mut_007,1,heuristic_feedback,GaussianBlur,0.47,0.34
gen01_mut_007,1,heuristic_feedback,HorizontalFlip,0.4,0.81
gen01_mut_007,1,heuristic_feedback,GaussianBlur,0.53,0.79
gen01_mut_007,1,heuristic_feedback,Rotation,0.57,0.34
gen01_mut_007,1,heuristic_feedback,RandomErasing,0.44,0.58
gen01_mut_007,1,heuristic_feedback,Grayscale,0.5,0.85
gen01_mut_007,1,heuristic_feedback,Affine,0.35,0.5
gen02_mut_000,2,heuristic_feedback,RandomCrop,0.81,0.2
gen02_mut_000,2,heuristic_feedback,GaussianBlur,0.47,0.34
gen02_mut_000,2,heuristic_feedback,HorizontalFlip,0.4,0.81
gen02_mut_000,2,heuristic_feedback,GaussianBlur,0.53,0.79
gen02_mut_000,2,heuristic_feedback,Rotation,0.57,0.34
gen02_mut_000,2,heuristic_feedback,RandomErasing,0.42,0.54
gen02_mut_000,2,heuristic_feedback,Posterize,0.87,0.27
gen02_mut_000,2,heuristic_feedback,Affine,0.35,0.5
gen02_mut_001,2,heuristic_feedback,Rotation,0.41,0.17
gen02_mut_001,2,heuristic_feedback,GaussianBlur,0.47,0.34
gen02_mut_001,2,heuristic_feedback,HorizontalFlip,0.4,0.81
gen02_mut_001,2,heuristic_feedback,GaussianBlur,0.53,0.79
gen02_mut_001,2,heuristic_feedback,Rotation,0.57,0.34
gen02_mut_001,2,heuristic_feedback,RandomErasing,0.44,0.58
gen02_mut_001,2,heuristic_feedback,Affine,0.35,0.5
gen02_mut_002,2,heuristic_feedback,Rotation,0.41,0.17
gen02_mut_002,2,heuristic_feedback,GaussianBlur,0.47,0.34
gen02_mut_002,2,heuristic_feedback,HorizontalFlip,0.4,0.81
gen02_mut_002,2,heuristic_feedback,GaussianBlur,0.53,0.79
gen02_mut_002,2,heuristic_feedback,Rotation,0.57,0.34
gen02_mut_002,2,heuristic_feedback,RandomErasing,0.42,0.54
gen02_mut_002,2,heuristic_feedback,Affine,0.9,0.6
gen02_cross_003,2,heuristic_crossover,GaussianBlur,0.53,0.79
gen02_cross_003,2,heuristic_crossover,Rotation,0.57,0.34
gen02_cross_003,2,heuristic_crossover,RandomErasing,0.42,0.54
gen02_cross_003,2,heuristic_crossover,GaussianBlur,0.53,0.79
gen02_cross_003,2,heuristic_crossover,Rotation,0.57,0.34
gen02_cross_003,2,heuristic_crossover,RandomErasing,0.42,0.54
gen02_mut_004,2,heuristic_feedback,Rotation,0.41,0.17
gen02_mut_004,2,heuristic_feedback,HorizontalFlip,0.4,0.81
gen02_mut_004,2,heuristic_feedback,GaussianBlur,0.53,0.79
gen02_mut_004,2,heuristic_feedback,Rotation,0.57,0.34
gen02_mut_004,2,heuristic_feedback,RandomErasing,0.44,0.58
gen02_mut_004,2,heuristic_feedback,Grayscale,0.5,0.85
gen02_mut_004,2,heuristic_feedback,Affine,0.35,0.5
gen02_mut_005,2,heuristic_feedback,Rotation,0.41,0.17
gen02_mut_005,2,heuristic_feedback,GaussianBlur,0.47,0.34
gen02_mut_005,2,heuristic_feedback,HorizontalFlip,0.4,0.81
gen02_mut_005,2,heuristic_feedback,GaussianBlur,0.53,0.79
gen02_mut_005,2,heuristic_feedback,Rotation,0.57,0.34
gen02_mut_005,2,heuristic_feedback,RandomErasing,0.48,0.61
gen02_mut_005,2,heuristic_feedback,Grayscale,0.5,0.85
gen02_mut_005,2,heuristic_feedback,Affine,0.9,0.6
gen02_cross_006,2,heuristic_crossover,Rotation,0.41,0.17
gen02_cross_006,2,heuristic_crossover,GaussianBlur,0.47,0.34
gen02_cross_006,2,heuristic_crossover,HorizontalFlip,0.4,0.81
gen02_cross_006,2,heuristic_crossover,GaussianBlur,0.53,0.79
gen02_cross_006,2,heuristic_crossover,Rotation,0.57,0.34
gen02_cross_006,2,heuristic_crossover,RandomErasing,0.42,0.54
gen02_mut_007,2,heuristic_feedback,Rotation,0.6,0.25
gen02_mut_007,2,heuristic_feedback,GaussianBlur,0.47,0.34
gen02_mut_007,2,heuristic_feedback,HorizontalFlip,0.4,0.81
gen02_mut_007,2,heuristic_feedback,GaussianBlur,0.53,0.79
gen02_mut_007,2,heuristic_feedback,Rotation,0.57,0.34
gen02_mut_007,2,heuristic_feedback,RandomErasing,0.44,0.58
gen02_mut_007,2,heuristic_feedback,Grayscale,0.5,0.85
gen02_mut_007,2,heuristic_feedback,Affine,0.35,0.5
gen03_mut_000,3,heuristic_feedback,Rotation,0.41,0.17
gen03_mut_000,3,heuristic_feedback,GaussianBlur,0.47,0.34
gen03_mut_000,3,heuristic_feedback,HorizontalFlip,0.4,0.81
