generation,source,operation,count,mean_probability,mean_magnitude
0,baseline_seed:conservative,ColorJitter,1,0.25,0.15
0,baseline_seed:conservative,HorizontalFlip,1,0.5,0.0
0,baseline_seed:conservative,RandomCrop,1,1.0,0.3
0,baseline_seed:randaugment,Affine,1,0.35,0.3
0,baseline_seed:randaugment,ColorJitter,1,0.55,0.35
0,baseline_seed:randaugment,GaussianBlur,1,0.2,0.2
0,baseline_seed:randaugment,HorizontalFlip,1,0.5,0.0
0,baseline_seed:randaugment,Posterize,1,0.15,0.25
0,baseline_seed:randaugment,RandomCrop,1,1.0,0.45
0,baseline_seed:randaugment,Rotation,1,0.45,0.3
0,baseline_seed:randaugment,Solarize,1,0.2,0.3
0,baseline_seed:standard,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard,RandomCrop,1,1.0,0.45
0,baseline_seed:trivialaugment,ColorJitter,1,0.55,0.3
0,baseline_seed:trivialaugment,HorizontalFlip,1,0.5,0.0
0,baseline_seed:trivialaugment,RandomCrop,1,1.0,0.4
0,baseline_seed:trivialaugment,Rotation,1,0.4,0.25
1,heuristic_ranked_crossover,Affine,1,0.35,0.3
1,heuristic_ranked_crossover,ColorJitter,1,0.55,0.35
1,heuristic_ranked_crossover,HorizontalFlip,1,0.5,0.0
1,heuristic_ranked_crossover,RandomCrop,1,1.0,0.4
1,heuristic_ranked_crossover,Rotation,1,0.45,0.3
1,heuristic_ranked_crossover,Solarize,1,0.2,0.3
1,heuristic_ranked_mutation,Affine,2,0.35,0.3
1,heuristic_ranked_mutation,ColorJitter,2,0.5900000000000001,0.26
1,heuristic_ranked_mutation,GaussianBlur,3,0.33,0.22999999999999998
1,heuristic_ranked_mutation,HorizontalFlip,2,0.5,0.0
1,heuristic_ranked_mutation,Posterize,2,0.15,0.25
1,heuristic_ranked_mutation,RandomCrop,1,1.0,0.45
1,heuristic_ranked_mutation,Rotation,2,0.45,0.3
1,heuristic_ranked_mutation,Solarize,2,0.2,0.3
