policy_id,generation,source,operation,probability,magnitude
seed_00_standard,0,baseline_seed:standard,RandomCrop,1.0,0.45
seed_00_standard,0,baseline_seed:standard,HorizontalFlip,0.5,0.0
seed_01_conservative,0,baseline_seed:conservative,RandomCrop,1.0,0.3
seed_01_conservative,0,baseline_seed:conservative,HorizontalFlip,0.5,0.0
seed_01_conservative,0,baseline_seed:conservative,ColorJitter,0.25,0.15
seed_02_randaugment,0,baseline_seed:randaugment,RandomCrop,1.0,0.45
seed_02_randaugment,0,baseline_seed:randaugment,HorizontalFlip,0.5,0.0
seed_02_randaugment,0,baseline_seed:randaugment,ColorJitter,0.55,0.35
seed_02_randaugment,0,baseline_seed:randaugment,Rotation,0.45,0.3
seed_02_randaugment,0,baseline_seed:randaugment,Affine,0.35,0.3
seed_02_randaugment,0,baseline_seed:randaugment,Solarize,0.2,0.3
seed_02_randaugment,0,baseline_seed:randaugment,Posterize,0.15,0.25
seed_02_randaugment,0,baseline_seed:randaugment,GaussianBlur,0.2,0.2
seed_03_trivialaugment,0,baseline_seed:trivialaugment,RandomCrop,1.0,0.4
seed_03_trivialaugment,0,baseline_seed:trivialaugment,HorizontalFlip,0.5,0.0
seed_03_trivialaugment,0,baseline_seed:trivialaugment,ColorJitter,0.55,0.3
seed_03_trivialaugment,0,baseline_seed:trivialaugment,Rotation,0.4,0.25
gen01_cross_000,1,heuristic_ranked_crossover,RandomCrop,1.0,0.4
gen01_cross_000,1,heuristic_ranked_crossover,HorizontalFlip,0.5,0.0
gen01_cross_000,1,heuristic_ranked_crossover,ColorJitter,0.55,0.35
gen01_cross_000,1,heuristic_ranked_crossover,Rotation,0.45,0.3
gen01_cross_000,1,heuristic_ranked_crossover,Affine,0.35,0.3
gen01_cross_000,1,heuristic_ranked_crossover,Solarize,0.2,0.3
gen01_mut_001,1,heuristic_ranked_mutation,RandomCrop,1.0,0.45
gen01_mut_001,1,heuristic_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_001,1,heuristic_ranked_mutation,ColorJitter,0.63,0.17
gen01_mut_001,1,heuristic_ranked_mutation,Rotation,0.45,0.3
gen01_mut_001,1,heuristic_ranked_mutation,Affine,0.35,0.3
gen01_mut_001,1,heuristic_ranked_mutation,Solarize,0.2,0.3
gen01_mut_001,1,heuristic_ranked_mutation,Posterize,0.15,0.25
gen01_mut_001,1,heuristic_ranked_mutation,GaussianBlur,0.2,0.2
gen01_mut_002,1,heuristic_ranked_mutation,GaussianBlur,0.59,0.29
gen01_mut_002,1,heuristic_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_002,1,heuristic_ranked_mutation,ColorJitter,0.55,0.35
gen01_mut_002,1,heuristic_ranked_mutation,Rotation,0.45,0.3
gen01_mut_002,1,heuristic_ranked_mutation,Affine,0.35,0.3
gen01_mut_002,1,heuristic_ranked_mutation,Solarize,0.2,0.3
gen01_mut_002,1,heuristic_ranked_mutation,Posterize,0.15,0.25
gen01_mut_002,1,heuristic_ranked_mutation,GaussianBlur,0.2,0.2
