generation,source,operation,count,mean_probability,mean_magnitude
0,baseline_seed:conservative,ColorJitter,1,0.25,0.15
0,baseline_seed:conservative,HorizontalFlip,1,0.5,0.0
0,baseline_seed:conservative,RandomCrop,1,1.0,0.3
0,baseline_seed:standard,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard,RandomCrop,1,1.0,0.45
0,openai_initial,Affine,2,0.275,0.11499999999999999
0,openai_initial,ColorJitter,2,0.4,0.215
0,openai_initial,GaussianBlur,2,0.175,0.11
0,openai_initial,HorizontalFlip,2,0.5,0.0
0,openai_initial,RandomCrop,2,0.9,0.12
0,openai_initial,RandomErasing,2,0.225,0.14
0,openai_initial,RandomResizedCrop,2,0.4,0.14
0,openai_initial,Rotation,2,0.25,0.1
0,openai_initial,Solarize,1,0.12,0.25
1,openai_ranked_crossover,ColorJitter,1,0.2,0.12
1,openai_ranked_crossover,HorizontalFlip,1,0.5,0.0
1,openai_ranked_crossover,RandomCrop,1,1.0,0.38
1,openai_ranked_mutation,ColorJitter,2,0.21000000000000002,0.12
1,openai_ranked_mutation,HorizontalFlip,2,0.5,0.0
1,openai_ranked_mutation,RandomCrop,4,0.9375,0.33
1,openai_ranked_mutation,RandomErasing,1,0.12,0.08
