policy_id,generation,source,operation,probability,magnitude
seed_00_standard,0,baseline_seed:standard,RandomCrop,1.0,0.45
seed_00_standard,0,baseline_seed:standard,HorizontalFlip,0.5,0.0
seed_01_conservative,0,baseline_seed:conservative,RandomCrop,1.0,0.3
seed_01_conservative,0,baseline_seed:conservative,HorizontalFlip,0.5,0.0
seed_01_conservative,0,baseline_seed:conservative,ColorJitter,0.25,0.15
openai_init_000,0,openai_initial,RandomCrop,0.9,0.12
openai_init_000,0,openai_initial,HorizontalFlip,0.5,0.0
openai_init_000,0,openai_initial,ColorJitter,0.35,0.25
openai_init_000,0,openai_initial,RandomResizedCrop,0.45,0.18
openai_init_000,0,openai_initial,Rotation,0.25,0.12
openai_init_000,0,openai_initial,GaussianBlur,0.15,0.1
openai_init_000,0,openai_initial,Affine,0.3,0.15
openai_init_000,0,openai_initial,Solarize,0.12,0.25
openai_init_000,0,openai_initial,RandomErasing,0.2,0.18
openai_init_001,0,openai_initial,RandomCrop,0.9,0.12
openai_init_001,0,openai_initial,HorizontalFlip,0.5,0.0
openai_init_001,0,openai_initial,ColorJitter,0.45,0.18
openai_init_001,0,openai_initial,Rotation,0.25,0.08
openai_init_001,0,openai_initial,RandomResizedCrop,0.35,0.1
openai_init_001,0,openai_initial,GaussianBlur,0.2,0.12
openai_init_001,0,openai_initial,Affine,0.25,0.08
openai_init_001,0,openai_initial,RandomErasing,0.25,0.1
gen01_cross_000,1,openai_ranked_crossover,RandomCrop,1.0,0.38
gen01_cross_000,1,openai_ranked_crossover,HorizontalFlip,0.5,0.0
gen01_cross_000,1,openai_ranked_crossover,ColorJitter,0.2,0.12
gen01_mut_001,1,openai_ranked_mutation,RandomCrop,1.0,0.36
gen01_mut_001,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_001,1,openai_ranked_mutation,ColorJitter,0.2,0.12
gen01_mut_002,1,openai_ranked_mutation,RandomCrop,1.0,0.38
gen01_mut_002,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_002,1,openai_ranked_mutation,RandomCrop,0.9,0.3
gen01_mut_002,1,openai_ranked_mutation,ColorJitter,0.22,0.12
gen01_mut_002,1,openai_ranked_mutation,RandomCrop,0.85,0.28
gen01_mut_002,1,openai_ranked_mutation,RandomErasing,0.12,0.08
