method,policy_id,generation,source,valid,rough_val_accuracy,rough_val_macro_f1,rough_objective_score,rough_distortion_proxy,rough_policy_complexity,full_val_accuracy,full_test_accuracy,full_test_macro_f1,full_objective_score,full_distortion_proxy,full_policy_complexity,runtime_sec
ranked_llm_evolution,seed_00_standard,0,baseline_seed:standard,True,0.285,0.25068482436596196,0.3055934824365962,0.225,0.18333333333333332,,,,,,,10.320770978927612
ranked_llm_evolution,seed_01_standard_color,0,baseline_seed:standard_color,True,0.306,0.27565262661725864,0.3302642626617258,0.13506666666666667,0.2125,,,,,,,10.213757991790771
ranked_llm_evolution,seed_02_standard_erasing,0,baseline_seed:standard_erasing,True,0.314,0.29068992465517496,0.3399427424655174,0.12341666666666666,0.2125,,,,,,,9.899657964706421
ranked_llm_evolution,seed_03_standard_mixup,0,baseline_seed:standard_mixup,True,0.358,0.3169713840877043,0.3860286384087704,0.15356666666666668,0.22749999999999998,0.496,0.4665,0.4558385618081958,0.5411723194754704,0.15356666666666668,0.22749999999999998,45.69288516044617
ranked_llm_evolution,seed_04_standard_cutmix,0,baseline_seed:standard_cutmix,True,0.285,0.23132410820539392,0.3032524108205394,0.24000000000000002,0.21333333333333332,0.466,0.435,0.4147626061549916,0.5058563126348466,0.24000000000000002,0.21333333333333332,45.15857720375061
ranked_llm_evolution,seed_05_conservative,0,baseline_seed:conservative,True,0.296,0.24646247209470004,0.31690562220947,0.114375,0.3375,,,,,,,9.868347883224487
ranked_llm_evolution,gen01_cross_000,1,openai_ranked_crossover,True,0.353,0.31759152729809176,0.38105615272980914,0.15586666666666668,0.22749999999999998,,,,,,,10.404654741287231
ranked_llm_evolution,gen01_mut_001,1,openai_ranked_mutation,True,0.277,0.2518719907024483,0.29865319907024485,0.1446,0.22749999999999998,,,,,,,10.038831949234009
ranked_llm_evolution,gen01_mut_002,1,openai_ranked_mutation,True,0.252,0.22411296619077095,0.2706852966190771,0.15680000000000002,0.22899999999999998,,,,,,,10.03839898109436
ranked_llm_evolution,gen01_cross_003_try2,1,openai_ranked_crossover,True,0.322,0.28535733955017195,0.3468557339550172,0.15433333333333335,0.22749999999999998,,,,,,,10.1273672580719
ranked_llm_evolution,gen01_mut_004,1,openai_ranked_mutation,True,0.316,0.27856258432889885,0.3402762584328899,0.14766666666666667,0.22749999999999998,,,,,,,10.152789831161499
ranked_llm_evolution,gen01_mut_005,1,openai_ranked_mutation,True,0.268,0.21883516097933028,0.28606671609793305,0.16345333333333334,0.22749999999999998,,,,,,,10.062824249267578
ranked_llm_evolution,gen02_cross_000,2,openai_ranked_crossover,True,0.296,0.26461145162956473,0.3187696451629564,0.15510000000000002,0.22749999999999998,,,,,,,10.173162937164307
ranked_llm_evolution,gen02_mut_001,2,openai_ranked_mutation,True,0.365,0.3513975377804129,0.39654025377804125,0.14956666666666665,0.226,0.488,0.467,0.44643208140057755,0.5315695924445334,0.14956666666666665,0.226,45.69845247268677
ranked_llm_evolution,gen02_mut_002,2,openai_ranked_mutation,True,0.3,0.2775874882400397,0.32410174882400394,0.15280000000000002,0.22749999999999998,,,,,,,10.065026044845581
ranked_llm_evolution,gen02_cross_003_try1,2,openai_ranked_crossover,True,0.348,0.33762683876360977,0.378077508876361,0.15467833333333333,0.22749999999999998,,,,,,,9.974284172058105
ranked_llm_evolution,gen02_mut_004_try2,2,openai_ranked_mutation,True,0.295,0.2725932737451787,0.3186713273745178,0.14880000000000002,0.226,,,,,,,9.992414951324463
ranked_llm_evolution,gen02_mut_005,2,openai_ranked_mutation,True,0.361,0.34428896483095484,0.3917534964830955,0.15402666666666667,0.22749999999999998,0.502,0.4845,0.47220449303182355,0.5479843850076188,0.15402666666666667,0.22749999999999998,45.70435428619385
