policy_id,generation,source,status,validation_ok,num_sub_policies,num_operations,mean_probability,mean_magnitude,mixup_alpha,cutmix_alpha,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy
seed_00_standard,0,baseline_seed:standard,rough_evaluated,True,1,2,0.75,0.225,0.0,0.0,0.285,0.25068482436596196,,
seed_01_standard_color,0,baseline_seed:standard_color,rough_evaluated,True,1,3,0.6,0.17,0.0,0.0,0.306,0.27565262661725864,,
seed_02_standard_erasing,0,baseline_seed:standard_erasing,rough_evaluated,True,1,3,0.5499999999999999,0.15,0.0,0.0,0.314,0.29068992465517496,,
seed_03_standard_mixup,0,baseline_seed:standard_mixup,full_evaluated,True,1,3,0.5599999999999999,0.14,0.2,0.0,0.358,0.3169713840877043,0.496,0.4665
seed_04_standard_cutmix,0,baseline_seed:standard_cutmix,full_evaluated,True,1,2,0.75,0.16,0.0,0.4,0.285,0.23132410820539392,0.466,0.435
seed_05_conservative,0,baseline_seed:conservative,rough_evaluated,True,2,3,0.5833333333333334,0.15,0.0,0.0,0.296,0.24646247209470004,,
gen01_cross_000,1,openai_ranked_crossover,rough_evaluated,True,1,3,0.5666666666666667,0.14666666666666667,0.2,0.0,0.353,0.31759152729809176,,
gen01_mut_001,1,openai_ranked_mutation,rough_evaluated,True,1,3,0.5499999999999999,0.12666666666666668,0.2,0.0,0.277,0.2518719907024483,,
gen01_mut_002,1,openai_ranked_mutation,rough_evaluated,True,1,3,0.5533333333333333,0.14,0.22,0.0,0.252,0.22411296619077095,,
gen01_cross_003_try2,1,openai_ranked_crossover,rough_evaluated,True,1,3,0.5666666666666667,0.14,0.2,0.0,0.322,0.28535733955017195,,
gen01_mut_004,1,openai_ranked_mutation,rough_evaluated,True,1,3,0.5666666666666667,0.13333333333333333,0.2,0.0,0.316,0.27856258432889885,,
gen01_mut_005,1,openai_ranked_mutation,rough_evaluated,True,1,3,0.5733333333333334,0.15333333333333335,0.2,0.0,0.268,0.21883516097933028,,
gen02_cross_000,2,openai_ranked_crossover,rough_evaluated,True,1,3,0.5666666666666667,0.14333333333333334,0.2,0.0,0.296,0.26461145162956473,,
gen02_mut_001,2,openai_ranked_mutation,full_evaluated,True,1,3,0.5599999999999999,0.14,0.18,0.0,0.365,0.3513975377804129,0.488,0.467
gen02_mut_002,2,openai_ranked_mutation,rough_evaluated,True,1,3,0.5533333333333333,0.14,0.2,0.0,0.3,0.2775874882400397,,
gen02_cross_003_try1,2,openai_ranked_crossover,rough_evaluated,True,1,3,0.5633333333333334,0.14333333333333334,0.2,0.0,0.348,0.33762683876360977,,
gen02_mut_004_try2,2,openai_ranked_mutation,rough_evaluated,True,1,3,0.5533333333333333,0.14,0.18,0.0,0.295,0.2725932737451787,,
gen02_mut_005,2,openai_ranked_mutation,full_evaluated,True,1,3,0.5533333333333333,0.14666666666666667,0.2,0.0,0.361,0.34428896483095484,0.502,0.4845
