generation,source,operation,count,mean_probability,mean_magnitude
0,baseline_seed:conservative,ColorJitter,1,0.25,0.15
0,baseline_seed:conservative,HorizontalFlip,1,0.5,0.0
0,baseline_seed:conservative,RandomCrop,1,1.0,0.3
0,baseline_seed:standard,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard,RandomCrop,1,1.0,0.45
0,baseline_seed:standard_color,ColorJitter,1,0.3,0.16
0,baseline_seed:standard_color,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_color,RandomCrop,1,1.0,0.35
0,baseline_seed:standard_cutmix,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_cutmix,RandomCrop,1,1.0,0.32
0,baseline_seed:standard_erasing,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_erasing,RandomCrop,1,1.0,0.35
0,baseline_seed:standard_erasing,RandomErasing,1,0.15,0.1
0,baseline_seed:standard_mixup,ColorJitter,1,0.18,0.1
0,baseline_seed:standard_mixup,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_mixup,RandomCrop,1,1.0,0.32
1,openai_ranked_crossover,ColorJitter,2,0.2,0.11
1,openai_ranked_crossover,HorizontalFlip,2,0.5,0.0
1,openai_ranked_crossover,RandomCrop,2,1.0,0.32
1,openai_ranked_mutation,ColorJitter,4,0.1825,0.1
1,openai_ranked_mutation,HorizontalFlip,4,0.5,0.0
1,openai_ranked_mutation,RandomCrop,4,1.0,0.315
2,openai_ranked_crossover,ColorJitter,2,0.195,0.11
2,openai_ranked_crossover,HorizontalFlip,2,0.5,0.0
2,openai_ranked_crossover,RandomCrop,2,1.0,0.32
2,openai_ranked_mutation,ColorJitter,4,0.165,0.10500000000000001
2,openai_ranked_mutation,HorizontalFlip,4,0.5,0.0
2,openai_ranked_mutation,RandomCrop,4,1.0,0.32
