policy_id,generation,source,operation,probability,magnitude
seed_00_standard,0,baseline_seed:standard,RandomCrop,1.0,0.45
seed_00_standard,0,baseline_seed:standard,HorizontalFlip,0.5,0.0
seed_01_standard_color,0,baseline_seed:standard_color,RandomCrop,1.0,0.35
seed_01_standard_color,0,baseline_seed:standard_color,HorizontalFlip,0.5,0.0
seed_01_standard_color,0,baseline_seed:standard_color,ColorJitter,0.3,0.16
seed_02_standard_erasing,0,baseline_seed:standard_erasing,RandomCrop,1.0,0.35
seed_02_standard_erasing,0,baseline_seed:standard_erasing,HorizontalFlip,0.5,0.0
seed_02_standard_erasing,0,baseline_seed:standard_erasing,RandomErasing,0.15,0.1
seed_03_standard_mixup,0,baseline_seed:standard_mixup,RandomCrop,1.0,0.32
seed_03_standard_mixup,0,baseline_seed:standard_mixup,HorizontalFlip,0.5,0.0
seed_03_standard_mixup,0,baseline_seed:standard_mixup,ColorJitter,0.18,0.1
seed_04_standard_cutmix,0,baseline_seed:standard_cutmix,RandomCrop,1.0,0.32
seed_04_standard_cutmix,0,baseline_seed:standard_cutmix,HorizontalFlip,0.5,0.0
seed_05_conservative,0,baseline_seed:conservative,RandomCrop,1.0,0.3
seed_05_conservative,0,baseline_seed:conservative,HorizontalFlip,0.5,0.0
seed_05_conservative,0,baseline_seed:conservative,ColorJitter,0.25,0.15
gen01_cross_000,1,openai_ranked_crossover,RandomCrop,1.0,0.32
gen01_cross_000,1,openai_ranked_crossover,HorizontalFlip,0.5,0.0
gen01_cross_000,1,openai_ranked_crossover,ColorJitter,0.2,0.12
gen01_mut_001,1,openai_ranked_mutation,RandomCrop,1.0,0.3
gen01_mut_001,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_001,1,openai_ranked_mutation,ColorJitter,0.15,0.08
gen01_mut_002,1,openai_ranked_mutation,RandomCrop,1.0,0.32
gen01_mut_002,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_002,1,openai_ranked_mutation,ColorJitter,0.16,0.1
gen01_cross_003_try2,1,openai_ranked_crossover,RandomCrop,1.0,0.32
gen01_cross_003_try2,1,openai_ranked_crossover,HorizontalFlip,0.5,0.0
gen01_cross_003_try2,1,openai_ranked_crossover,ColorJitter,0.2,0.1
gen01_mut_004,1,openai_ranked_mutation,RandomCrop,1.0,0.3
gen01_mut_004,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_004,1,openai_ranked_mutation,ColorJitter,0.2,0.1
gen01_mut_005,1,openai_ranked_mutation,RandomCrop,1.0,0.34
gen01_mut_005,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_005,1,openai_ranked_mutation,ColorJitter,0.22,0.12
gen02_cross_000,2,openai_ranked_crossover,RandomCrop,1.0,0.32
gen02_cross_000,2,openai_ranked_crossover,HorizontalFlip,0.5,0.0
gen02_cross_000,2,openai_ranked_crossover,ColorJitter,0.2,0.11
gen02_mut_001,2,openai_ranked_mutation,RandomCrop,1.0,0.32
gen02_mut_001,2,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen02_mut_001,2,openai_ranked_mutation,ColorJitter,0.18,0.1
gen02_mut_002,2,openai_ranked_mutation,RandomCrop,1.0,0.32
gen02_mut_002,2,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen02_mut_002,2,openai_ranked_mutation,ColorJitter,0.16,0.1
gen02_cross_003_try1,2,openai_ranked_crossover,RandomCrop,1.0,0.32
gen02_cross_003_try1,2,openai_ranked_crossover,HorizontalFlip,0.5,0.0
gen02_cross_003_try1,2,openai_ranked_crossover,ColorJitter,0.19,0.11
gen02_mut_004_try2,2,openai_ranked_mutation,RandomCrop,1.0,0.32
gen02_mut_004_try2,2,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen02_mut_004_try2,2,openai_ranked_mutation,ColorJitter,0.16,0.1
gen02_mut_005,2,openai_ranked_mutation,RandomCrop,1.0,0.32
gen02_mut_005,2,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen02_mut_005,2,openai_ranked_mutation,ColorJitter,0.16,0.12
