method,policy_id,generation,source,valid,rough_val_accuracy,rough_val_macro_f1,rough_objective_score,rough_distortion_proxy,rough_policy_complexity,full_val_accuracy,full_test_accuracy,full_test_macro_f1,full_objective_score,full_distortion_proxy,full_policy_complexity,runtime_sec
ranked_llm_evolution,seed_00_standard,0,baseline_seed:standard,True,0.135,0.050706722605134355,0.13559567226051347,0.225,0.18333333333333332,,,,,,,0.8050570487976074
ranked_llm_evolution,seed_01_standard_color,0,baseline_seed:standard_color,True,0.065,0.02425873958537275,0.06412487395853728,0.13506666666666667,0.2125,,,,,,,0.2573518753051758
ranked_llm_evolution,seed_02_standard_erasing,0,baseline_seed:standard_erasing,True,0.095,0.017674418604651163,0.09364119186046511,0.12341666666666666,0.2125,,,,,,,0.23568105697631836
ranked_llm_evolution,seed_03_standard_mixup,0,baseline_seed:standard_mixup,True,0.175,0.0786353626174553,0.1791950362617455,0.15356666666666668,0.22749999999999998,0.205,0.184,0.12611511408192383,0.215213012605042,0.15356666666666668,0.22749999999999998,0.820641040802002
ranked_llm_evolution,seed_04_standard_cutmix,0,baseline_seed:standard_cutmix,True,0.15,0.07269071508201944,0.15238907150820194,0.24000000000000002,0.21333333333333332,0.21,0.21,0.1303166195422545,0.21766262777852832,0.24000000000000002,0.21333333333333332,0.7234656810760498
ranked_llm_evolution,seed_05_conservative,0,baseline_seed:conservative,True,0.175,0.11475475475475475,0.18273485047547547,0.114375,0.3375,,,,,,,0.22371602058410645
ranked_llm_evolution,openai_init_000,0,openai_initial,True,0.205,0.10545349222111884,0.2073134117221119,0.23146250000000002,0.7933333333333332,,,,,,,0.24312710762023926
ranked_llm_evolution,openai_init_001,0,openai_initial,True,0.205,0.11344279077092682,0.20824565407709267,0.22557499999999997,0.7858333333333333,0.22,0.196,0.10502940546043996,0.22516550296796073,0.22557499999999997,0.7858333333333333,0.7635889053344727
ranked_llm_evolution,gen01_cross_000,1,openai_ranked_crossover,True,0.21,0.12002334910720429,0.21768448491072043,0.13459000000000002,0.38316666666666666,0.2,0.178,0.12222063738157651,0.20931733514598594,0.13459000000000002,0.38316666666666666,0.7843170166015625
ranked_llm_evolution,gen01_mut_001,1,openai_ranked_mutation,True,0.185,0.09598944802350669,0.19010919480235067,0.14545000000000002,0.38466666666666666,,,,,,,0.23821687698364258
ranked_llm_evolution,gen01_mut_002,1,openai_ranked_mutation,True,0.19,0.11136714528331018,0.196815264528331,0.13483,0.38316666666666666,,,,,,,0.2245497703552246
ranked_llm_evolution,gen01_cross_003,1,openai_ranked_crossover,True,0.2,0.10801771871539315,0.20647492187153932,0.13519,0.38316666666666666,,,,,,,0.2328202724456787
ranked_llm_evolution,gen01_mut_004,1,openai_ranked_mutation,True,0.18,0.09408757828606995,0.18447379782860698,0.114064,0.5373333333333333,,,,,,,0.2250537872314453
ranked_llm_evolution,gen01_mut_005,1,openai_ranked_mutation,True,0.185,0.11208373229244373,0.1913580732292444,0.10962,0.5343333333333333,,,,,,,0.24294829368591309
ranked_llm_evolution,gen02_cross_000,2,openai_ranked_crossover,True,0.1,0.018518518518518517,0.09748435185185185,0.1373,0.38466666666666666,,,,,,,0.25719618797302246
ranked_llm_evolution,gen02_mut_001,2,openai_ranked_mutation,True,0.135,0.06951269451269451,0.13740564445126946,0.14797500000000002,0.38766666666666666,,,,,,,0.2218761444091797
ranked_llm_evolution,gen02_mut_002,2,openai_ranked_mutation,True,0.185,0.11895977698128235,0.1924193526981282,0.14397500000000002,0.38616666666666666,,,,,,,0.2332468032836914
ranked_llm_evolution,gen02_cross_003,2,openai_ranked_crossover,True,0.18,0.11867832132968532,0.18749433213296854,0.1377,0.38466666666666666,,,,,,,0.24031710624694824
ranked_llm_evolution,gen02_mut_004,2,openai_ranked_mutation,True,0.225,0.16453937755290937,0.23696868775529092,0.14455,0.38616666666666666,0.195,0.192,0.09540778668750398,0.20172456702875685,0.14455,0.38616666666666666,0.7940638065338135
ranked_llm_evolution,gen02_mut_005_try2,2,openai_ranked_mutation,True,0.17,0.08512342823499727,0.17396671782349973,0.14797500000000002,0.38766666666666666,,,,,,,0.2196657657623291
