policy_id,generation,source,status,validation_ok,num_sub_policies,num_operations,mean_probability,mean_magnitude,mixup_alpha,cutmix_alpha,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy
seed_00_standard,0,baseline_seed:standard,rough_evaluated,True,1,2,0.75,0.225,0.0,0.0,0.135,0.050706722605134355,,
seed_01_standard_color,0,baseline_seed:standard_color,rough_evaluated,True,1,3,0.6,0.17,0.0,0.0,0.065,0.02425873958537275,,
seed_02_standard_erasing,0,baseline_seed:standard_erasing,rough_evaluated,True,1,3,0.5499999999999999,0.15,0.0,0.0,0.095,0.017674418604651163,,
seed_03_standard_mixup,0,baseline_seed:standard_mixup,full_evaluated,True,1,3,0.5599999999999999,0.14,0.2,0.0,0.175,0.0786353626174553,0.205,0.184
seed_04_standard_cutmix,0,baseline_seed:standard_cutmix,full_evaluated,True,1,2,0.75,0.16,0.0,0.4,0.15,0.07269071508201944,0.21,0.21
seed_05_conservative,0,baseline_seed:conservative,rough_evaluated,True,2,3,0.5833333333333334,0.15,0.0,0.0,0.175,0.11475475475475475,,
openai_init_000,0,openai_initial,rough_evaluated,True,4,8,0.41875,0.14375,0.2,0.6,0.205,0.10545349222111884,,
openai_init_001,0,openai_initial,full_evaluated,True,4,8,0.35625,0.20875,0.2,0.5,0.205,0.11344279077092682,0.22,0.196
gen01_cross_000,1,openai_ranked_crossover,full_evaluated,True,2,4,0.4675,0.13,0.22,0.0,0.21,0.12002334910720429,0.2,0.178
gen01_mut_001,1,openai_ranked_mutation,rough_evaluated,True,2,4,0.46,0.14500000000000002,0.24,0.0,0.185,0.09598944802350669,,
gen01_mut_002,1,openai_ranked_mutation,rough_evaluated,True,2,4,0.46,0.13,0.22,0.0,0.19,0.11136714528331018,,
gen01_cross_003,1,openai_ranked_crossover,rough_evaluated,True,2,4,0.475,0.13,0.22,0.0,0.2,0.10801771871539315,,
gen01_mut_004,1,openai_ranked_mutation,rough_evaluated,True,3,5,0.41,0.12000000000000002,0.22,0.0,0.18,0.09408757828606995,,
gen01_mut_005,1,openai_ranked_mutation,rough_evaluated,True,3,5,0.422,0.12400000000000003,0.18,0.0,0.185,0.11208373229244373,,
gen02_cross_000,2,openai_ranked_crossover,rough_evaluated,True,2,4,0.455,0.13,0.24,0.0,0.1,0.018518518518518517,,
gen02_mut_001,2,openai_ranked_mutation,rough_evaluated,True,2,4,0.45,0.125,0.28,0.0,0.135,0.06951269451269451,,
gen02_mut_002,2,openai_ranked_mutation,rough_evaluated,True,2,4,0.45,0.125,0.26,0.0,0.185,0.11895977698128235,,
gen02_cross_003,2,openai_ranked_crossover,rough_evaluated,True,2,4,0.46,0.13,0.24,0.0,0.18,0.11867832132968532,,
gen02_mut_004,2,openai_ranked_mutation,full_evaluated,True,2,4,0.455,0.125,0.26,0.0,0.225,0.16453937755290937,0.195,0.192
gen02_mut_005_try2,2,openai_ranked_mutation,rough_evaluated,True,2,4,0.45,0.125,0.28,0.0,0.17,0.08512342823499727,,
