generation,source,operation,count,mean_probability,mean_magnitude
0,baseline_seed:conservative,ColorJitter,1,0.25,0.15
0,baseline_seed:conservative,HorizontalFlip,1,0.5,0.0
0,baseline_seed:conservative,RandomCrop,1,1.0,0.3
0,baseline_seed:standard,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard,RandomCrop,1,1.0,0.45
0,baseline_seed:standard_color,ColorJitter,1,0.3,0.16
0,baseline_seed:standard_color,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_color,RandomCrop,1,1.0,0.35
0,baseline_seed:standard_cutmix,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_cutmix,RandomCrop,1,1.0,0.32
0,baseline_seed:standard_erasing,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_erasing,RandomCrop,1,1.0,0.35
0,baseline_seed:standard_erasing,RandomErasing,1,0.15,0.1
0,baseline_seed:standard_mixup,ColorJitter,1,0.18,0.1
0,baseline_seed:standard_mixup,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_mixup,RandomCrop,1,1.0,0.32
0,openai_initial,Affine,1,0.25,0.15
0,openai_initial,ColorJitter,2,0.45,0.2
0,openai_initial,GaussianBlur,2,0.15,0.135
0,openai_initial,HorizontalFlip,2,0.5,0.31
0,openai_initial,RandomCrop,2,0.7250000000000001,0.135
0,openai_initial,RandomErasing,2,0.25,0.2
0,openai_initial,RandomResizedCrop,2,0.6,0.215
0,openai_initial,Rotation,2,0.25,0.09
0,openai_initial,Solarize,1,0.1,0.1
1,openai_ranked_crossover,ColorJitter,2,0.22,0.12
1,openai_ranked_crossover,HorizontalFlip,2,0.5,0.0
1,openai_ranked_crossover,RandomCrop,2,1.0,0.32
1,openai_ranked_crossover,Rotation,2,0.16499999999999998,0.08
1,openai_ranked_mutation,ColorJitter,4,0.25,0.125
1,openai_ranked_mutation,HorizontalFlip,4,0.5,0.0
1,openai_ranked_mutation,RandomCrop,4,1.0,0.30500000000000005
1,openai_ranked_mutation,RandomErasing,4,0.135,0.12000000000000001
1,openai_ranked_mutation,Rotation,2,0.15,0.06
2,openai_ranked_crossover,ColorJitter,2,0.2,0.12
2,openai_ranked_crossover,HorizontalFlip,2,0.5,0.0
2,openai_ranked_crossover,RandomCrop,2,1.0,0.32
2,openai_ranked_crossover,Rotation,2,0.13,0.08
2,openai_ranked_mutation,ColorJitter,4,0.185,0.1
2,openai_ranked_mutation,HorizontalFlip,4,0.5,0.0
2,openai_ranked_mutation,RandomCrop,4,1.0,0.34
2,openai_ranked_mutation,Rotation,4,0.12,0.06
