policy_id,generation,source,operation,probability,magnitude
seed_00_standard,0,baseline_seed:standard,RandomCrop,1.0,0.45
seed_00_standard,0,baseline_seed:standard,HorizontalFlip,0.5,0.0
seed_01_standard_color,0,baseline_seed:standard_color,RandomCrop,1.0,0.35
seed_01_standard_color,0,baseline_seed:standard_color,HorizontalFlip,0.5,0.0
seed_01_standard_color,0,baseline_seed:standard_color,ColorJitter,0.3,0.16
seed_02_standard_erasing,0,baseline_seed:standard_erasing,RandomCrop,1.0,0.35
seed_02_standard_erasing,0,baseline_seed:standard_erasing,HorizontalFlip,0.5,0.0
seed_02_standard_erasing,0,baseline_seed:standard_erasing,RandomErasing,0.15,0.1
seed_03_standard_mixup,0,baseline_seed:standard_mixup,RandomCrop,1.0,0.32
seed_03_standard_mixup,0,baseline_seed:standard_mixup,HorizontalFlip,0.5,0.0
seed_03_standard_mixup,0,baseline_seed:standard_mixup,ColorJitter,0.18,0.1
seed_04_standard_cutmix,0,baseline_seed:standard_cutmix,RandomCrop,1.0,0.32
seed_04_standard_cutmix,0,baseline_seed:standard_cutmix,HorizontalFlip,0.5,0.0
seed_05_conservative,0,baseline_seed:conservative,RandomCrop,1.0,0.3
seed_05_conservative,0,baseline_seed:conservative,HorizontalFlip,0.5,0.0
seed_05_conservative,0,baseline_seed:conservative,ColorJitter,0.25,0.15
openai_init_000,0,openai_initial,RandomResizedCrop,0.9,0.18
openai_init_000,0,openai_initial,HorizontalFlip,0.5,0.12
openai_init_000,0,openai_initial,ColorJitter,0.55,0.2
openai_init_000,0,openai_initial,Rotation,0.25,0.08
openai_init_000,0,openai_initial,RandomCrop,0.65,0.12
openai_init_000,0,openai_initial,GaussianBlur,0.15,0.15
openai_init_000,0,openai_initial,RandomErasing,0.25,0.2
openai_init_000,0,openai_initial,Solarize,0.1,0.1
openai_init_001,0,openai_initial,RandomCrop,0.8,0.15
openai_init_001,0,openai_initial,HorizontalFlip,0.5,0.5
openai_init_001,0,openai_initial,ColorJitter,0.35,0.2
openai_init_001,0,openai_initial,Rotation,0.25,0.1
openai_init_001,0,openai_initial,RandomResizedCrop,0.3,0.25
openai_init_001,0,openai_initial,GaussianBlur,0.15,0.12
openai_init_001,0,openai_initial,RandomErasing,0.25,0.2
openai_init_001,0,openai_initial,Affine,0.25,0.15
gen01_cross_000,1,openai_ranked_crossover,RandomCrop,1.0,0.32
gen01_cross_000,1,openai_ranked_crossover,HorizontalFlip,0.5,0.0
gen01_cross_000,1,openai_ranked_crossover,ColorJitter,0.22,0.12
gen01_cross_000,1,openai_ranked_crossover,Rotation,0.15,0.08
gen01_mut_001,1,openai_ranked_mutation,RandomCrop,1.0,0.34
gen01_mut_001,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_001,1,openai_ranked_mutation,ColorJitter,0.22,0.12
gen01_mut_001,1,openai_ranked_mutation,RandomErasing,0.12,0.12
gen01_mut_002,1,openai_ranked_mutation,RandomCrop,1.0,0.32
gen01_mut_002,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_002,1,openai_ranked_mutation,ColorJitter,0.22,0.12
gen01_mut_002,1,openai_ranked_mutation,RandomErasing,0.12,0.08
gen01_cross_003,1,openai_ranked_crossover,RandomCrop,1.0,0.32
gen01_cross_003,1,openai_ranked_crossover,HorizontalFlip,0.5,0.0
gen01_cross_003,1,openai_ranked_crossover,ColorJitter,0.22,0.12
gen01_cross_003,1,openai_ranked_crossover,Rotation,0.18,0.08
gen01_mut_004,1,openai_ranked_mutation,RandomCrop,1.0,0.28
gen01_mut_004,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_004,1,openai_ranked_mutation,ColorJitter,0.28,0.12
gen01_mut_004,1,openai_ranked_mutation,Rotation,0.15,0.06
gen01_mut_004,1,openai_ranked_mutation,RandomErasing,0.12,0.14
gen01_mut_005,1,openai_ranked_mutation,RandomCrop,1.0,0.28
gen01_mut_005,1,openai_ranked_mutation,HorizontalFlip,0.5,0.0
gen01_mut_005,1,openai_ranked_mutation,ColorJitter,0.28,0.14
gen01_mut_005,1,openai_ranked_mutation,Rotation,0.15,0.06
gen01_mut_005,1,openai_ranked_mutation,RandomErasing,0.18,0.14
gen02_cross_000,2,openai_ranked_crossover,RandomCrop,1.0,0.32
gen02_cross_000,2,openai_ranked_crossover,HorizontalFlip,0.5,0.0
gen02_cross_000,2,openai_ranked_crossover,ColorJitter,0.2,0.12
