experiment_name,dataset,model,method,stage,policy_id,source,seed,generation,valid,is_final_comparison,train_size,val_size,test_size,epochs,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,runtime_sec,device,unlabeled_size,final_pseudo_mask_rate,final_pseudo_confidence,best_pseudo_mask_rate,best_pseudo_confidence,best_unsupervised_loss
cifar10_adaptive_openai_pilot,cifar10,tinycnn,adaptive_ranked_llm_evolution,adaptive,adaptive_policy_002,openai_ranked_mutation,,,True,True,100.0,100.0,200.0,5.0,0.17,0.091364046973803,0.125,0.0688447804619996,,,,,,,,
cifar10_fixmatch_geo_candidate,cifar10,resnet18_cifar,fixmatch_llm_geo_refined_candidate,fixmatch,fix_geo_balanced_001,manual_fixmatch_candidate,61.0,,True,True,1000.0,1000.0,2000.0,15.0,0.594,0.5886385470507162,0.564,0.55317929418878,451.92828488349915,mps,10000.0,,,,,
cifar10_fixmatch_in_loop_openai,cifar10,resnet18_cifar,fixmatch_ranked_llm_evolution,fixmatch,seed_01_randaugment,baseline_seed:randaugment,61.0,0.0,True,True,1000.0,1000.0,2000.0,15.0,0.593,0.5933854156696916,0.5695,0.5647467103749273,433.9453489780426,mps,10000.0,0.0,0.1640408079211528,0.6440304487179487,0.8269931521171179,0.2113682703138926
cifar10_fixmatch_in_loop_openai,cifar10,resnet18_cifar,fixmatch_ranked_llm_evolution,fixmatch,init_supervised_llm_gen02_mut_005,supervised_openai_ranked_policy,61.0,0.0,True,True,1000.0,1000.0,2000.0,15.0,0.1,0.0181818181818181,0.0975,0.0177676537585421,434.9369831085205,mps,10000.0,0.0,0.1205473733253968,0.0035056089743589,0.2350498590713892,0.0008359828744477
cifar10_fixmatch_in_loop_openai,cifar10,resnet18_cifar,fixmatch_ranked_llm_evolution,fixmatch,seed_00_standard,baseline_seed:standard,61.0,0.0,True,True,1000.0,1000.0,2000.0,15.0,0.457,0.4391075363886313,0.4345,0.4144917179226199,431.87441086769104,mps,10000.0,0.0,0.1242559597087212,0.1323116987179487,0.5291947588706628,0.0344632614929324
cifar10_fixmatch_llm_strong_policy,cifar10,resnet18_cifar,fixmatch_standard,fixmatch,strong_standard,fixmatch_named_strong,61.0,,True,True,1000.0,1000.0,2000.0,15.0,0.566,0.5551510053175159,0.5675,0.5512035100102725,457.8352921009064,mps,10000.0,,,,,
cifar10_fixmatch_llm_strong_policy,cifar10,resnet18_cifar,fixmatch_randaugment,fixmatch,strong_randaugment,fixmatch_named_strong,61.0,,True,True,1000.0,1000.0,2000.0,15.0,0.639,0.6365051623081526,0.6205,0.6105111738777231,477.4414572715759,mps,10000.0,,,,,
cifar10_fixmatch_llm_strong_policy,cifar10,resnet18_cifar,fixmatch_trivialaugment,fixmatch,strong_trivialaugment,fixmatch_named_strong,61.0,,True,True,1000.0,1000.0,2000.0,15.0,0.63,0.626799619561219,0.615,0.6108378052526446,466.3779230117798,mps,10000.0,,,,,
cifar10_fixmatch_llm_strong_policy,cifar10,resnet18_cifar,fixmatch_llm_evolved_cifar_best,fixmatch,fix_llm_gen02_mut_005,openai_ranked_policy_from_supervised_search,61.0,,True,True,1000.0,1000.0,2000.0,15.0,0.614,0.6137227717437923,0.59,0.5838242670042952,460.5797588825226,mps,10000.0,,,,,
cifar10_fixmatch_repaired_llm_children,cifar10,resnet18_cifar,fixmatch_llm_repaired_cross_000,fixmatch,fm_gen01_cross_000_repaired,repaired_openai_ranked_mutation,61.0,,True,True,1000.0,1000.0,2000.0,15.0,0.608,0.6062319793246035,0.589,0.5808843673268446,440.0042099952698,mps,10000.0,0.0349559294871794,0.2009090166061352,0.6930088141025641,0.8498953122359055,0.1906723991418496
cifar10_fixmatch_repaired_llm_children,cifar10,resnet18_cifar,fixmatch_llm_repaired_mut_001,fixmatch,fm_gen01_mut_001_repaired,repaired_openai_ranked_mutation,61.0,,True,True,1000.0,1000.0,2000.0,15.0,0.627,0.6206248569650835,0.5905,0.5805318204750257,444.922199010849,mps,10000.0,0.6813902243589743,0.8449750305750431,0.6813902243589743,0.8449750305750431,0.2183609251410533
cifar10_lowdata_pure_evolution,cifar10,resnet18,pure_evolution,evolution_rough,heuristic_init_000,heuristic,,0.0,True,False,,,,,0.315,0.2899697230873048,,,4.582484006881714,,,,,,,
cifar10_lowdata_pure_evolution,cifar10,resnet18,pure_evolution,evolution_rough,heuristic_init_001,heuristic,,0.0,True,False,,,,,0.338,0.320950677832082,,,4.122737884521484,,,,,,,
cifar10_lowdata_pure_evolution,cifar10,resnet18,pure_evolution,evolution_rough,heuristic_init_002,heuristic,,0.0,True,False,,,,,0.341,0.3310031774684986,,,3.56518816947937,,,,,,,
cifar10_lowdata_pure_evolution,cifar10,resnet18,pure_evolution,evolution_rough,heuristic_init_003,heuristic,,0.0,True,False,,,,,0.259,0.2347919061427777,,,3.5222883224487305,,,,,,,
cifar10_lowdata_pure_evolution,cifar10,resnet18,pure_evolution,evolution_rough,heuristic_init_004,heuristic,,0.0,True,False,,,,,0.326,0.3116959474188883,,,4.268476963043213,,,,,,,
cifar10_lowdata_pure_evolution,cifar10,resnet18,pure_evolution,evolution_rough,heuristic_init_005,heuristic,,0.0,True,False,,,,,0.308,0.2757315707387729,,,3.554191827774048,,,,,,,
