experiment_name,dataset,model,method,val_accuracy_mean,val_accuracy_std,val_accuracy_count,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,runtime_sec_mean,runtime_sec_std,runtime_sec_count,final_pseudo_mask_rate_mean,final_pseudo_mask_rate_std,final_pseudo_mask_rate_count,final_pseudo_confidence_mean,final_pseudo_confidence_std,final_pseudo_confidence_count,best_pseudo_mask_rate_mean,best_pseudo_mask_rate_std,best_pseudo_mask_rate_count,best_pseudo_confidence_mean,best_pseudo_confidence_std,best_pseudo_confidence_count,best_unsupervised_loss_mean,best_unsupervised_loss_std,best_unsupervised_loss_count
cifar10_adaptive_openai_pilot,cifar10,tinycnn,adaptive_ranked_llm_evolution,0.17,,1,0.091364046973803,,1,0.125,,1,0.0688447804619996,,1,,,0,,,,,,,,,,,,,,,
cifar10_fixmatch_geo_candidate,cifar10,resnet18_cifar,fixmatch_llm_geo_refined_candidate,0.594,,1,0.5886385470507162,,1,0.564,,1,0.55317929418878,,1,451.92828488349915,,1,,,,,,,,,,,,,,,
cifar10_fixmatch_in_loop_openai,cifar10,resnet18_cifar,fixmatch_ranked_llm_evolution,0.3833333333333333,0.254621941971491,3,0.3502249234133803,0.2977245099210495,3,0.3671666666666667,0.2430973741802517,3,0.3323353606853631,0.2825929446573454,3,433.5855809847514,1.562661812204555,3,0.0,0.0,3.0,0.1362813803184236,0.0241117765596817,3.0,0.2599492521367521,0.3388016032491453,3.0,0.5304125900197233,0.2959735256403621,3.0,0.0822225048937575,0.1131002653015708,3.0
cifar10_fixmatch_llm_strong_policy,cifar10,resnet18_cifar,fixmatch_llm_evolved_cifar_best,0.614,,1,0.6137227717437923,,1,0.59,,1,0.5838242670042952,,1,460.5797588825226,,1,,,,,,,,,,,,,,,
cifar10_fixmatch_llm_strong_policy,cifar10,resnet18_cifar,fixmatch_randaugment,0.639,,1,0.6365051623081526,,1,0.6205,,1,0.6105111738777231,,1,477.4414572715759,,1,,,,,,,,,,,,,,,
cifar10_fixmatch_llm_strong_policy,cifar10,resnet18_cifar,fixmatch_standard,0.566,,1,0.5551510053175159,,1,0.5675,,1,0.5512035100102725,,1,457.8352921009064,,1,,,,,,,,,,,,,,,
cifar10_fixmatch_llm_strong_policy,cifar10,resnet18_cifar,fixmatch_trivialaugment,0.63,,1,0.626799619561219,,1,0.615,,1,0.6108378052526446,,1,466.3779230117798,,1,,,,,,,,,,,,,,,
cifar10_fixmatch_repaired_llm_children,cifar10,resnet18_cifar,fixmatch_llm_repaired_cross_000,0.608,,1,0.6062319793246035,,1,0.589,,1,0.5808843673268446,,1,440.0042099952698,,1,0.0349559294871794,,1.0,0.2009090166061352,,1.0,0.6930088141025641,,1.0,0.8498953122359055,,1.0,0.1906723991418496,,1.0
cifar10_fixmatch_repaired_llm_children,cifar10,resnet18_cifar,fixmatch_llm_repaired_mut_001,0.627,,1,0.6206248569650835,,1,0.5905,,1,0.5805318204750257,,1,444.922199010849,,1,0.6813902243589743,,1.0,0.8449750305750431,,1.0,0.6813902243589743,,1.0,0.8449750305750431,,1.0,0.2183609251410533,,1.0
cifar10_lowdata_pure_evolution,cifar10,resnet18,pure_evolution,0.3886666666666666,0.0244404037064311,3,,,0,0.3995,0.0250449595727363,3,0.3884023371997124,0.0266548966504174,3,25.673354625701904,2.852012118975771,3,,,,,,,,,,,,,,,
cifar10_lowdata_resnet18,cifar10,resnet18,augmix,0.3960000000000001,0.009,3,0.3898296979167148,0.0077621091425927,3,0.3883333333333333,0.0106926766215636,3,0.3797911933739682,0.0126820613164736,3,46.54785005251566,0.165641630834106,3,,,,,,,,,,,,,,,
cifar10_lowdata_resnet18,cifar10,resnet18,autoaugment,0.3936666666666666,0.0037859388972001,3,0.3862498417982458,0.0054724285297043,3,0.3983333333333334,0.0160182187940274,3,0.3876429110623133,0.0061773024066813,3,22.622173070907593,0.6333038714741187,3,,,,,,,,,,,,,,,
cifar10_lowdata_resnet18,cifar10,resnet18,llm_guided_evolution,0.411,0.0017320508075688,3,,,0,0.4048333333333333,0.0085488790688214,3,0.3950731075683146,0.0192213568649443,3,28.433608293533325,0.595514550603633,3,,,,,,,,,,,,,,,
cifar10_lowdata_resnet18,cifar10,resnet18,none,0.4003333333333334,0.0179257728796649,3,0.3954603378305659,0.0211930379688954,3,0.3893333333333333,0.0192635233883454,3,0.3842395573826224,0.0216471726970005,3,18.011552095413208,0.5233251524211268,3,,,,,,,,,,,,,,,
cifar10_lowdata_resnet18,cifar10,resnet18,one_shot_llm,0.426,,1,0.4191675317333461,,1,0.4525,,1,0.4439372197625598,,1,19.775655031204224,,1,,,,,,,,,,,,,,,
cifar10_lowdata_resnet18,cifar10,resnet18,randaugment,0.435,0.0072111025509279,3,0.424363435307492,0.0088901268000194,3,0.4396666666666666,0.0089489291724392,3,0.4267633077374357,0.0091670866153036,3,21.180999517440796,0.316026514744037,3,,,,,,,,,,,,,,,
cifar10_lowdata_resnet18,cifar10,resnet18,random_search_full,0.3879999999999999,0.0274043792120894,3,0.3829178784066775,0.0247166592116065,3,0.3953333333333333,0.0172143351115671,3,0.3869159542560005,0.0141903379137766,3,20.59822686513265,4.228795069928522,3,,,,,,,,,,,,,,,
cifar10_lowdata_resnet18,cifar10,resnet18,standard,0.4426666666666667,0.0162583311976762,3,0.4367520473811679,0.017913608394267,3,0.4318333333333333,0.0207444771766688,3,0.4211675101693632,0.0165746597456903,3,20.037866751352947,0.218565805974518,3,,,,,,,,,,,,,,,
