experiment_name,dataset,adaptive_ranked_llm_evolution,augmix,autoaugment,fixmatch_llm_evolved_cifar_best,fixmatch_llm_geo_refined_candidate,fixmatch_llm_repaired_cross_000,fixmatch_llm_repaired_mut_001,fixmatch_randaugment,fixmatch_ranked_llm_evolution,fixmatch_standard,fixmatch_trivialaugment,llm_guided_evolution,none,one_shot_llm,pure_evolution,randaugment,random_search_full,ranked_llm_evolution,standard,standard_color,standard_cutmix,standard_erasing,standard_mixup,trivialaugment
cifar10_adaptive_openai_pilot,cifar10,0.125,,,,,,,,,,,,,,,,,,,,,,,
cifar10_fixmatch_geo_candidate,cifar10,,,,,0.564,,,,,,,,,,,,,,,,,,,
cifar10_fixmatch_in_loop_openai,cifar10,,,,,,,,,0.3671666666666667,,,,,,,,,,,,,,,
cifar10_fixmatch_llm_strong_policy,cifar10,,,,0.59,,,,0.6205,,0.5675,0.615,,,,,,,,,,,,,
cifar10_fixmatch_repaired_llm_children,cifar10,,,,,,0.589,0.5905,,,,,,,,,,,,,,,,,
cifar10_lowdata_pure_evolution,cifar10,,,,,,,,,,,,,,,0.3995,,,,,,,,,
cifar10_lowdata_resnet18,cifar10,,0.38833333333333336,0.3983333333333334,,,,,,,,,0.4048333333333333,0.3893333333333333,0.4525,,0.43966666666666665,0.3953333333333333,,0.43183333333333335,,,,,0.424
cifar10_pilot_pure_evolution,cifar10,,,,,,,,,,,,,,,0.12,,,,,,,,,
cifar10_pilot_tinycnn,cifar10,,,,,,,,,,,,0.18,0.09,0.1,,0.105,0.1,,0.16,,,,,
cifar10_ranked_evolution_pilot,cifar10,,,,,,,,,,,,,0.1,,,0.09,,0.08,0.135,,,,,0.085
cifar10_ranked_openai_pilot,cifar10,,,,,,,,,,,,,0.15,,,0.115,,0.2,0.245,,,,,0.17
cifar10_resnet18cifar_strong_openai,cifar10,,,,,,,,,,,,,0.4065,,,0.4435,,0.46325,0.41,,0.4825,,0.485,0.3975
cifar10_strong_openai_pilot,cifar10,,,,,,,,,,,,,0.116,,,0.154,,0.192,0.164,0.138,0.188,0.146,0.234,0.166
eurosat_resnet18cifar_strong_openai,eurosat,,,,,,,,,,,,,0.7395,,,0.5815,,0.7094999999999999,0.7195,,0.6925,,0.707,0.648
eurosat_stretch_pure_evolution,eurosat,,,,,,,,,,,,,,,0.7106666666666667,,,,,,,,,
eurosat_stretch_resnet18,eurosat,,0.6748333333333333,,,,,,,,,,0.6868333333333334,0.6795,0.7255,,0.7090000000000001,0.7166666666666667,,0.7575,,,,,0.7301666666666667
flowers102_lowdata_pure_evolution,flowers102,,,,,,,,,,,,,,,0.313235294117647,,,,,,,,,
flowers102_lowdata_resnet18,flowers102,,0.4026143790849673,0.3029411764705882,,,,,,,,,0.31862745098039214,0.2625816993464052,0.0852941176470588,,0.45816993464052286,0.23905228758169936,,0.4475490196078431,,,,,0.4746732026143791
smoke_adaptive_evolution,fake,0.125,,,,,,,,,,,,,,,,,,,,,,,
smoke_fake_pure_evolution,fake,,,,,,,,,,,,,0.05,0.075,0.075,,0.15,,,,,,,
smoke_fake_tinycnn,fake,,,,,,,,,,,,0.15,0.025,0.125,,0.125,0.15,,0.125,,,,,
smoke_fixmatch,fake,,,,,,,,0.025,,0.025,,,,,,,,,,,,,,
smoke_fixmatch_evolution,fake,,,,,,,,,0.125,,,,,,,,,,,,,,,
smoke_openai_ranked_evolution,fake,,,,,,,,,,,,,,,,,,0.125,,,,,,
smoke_ranked_evolution,fake,,,,,,,,,,,,,,,,,,0.025,,,,,,
