method,val_accuracy_mean,val_accuracy_std,val_accuracy_count,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,runtime_sec_mean,runtime_sec_std,runtime_sec_count,final_pseudo_mask_rate_mean,final_pseudo_mask_rate_std,final_pseudo_mask_rate_count,final_pseudo_confidence_mean,final_pseudo_confidence_std,final_pseudo_confidence_count,best_pseudo_mask_rate_mean,best_pseudo_mask_rate_std,best_pseudo_mask_rate_count,best_pseudo_confidence_mean,best_pseudo_confidence_std,best_pseudo_confidence_count,best_unsupervised_loss_mean,best_unsupervised_loss_std,best_unsupervised_loss_count,display_name,setting
none,0.373,0.0017320508075688,3,0.3601396499971577,0.0141290598073042,3,0.3551666666666667,0.0115361749871148,3,0.3447416157596947,0.0195894451792101,3,29.450671990712483,0.6758840883677645,3,,,0,,,0,,,0,,,0,,,0,None,supervised
standard,0.4556666666666666,0.0215483951451919,3,0.4468472099106447,0.0225920666498786,3,0.4488333333333333,0.0123524626424585,3,0.4339931999905685,0.0142342526285715,3,30.030876000722248,0.1523838008760649,3,,,0,,,0,,,0,,,0,,,0,Standard,supervised
standard_mixup,0.4586666666666666,0.0150443787951956,3,0.4534454262493113,0.0113149116533744,3,0.446,0.0067638746292343,3,0.4346913481446248,0.0078944901952172,3,30.364715258280437,0.447946300557807,3,,,0,,,0,,,0,,,0,,,0,Mixup,supervised
standard_cutmix,0.4653333333333333,0.0185831464863551,3,0.4493095089027036,0.0193307624286486,3,0.457,0.0113026545554573,3,0.4372215348523034,0.020038743405924,3,30.234176238377888,0.0534292164532391,3,,,0,,,0,,,0,,,0,,,0,CutMix,supervised
randaugment,0.4556666666666666,0.0237135685491098,3,0.4490818754103514,0.0259074527629142,3,0.4478333333333333,0.031631998566852,3,0.4357624367843296,0.0273309157205459,3,31.007342020670578,0.0799736595314415,3,,,0,,,0,,,0,,,0,,,0,RandAugment,supervised
trivialaugment,0.3899999999999999,0.0200748598998847,3,0.3632139387887578,0.0390935964782943,3,0.3901666666666667,0.0199018424607706,3,0.3598991501405851,0.0390247529798349,3,30.940290053685505,0.7773530126745484,3,,,0,,,0,,,0,,,0,,,0,TrivialAugment,supervised
supervised_llm_evolved_best,0.4636666666666666,0.0197315314492649,3,0.4535952942395817,0.0194285032949344,3,0.4483333333333333,0.0180577776410424,3,0.4351011112210121,0.0169566909524274,3,30.978790283203125,0.4218268087065658,3,,,0,,,0,,,0,,,0,,,0,LLM evolved,supervised
fixmatch_standard,0.41,0.2684697375869391,3,0.3750847544502176,0.3090912275704845,3,0.4056666666666667,0.2678443266775187,3,0.3696277761434712,0.3049144767253826,3,449.5514787038167,8.995433768217918,3,0.2295005341880341,0.3975065855778733,3,0.3726448191282077,0.4122665827100595,3,0.3381911057692307,0.4700588648572832,2,0.5371498898722422,0.4287133644410378,2,0.0886905020720755,0.1238451786967967,2,FixMatch Standard,fixmatch
fixmatch_randaugment,0.6266666666666666,0.0149777612924406,3,0.6229214972592698,0.0143899385937449,3,0.6185,0.0141067359796658,3,0.6102807807020154,0.0171707134289121,3,481.2479039827983,3.3045712208296125,3,0.6332799145299145,0.0032768378625306,3,0.8190575086662912,0.0022398389965202,3,0.633964342948718,0.0043202637872975,2,0.8191289275120466,0.0031627762411355,2,0.317263862165885,0.0023163614804852,2,FixMatch RandAugment,fixmatch
fixmatch_trivialaugment,0.5376666666666666,0.1521983355143325,3,0.533204889893955,0.1485145821580319,3,0.5388333333333333,0.1473400262431541,3,0.5327810832683478,0.1450295669219825,3,470.55918288230896,4.904706885528563,3,0.4001068376068376,0.3467397823639352,3,0.5773650165806469,0.3885580183068262,3,0.3175080128205128,0.4178615794271465,2,0.6017660349607468,0.2897534889700329,2,0.2559496188261665,0.3337509816803661,2,FixMatch TrivialAugment,fixmatch
fixmatch_llm_evolved_cifar_best,0.5823333333333333,0.0330807093837682,3,0.5831083629186384,0.0326168417307564,3,0.5726666666666667,0.0219393102292057,3,0.5669516887167615,0.0236538652079564,3,458.4163703918457,13.296018275762814,3,0.6835269764957265,0.0086881926258605,3,0.8461708686290642,0.0047291373595887,3,0.6779346955128205,0.0125358473828144,2,0.8436980411792413,0.0058208045262256,2,0.1815826907180822,0.0020948198133529,2,FixMatch LLM reused,fixmatch
fixmatch_llm_repaired_mut_001,0.486,0.1286506898543494,3,0.4688736549201637,0.1382303013906544,3,0.4815,0.097524355932249,3,0.4649289028773569,0.1032714042586631,3,457.99742301305133,12.184921350329445,3,0.2271300747863247,0.3934008294568333,3,0.3660478010200537,0.4147722902049854,3,0.387520032051282,0.2545029149780116,3,0.6879668347855917,0.1360513696963682,3,0.1214040059070938,0.0839767454867618,3,FixMatch LLM repaired,fixmatch
