method,policy_id,generation,source,valid,rough_val_accuracy,rough_val_macro_f1,rough_objective_score,rough_distortion_proxy,rough_policy_complexity,full_val_accuracy,full_test_accuracy,full_test_macro_f1,full_objective_score,full_distortion_proxy,full_policy_complexity,runtime_sec
ranked_llm_evolution,seed_00_none,0,baseline_seed:none,True,0.553,0.5233389331748342,0.6053338933174834,0.0,0.0,0.719,0.7225,0.7091446207075599,0.7901042135923266,0.0,0.0,120.6744396686554
ranked_llm_evolution,seed_01_standard,0,baseline_seed:standard,True,0.544,0.5104618887029411,0.5911118138702942,0.11562499999999999,0.36666666666666664,,,,,,,32.08545422554016
ranked_llm_evolution,seed_02_standard_color,0,baseline_seed:standard_color,True,0.588,0.560845604151163,0.6408608104151163,0.06825,0.36666666666666664,0.709,0.7055,0.69508676007409,0.7762097603074875,0.06825,0.36666666666666664,120.41243100166321
ranked_llm_evolution,seed_03_standard_erasing,0,baseline_seed:standard_erasing,True,0.608,0.5819621211826751,0.6630263121182676,0.06466,0.36666666666666664,0.715,0.694,0.6857333285784584,0.7828211377269845,0.06466,0.36666666666666664,121.20583391189575
ranked_llm_evolution,seed_04_standard_mixup,0,baseline_seed:standard_mixup,True,0.566,0.5308802772824432,0.6151480277282442,0.11000000000000001,0.38166666666666665,0.723,0.72,0.7077689173128474,0.7904786651679107,0.11000000000000001,0.38166666666666665,124.67939829826355
ranked_llm_evolution,seed_05_standard_cutmix,0,baseline_seed:standard_cutmix,True,0.536,0.5026745504430385,0.582362455044304,0.16333333333333333,0.2425,0.697,0.6905,0.6688598258077556,0.7610852996570708,0.16333333333333333,0.2425,131.36019897460938
ranked_llm_evolution,seed_06_conservative,0,baseline_seed:conservative,True,0.572,0.5398557939393724,0.6225965793939372,0.0676,0.39583333333333337,,,,,,,32.35469198226929
ranked_llm_evolution,openai_init_000,0,openai_initial,True,0.509,0.45891383215696735,0.5464463050906968,0.251671875,0.7783333333333333,,,,,,,32.07276201248169
ranked_llm_evolution,gen01_cross_000,1,openai_ranked_crossover,True,0.575,0.5490190636429281,0.6279533563642927,0.0065699999999999995,0.30833333333333335,,,,,,,32.191165924072266
ranked_llm_evolution,gen01_mut_001,1,openai_ranked_mutation,True,0.56,0.530941893277338,0.6094797693277338,0.032628000000000004,0.5208333333333334,,,,,,,32.48395895957947
ranked_llm_evolution,gen01_mut_002,1,openai_ranked_mutation,True,0.597,0.5603872177271626,0.6500171617727163,0.043104,0.39583333333333337,0.726,0.7245,0.7083032206126122,0.7950665775675523,0.043104,0.39583333333333337,119.33554601669312
ranked_llm_evolution,gen01_cross_003,1,openai_ranked_crossover,True,0.544,0.5191915828811167,0.5921500282881117,0.042942,0.5208333333333334,,,,,,,32.71559381484985
ranked_llm_evolution,gen01_mut_004,1,openai_ranked_mutation,True,0.55,0.5220845678538335,0.5994138767853834,0.027971999999999997,0.39583333333333337,,,,,,,32.245447874069214
ranked_llm_evolution,gen01_mut_005,1,openai_ranked_mutation,True,0.54,0.5053582601001145,0.5868506960100115,0.037342,0.5208333333333334,,,,,,,32.33089995384216
ranked_llm_evolution,gen02_cross_000,2,openai_ranked_crossover,True,0.496,0.464430248517348,0.5386835698517347,0.042297,0.5208333333333334,,,,,,,33.366793155670166
ranked_llm_evolution,gen02_mut_001,2,openai_ranked_mutation,True,0.476,0.4466760890914073,0.5169410639091406,0.040103,0.5208333333333334,,,,,,,32.776365756988525
ranked_llm_evolution,gen02_mut_002,2,openai_ranked_mutation,True,0.481,0.4471003018844651,0.5220233851884465,0.037443000000000004,0.5208333333333334,,,,,,,32.314656019210815
ranked_llm_evolution,gen02_cross_003,2,openai_ranked_crossover,True,0.508,0.4810652736611301,0.552383432366113,0.039873000000000006,0.5208333333333334,,,,,,,32.328437089920044
ranked_llm_evolution,gen02_mut_004,2,openai_ranked_mutation,True,0.493,0.46691837081486404,0.5359721920814864,0.039643,0.5208333333333334,,,,,,,31.468828916549683
ranked_llm_evolution,gen02_mut_005_try1,2,openai_ranked_mutation,True,0.582,0.556080462154247,0.6346819899654247,0.04840375,0.36666666666666664,,,,,,,30.465768814086914
