policy_id,generation,source,status,validation_ok,num_sub_policies,num_operations,mean_probability,mean_magnitude,mixup_alpha,cutmix_alpha,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy
seed_00_none,0,baseline_seed:none,full_evaluated,True,0,0,0.0,0.0,0.0,0.0,0.553,0.5233389331748342,0.719,0.7225
seed_01_standard,0,baseline_seed:standard,rough_evaluated,True,2,4,0.6125,0.15,0.0,0.0,0.544,0.5104618887029411,,
seed_02_standard_color,0,baseline_seed:standard_color,full_evaluated,True,2,4,0.55,0.0875,0.0,0.0,0.588,0.560845604151163,0.709,0.7055
seed_03_standard_erasing,0,baseline_seed:standard_erasing,full_evaluated,True,2,4,0.52,0.0825,0.0,0.0,0.608,0.5819621211826751,0.715,0.694
seed_04_standard_mixup,0,baseline_seed:standard_mixup,full_evaluated,True,2,4,0.5625,0.0925,0.2,0.0,0.566,0.5308802772824432,0.723,0.72
seed_05_standard_cutmix,0,baseline_seed:standard_cutmix,full_evaluated,True,1,3,0.6666666666666666,0.08333333333333333,0.0,0.4,0.536,0.5026745504430385,0.697,0.6905
seed_06_conservative,0,baseline_seed:conservative,rough_evaluated,True,2,5,0.5,0.11000000000000001,0.0,0.0,0.572,0.5398557939393724,,
openai_init_000,0,openai_initial,rough_evaluated,True,4,8,0.3875,0.2875,0.2,0.4,0.509,0.45891383215696735,,
gen01_cross_000,1,openai_ranked_crossover,rough_evaluated,True,2,2,0.09,0.06,0.0,0.0,0.575,0.5490190636429281,,
gen01_mut_001,1,openai_ranked_mutation,rough_evaluated,True,3,5,0.366,0.064,0.0,0.0,0.56,0.530941893277338,,
gen01_mut_002,1,openai_ranked_mutation,full_evaluated,True,2,5,0.41600000000000004,0.076,0.0,0.0,0.597,0.5603872177271626,0.726,0.7245
gen01_cross_003,1,openai_ranked_crossover,rough_evaluated,True,3,5,0.41600000000000004,0.074,0.0,0.0,0.544,0.5191915828811167,,
gen01_mut_004,1,openai_ranked_mutation,rough_evaluated,True,2,5,0.358,0.06799999999999999,0.0,0.0,0.55,0.5220845678538335,,
gen01_mut_005,1,openai_ranked_mutation,rough_evaluated,True,3,5,0.40599999999999997,0.07,0.0,0.0,0.54,0.5053582601001145,,
gen02_cross_000,2,openai_ranked_crossover,rough_evaluated,True,3,5,0.418,0.072,0.0,0.0,0.496,0.464430248517348,,
gen02_mut_001,2,openai_ranked_mutation,rough_evaluated,True,3,5,0.404,0.06999999999999999,0.0,0.0,0.476,0.4466760890914073,,
gen02_mut_002,2,openai_ranked_mutation,rough_evaluated,True,3,5,0.39,0.068,0.0,0.0,0.481,0.4471003018844651,,
gen02_cross_003,2,openai_ranked_crossover,rough_evaluated,True,3,5,0.404,0.068,0.0,0.0,0.508,0.4810652736611301,,
gen02_mut_004,2,openai_ranked_mutation,rough_evaluated,True,3,5,0.4,0.068,0.0,0.0,0.493,0.46691837081486404,,
gen02_mut_005_try1,2,openai_ranked_mutation,rough_evaluated,True,2,4,0.48,0.07250000000000001,0.0,0.0,0.582,0.556080462154247,,
