generation,source,operation,count,mean_probability,mean_magnitude
0,baseline_seed:conservative,GaussianBlur,1,0.15,0.1
0,baseline_seed:conservative,HorizontalFlip,1,0.5,0.0
0,baseline_seed:conservative,RandomCrop,1,1.0,0.25
0,baseline_seed:conservative,Rotation,1,0.35,0.2
0,baseline_seed:conservative,VerticalFlip,1,0.5,0.0
0,baseline_seed:standard,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard,RandomCrop,1,1.0,0.35
0,baseline_seed:standard,Rotation,1,0.45,0.25
0,baseline_seed:standard,VerticalFlip,1,0.5,0.0
0,baseline_seed:standard_color,ColorJitter,1,0.2,0.1
0,baseline_seed:standard_color,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_color,RandomCrop,1,1.0,0.25
0,baseline_seed:standard_color,VerticalFlip,1,0.5,0.0
0,baseline_seed:standard_cutmix,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_cutmix,RandomCrop,1,1.0,0.25
0,baseline_seed:standard_cutmix,VerticalFlip,1,0.5,0.0
0,baseline_seed:standard_erasing,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_erasing,RandomCrop,1,1.0,0.25
0,baseline_seed:standard_erasing,RandomErasing,1,0.08,0.08
0,baseline_seed:standard_erasing,VerticalFlip,1,0.5,0.0
0,baseline_seed:standard_mixup,HorizontalFlip,1,0.5,0.0
0,baseline_seed:standard_mixup,RandomCrop,1,1.0,0.25
0,baseline_seed:standard_mixup,Rotation,1,0.25,0.12
0,baseline_seed:standard_mixup,VerticalFlip,1,0.5,0.0
0,openai_initial,ColorJitter,1,0.35,0.25
0,openai_initial,GaussianBlur,1,0.2,0.15
0,openai_initial,HorizontalFlip,1,0.5,0.4
0,openai_initial,RandomCrop,1,0.35,0.2
0,openai_initial,RandomErasing,1,0.15,0.2
0,openai_initial,RandomResizedCrop,1,0.45,0.25
0,openai_initial,Rotation,1,0.65,0.5
0,openai_initial,VerticalFlip,1,0.45,0.35
1,openai_ranked_crossover,ColorJitter,2,0.12,0.07
1,openai_ranked_crossover,HorizontalFlip,1,0.5,0.0
1,openai_ranked_crossover,RandomCrop,1,0.9,0.22
1,openai_ranked_crossover,RandomErasing,2,0.06,0.065
1,openai_ranked_crossover,VerticalFlip,1,0.5,0.0
1,openai_ranked_mutation,ColorJitter,3,0.12,0.07333333333333333
1,openai_ranked_mutation,HorizontalFlip,4,0.475,0.0
1,openai_ranked_mutation,RandomCrop,4,0.7875,0.2
1,openai_ranked_mutation,RandomErasing,4,0.06,0.0675
1,openai_ranked_mutation,Rotation,1,0.18,0.1
1,openai_ranked_mutation,VerticalFlip,4,0.475,0.0
2,openai_ranked_crossover,ColorJitter,2,0.12000000000000001,0.060000000000000005
2,openai_ranked_crossover,HorizontalFlip,2,0.5,0.0
2,openai_ranked_crossover,RandomCrop,2,0.865,0.22
2,openai_ranked_crossover,RandomErasing,2,0.07,0.07
2,openai_ranked_crossover,VerticalFlip,2,0.5,0.0
2,openai_ranked_mutation,ColorJitter,3,0.08666666666666667,0.05333333333333334
2,openai_ranked_mutation,HorizontalFlip,4,0.5,0.0
2,openai_ranked_mutation,RandomCrop,4,0.8375,0.22
2,openai_ranked_mutation,RandomErasing,4,0.07,0.07
2,openai_ranked_mutation,VerticalFlip,4,0.5,0.0
