policy_id,generation,source,operation,probability,magnitude
seed_01_standard,0,baseline_seed:standard,RandomCrop,1.0,0.35
seed_01_standard,0,baseline_seed:standard,HorizontalFlip,0.5,0.0
seed_01_standard,0,baseline_seed:standard,VerticalFlip,0.5,0.0
seed_01_standard,0,baseline_seed:standard,Rotation,0.45,0.25
seed_02_standard_color,0,baseline_seed:standard_color,RandomCrop,1.0,0.25
seed_02_standard_color,0,baseline_seed:standard_color,HorizontalFlip,0.5,0.0
seed_02_standard_color,0,baseline_seed:standard_color,VerticalFlip,0.5,0.0
seed_02_standard_color,0,baseline_seed:standard_color,ColorJitter,0.2,0.1
seed_03_standard_erasing,0,baseline_seed:standard_erasing,RandomCrop,1.0,0.25
seed_03_standard_erasing,0,baseline_seed:standard_erasing,HorizontalFlip,0.5,0.0
seed_03_standard_erasing,0,baseline_seed:standard_erasing,VerticalFlip,0.5,0.0
seed_03_standard_erasing,0,baseline_seed:standard_erasing,RandomErasing,0.08,0.08
seed_04_standard_mixup,0,baseline_seed:standard_mixup,RandomCrop,1.0,0.25
seed_04_standard_mixup,0,baseline_seed:standard_mixup,HorizontalFlip,0.5,0.0
seed_04_standard_mixup,0,baseline_seed:standard_mixup,VerticalFlip,0.5,0.0
seed_04_standard_mixup,0,baseline_seed:standard_mixup,Rotation,0.25,0.12
seed_05_standard_cutmix,0,baseline_seed:standard_cutmix,RandomCrop,1.0,0.25
seed_05_standard_cutmix,0,baseline_seed:standard_cutmix,HorizontalFlip,0.5,0.0
seed_05_standard_cutmix,0,baseline_seed:standard_cutmix,VerticalFlip,0.5,0.0
seed_06_conservative,0,baseline_seed:conservative,RandomCrop,1.0,0.25
seed_06_conservative,0,baseline_seed:conservative,HorizontalFlip,0.5,0.0
seed_06_conservative,0,baseline_seed:conservative,VerticalFlip,0.5,0.0
seed_06_conservative,0,baseline_seed:conservative,Rotation,0.35,0.2
seed_06_conservative,0,baseline_seed:conservative,GaussianBlur,0.15,0.1
openai_init_000,0,openai_initial,Rotation,0.65,0.5
openai_init_000,0,openai_initial,HorizontalFlip,0.5,0.4
openai_init_000,0,openai_initial,VerticalFlip,0.45,0.35
openai_init_000,0,openai_initial,ColorJitter,0.35,0.25
openai_init_000,0,openai_initial,RandomResizedCrop,0.45,0.25
openai_init_000,0,openai_initial,GaussianBlur,0.2,0.15
openai_init_000,0,openai_initial,RandomCrop,0.35,0.2
openai_init_000,0,openai_initial,RandomErasing,0.15,0.2
gen01_cross_000,1,openai_ranked_crossover,RandomErasing,0.06,0.06
gen01_cross_000,1,openai_ranked_crossover,ColorJitter,0.12,0.06
gen01_mut_001,1,openai_ranked_mutation,RandomCrop,0.75,0.2
gen01_mut_001,1,openai_ranked_mutation,HorizontalFlip,0.45,0.0
gen01_mut_001,1,openai_ranked_mutation,VerticalFlip,0.45,0.0
gen01_mut_001,1,openai_ranked_mutation,RandomErasing,0.06,0.06
gen01_mut_001,1,openai_ranked_mutation,ColorJitter,0.12,0.06
