policy_id,generation,source,status,validation_ok,num_sub_policies,num_operations,mean_probability,mean_magnitude,mixup_alpha,cutmix_alpha,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,full_evaluated,True,3,3,0.5866666666666667,0.4366666666666667,0.26,0.0,0.629,0.6067304705620408,0.695,0.725
heuristic_init_001,0,heuristic,rough_evaluated,True,3,5,0.5780000000000001,0.5900000000000001,0.0,0.0,0.446,0.4072702938082151,,
heuristic_init_002,0,heuristic,rough_evaluated,True,3,5,0.45,0.42400000000000004,0.0,0.0,0.547,0.5310268893670548,,
heuristic_init_003,0,heuristic,full_evaluated,True,2,2,0.6799999999999999,0.475,0.0,0.0,0.614,0.5725198930161803,0.692,0.7175
heuristic_init_004,0,heuristic,rough_evaluated,True,3,8,0.45625,0.5425,0.0,0.0,0.505,0.44761974924915604,,
heuristic_init_005,0,heuristic,rough_evaluated,True,1,3,0.58,0.57,0.0,0.45,0.4,0.3522440627686314,,
heuristic_init_006,0,heuristic,rough_evaluated,True,2,4,0.6975,0.6225,0.0,0.0,0.364,0.2853675091987367,,
heuristic_init_007,0,heuristic,rough_evaluated,True,3,7,0.6128571428571429,0.4828571428571428,0.0,0.0,0.504,0.47053905297210397,,
gen01_mut_000,1,pure_evolution_mutation,rough_evaluated,True,3,3,0.7966666666666667,0.5633333333333334,0.26,0.0,0.431,0.37286135019536715,,
gen01_mut_001,1,pure_evolution_mutation,rough_evaluated,True,2,2,0.625,0.435,0.0,0.0,0.547,0.48980484995737356,,
gen01_mut_002,1,pure_evolution_mutation,rough_evaluated,True,3,5,0.53,0.39,0.0,0.0,0.465,0.4146300413542782,,
gen01_cross_003,1,pure_evolution_crossover,rough_evaluated,True,2,2,0.77,0.32,0.26,0.0,0.568,0.5289819805471002,,
gen01_mut_004,1,pure_evolution_mutation,rough_evaluated,True,2,2,0.505,0.28,0.0,0.0,0.403,0.3691227798220341,,
gen01_mut_005,1,pure_evolution_mutation,rough_evaluated,True,3,5,0.45,0.42400000000000004,0.0,0.0,0.392,0.33517263650481627,,
gen01_cross_006,1,pure_evolution_crossover,rough_evaluated,True,2,2,0.745,0.545,0.26,0.0,0.439,0.3604668394363183,,
gen01_mut_007,1,pure_evolution_mutation,rough_evaluated,True,2,2,0.71,0.44000000000000006,0.0,0.0,0.512,0.45351237300079983,,
gen02_mut_000,2,pure_evolution_mutation,rough_evaluated,True,3,3,0.5266666666666667,0.47333333333333333,0.26,0.0,0.514,0.47064858361908424,,
gen02_mut_001,2,pure_evolution_mutation,rough_evaluated,True,2,2,0.61,0.28500000000000003,0.0,0.0,0.552,0.5469746217157082,,
gen02_mut_002,2,pure_evolution_mutation,rough_evaluated,True,3,2,0.775,0.535,0.26,0.0,0.434,0.4067572889892581,,
gen02_cross_003,2,pure_evolution_crossover,rough_evaluated,True,2,2,0.77,0.32,0.26,0.0,0.586,0.5654056281400477,,
gen02_mut_004,2,pure_evolution_mutation,rough_evaluated,True,2,2,0.615,0.47,0.0,0.0,0.515,0.4899633549530826,,
gen02_mut_005,2,pure_evolution_mutation,rough_evaluated,True,2,2,0.745,0.44000000000000006,0.26,0.0,0.524,0.5052707418375275,,
gen02_cross_006,2,pure_evolution_crossover,rough_evaluated,True,2,2,0.72,0.77,0.26,0.0,0.562,0.5324858934826997,,
gen02_mut_007,2,pure_evolution_mutation,full_evaluated,True,2,2,0.565,0.41000000000000003,0.0,0.0,0.62,0.6062922358907274,0.647,0.6895
gen03_mut_000,3,pure_evolution_mutation,rough_evaluated,True,3,4,0.51,0.4475,0.26,0.0,0.433,0.3909354398881183,,
gen03_mut_001,3,pure_evolution_mutation,rough_evaluated,True,2,2,0.635,0.3,0.0,0.0,0.592,0.5902985078265199,,
gen03_mut_002,3,pure_evolution_mutation,rough_evaluated,True,3,2,0.6799999999999999,0.475,0.0,0.0,0.576,0.57082553209923,,
gen03_cross_003,3,pure_evolution_crossover,rough_evaluated,True,2,2,0.52,0.27,0.26,0.0,0.53,0.48527249168570713,,
gen03_mut_004,3,pure_evolution_mutation,rough_evaluated,True,2,2,0.595,0.42500000000000004,0.0,0.0,0.605,0.5761200797293805,,
gen03_mut_005,3,pure_evolution_mutation,rough_evaluated,True,2,2,0.58,0.435,0.0,0.0,0.612,0.5866910599666346,,
gen03_cross_006,3,pure_evolution_crossover,rough_evaluated,True,2,2,0.495,0.495,0.26,0.0,0.53,0.5205362166856471,,
gen03_mut_007,3,pure_evolution_mutation,rough_evaluated,True,2,2,0.5900000000000001,0.42500000000000004,0.0,0.0,0.612,0.5807937372780381,,
