policy_id,generation,source,parent_ids,status,rough_val_accuracy,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,,full_evaluated,0.629,0.695,0.725
heuristic_init_001,0,heuristic,,rough_evaluated,0.446,,
heuristic_init_002,0,heuristic,,rough_evaluated,0.547,,
heuristic_init_003,0,heuristic,,full_evaluated,0.614,0.692,0.7175
heuristic_init_004,0,heuristic,,rough_evaluated,0.505,,
heuristic_init_005,0,heuristic,,rough_evaluated,0.4,,
heuristic_init_006,0,heuristic,,rough_evaluated,0.364,,
heuristic_init_007,0,heuristic,,rough_evaluated,0.504,,
gen01_mut_000,1,pure_evolution_mutation,heuristic_init_000,rough_evaluated,0.431,,
gen01_mut_001,1,pure_evolution_mutation,heuristic_init_003,rough_evaluated,0.547,,
gen01_mut_002,1,pure_evolution_mutation,heuristic_init_002,rough_evaluated,0.465,,
gen01_cross_003,1,pure_evolution_crossover,heuristic_init_000;heuristic_init_000,rough_evaluated,0.568,,
gen01_mut_004,1,pure_evolution_mutation,heuristic_init_003,rough_evaluated,0.403,,
gen01_mut_005,1,pure_evolution_mutation,heuristic_init_002,rough_evaluated,0.392,,
gen01_cross_006,1,pure_evolution_crossover,heuristic_init_000;heuristic_init_000,rough_evaluated,0.439,,
gen01_mut_007,1,pure_evolution_mutation,heuristic_init_003,rough_evaluated,0.512,,
gen02_mut_000,2,pure_evolution_mutation,heuristic_init_000,rough_evaluated,0.514,,
gen02_mut_001,2,pure_evolution_mutation,heuristic_init_003,rough_evaluated,0.552,,
gen02_mut_002,2,pure_evolution_mutation,gen01_cross_003,rough_evaluated,0.434,,
gen02_cross_003,2,pure_evolution_crossover,heuristic_init_000;heuristic_init_000,rough_evaluated,0.586,,
gen02_mut_004,2,pure_evolution_mutation,heuristic_init_003,rough_evaluated,0.515,,
gen02_mut_005,2,pure_evolution_mutation,gen01_cross_003,rough_evaluated,0.524,,
gen02_cross_006,2,pure_evolution_crossover,heuristic_init_000;heuristic_init_000,rough_evaluated,0.562,,
gen02_mut_007,2,pure_evolution_mutation,heuristic_init_003,full_evaluated,0.62,0.647,0.6895
gen03_mut_000,3,pure_evolution_mutation,heuristic_init_000,rough_evaluated,0.433,,
gen03_mut_001,3,pure_evolution_mutation,gen02_mut_007,rough_evaluated,0.592,,
gen03_mut_002,3,pure_evolution_mutation,heuristic_init_003,rough_evaluated,0.576,,
gen03_cross_003,3,pure_evolution_crossover,heuristic_init_000;heuristic_init_000,rough_evaluated,0.53,,
gen03_mut_004,3,pure_evolution_mutation,gen02_mut_007,rough_evaluated,0.605,,
gen03_mut_005,3,pure_evolution_mutation,heuristic_init_003,rough_evaluated,0.612,,
gen03_cross_006,3,pure_evolution_crossover,heuristic_init_000;heuristic_init_000,rough_evaluated,0.53,,
gen03_mut_007,3,pure_evolution_mutation,gen02_mut_007,rough_evaluated,0.612,,
