generation,source,operation,count,mean_probability,mean_magnitude
0,heuristic,Affine,6,0.515,0.44
0,heuristic,ColorJitter,7,0.5214285714285715,0.5371428571428571
0,heuristic,GaussianBlur,1,0.74,0.63
0,heuristic,Grayscale,1,0.74,0.39
0,heuristic,HorizontalFlip,5,0.666,0.524
0,heuristic,Posterize,3,0.41,0.4466666666666667
0,heuristic,RandomCrop,3,0.5266666666666667,0.53
0,heuristic,RandomErasing,1,0.89,0.76
0,heuristic,Rotation,4,0.5,0.4125
0,heuristic,VerticalFlip,6,0.58,0.645
1,pure_evolution_crossover,RandomCrop,3,0.77,0.32
1,pure_evolution_crossover,VerticalFlip,1,0.72,0.77
1,pure_evolution_mutation,Affine,2,0.28,0.31
1,pure_evolution_mutation,GaussianBlur,2,0.77,0.595
1,pure_evolution_mutation,HorizontalFlip,3,0.5366666666666666,0.20333333333333334
1,pure_evolution_mutation,Posterize,1,0.39,0.24
1,pure_evolution_mutation,RandomCrop,1,0.77,0.32
1,pure_evolution_mutation,Rotation,4,0.6625,0.37
1,pure_evolution_mutation,VerticalFlip,6,0.5750000000000001,0.6016666666666667
2,pure_evolution_crossover,RandomCrop,2,0.77,0.32
2,pure_evolution_crossover,VerticalFlip,2,0.72,0.77
2,pure_evolution_mutation,Affine,1,0.6,0.25
2,pure_evolution_mutation,ColorJitter,2,0.24,0.26
2,pure_evolution_mutation,GaussianBlur,2,0.675,0.625
2,pure_evolution_mutation,Grayscale,1,0.78,0.75
2,pure_evolution_mutation,RandomCrop,4,0.7575000000000001,0.38
2,pure_evolution_mutation,Rotation,2,0.62,0.32
2,pure_evolution_mutation,VerticalFlip,1,0.72,0.77
3,pure_evolution_crossover,ColorJitter,2,0.27,0.22
3,pure_evolution_crossover,RandomCrop,1,0.77,0.32
3,pure_evolution_crossover,VerticalFlip,1,0.72,0.77
3,pure_evolution_mutation,ColorJitter,4,0.36,0.1975
3,pure_evolution_mutation,GaussianBlur,6,0.7283333333333334,0.5383333333333333
3,pure_evolution_mutation,HorizontalFlip,1,0.28,0.48
3,pure_evolution_mutation,RandomCrop,1,0.77,0.32
3,pure_evolution_mutation,Rotation,1,0.62,0.32
3,pure_evolution_mutation,VerticalFlip,1,0.72,0.77
