policy_id,generation,source,operation,probability,magnitude
heuristic_init_000,0,heuristic,RandomCrop,0.77,0.32
heuristic_init_000,0,heuristic,VerticalFlip,0.72,0.77
heuristic_init_000,0,heuristic,ColorJitter,0.27,0.22
heuristic_init_001,0,heuristic,Affine,0.66,0.72
heuristic_init_001,0,heuristic,Affine,0.25,0.71
heuristic_init_001,0,heuristic,Grayscale,0.74,0.39
heuristic_init_001,0,heuristic,Affine,0.92,0.39
heuristic_init_001,0,heuristic,VerticalFlip,0.32,0.74
heuristic_init_002,0,heuristic,VerticalFlip,0.31,0.36
heuristic_init_002,0,heuristic,VerticalFlip,0.69,0.77
heuristic_init_002,0,heuristic,Affine,0.28,0.31
heuristic_init_002,0,heuristic,HorizontalFlip,0.45,0.21
heuristic_init_002,0,heuristic,VerticalFlip,0.52,0.47
heuristic_init_003,0,heuristic,GaussianBlur,0.74,0.63
heuristic_init_003,0,heuristic,Rotation,0.62,0.32
heuristic_init_004,0,heuristic,Affine,0.41,0.17
heuristic_init_004,0,heuristic,ColorJitter,0.47,0.34
heuristic_init_004,0,heuristic,HorizontalFlip,0.4,0.81
heuristic_init_004,0,heuristic,ColorJitter,0.53,0.79
heuristic_init_004,0,heuristic,Affine,0.57,0.34
heuristic_init_004,0,heuristic,Posterize,0.42,0.54
heuristic_init_004,0,heuristic,ColorJitter,0.5,0.85
heuristic_init_004,0,heuristic,Rotation,0.35,0.5
heuristic_init_005,0,heuristic,Rotation,0.52,0.57
heuristic_init_005,0,heuristic,ColorJitter,0.58,0.33
heuristic_init_005,0,heuristic,HorizontalFlip,0.64,0.81
heuristic_init_006,0,heuristic,RandomCrop,0.55,0.47
heuristic_init_006,0,heuristic,VerticalFlip,0.92,0.76
heuristic_init_006,0,heuristic,ColorJitter,0.43,0.5
heuristic_init_006,0,heuristic,RandomErasing,0.89,0.76
heuristic_init_007,0,heuristic,Rotation,0.51,0.26
heuristic_init_007,0,heuristic,RandomCrop,0.26,0.8
heuristic_init_007,0,heuristic,ColorJitter,0.87,0.73
heuristic_init_007,0,heuristic,Posterize,0.47,0.19
heuristic_init_007,0,heuristic,HorizontalFlip,0.93,0.52
heuristic_init_007,0,heuristic,Posterize,0.34,0.61
heuristic_init_007,0,heuristic,HorizontalFlip,0.91,0.27
gen01_mut_000,1,pure_evolution_mutation,RandomCrop,0.77,0.32
gen01_mut_000,1,pure_evolution_mutation,VerticalFlip,0.72,0.77
gen01_mut_000,1,pure_evolution_mutation,Rotation,0.9,0.6
gen01_mut_001,1,pure_evolution_mutation,GaussianBlur,0.74,0.63
gen01_mut_001,1,pure_evolution_mutation,Rotation,0.51,0.24
gen01_mut_002,1,pure_evolution_mutation,HorizontalFlip,0.71,0.19
gen01_mut_002,1,pure_evolution_mutation,VerticalFlip,0.69,0.77
gen01_mut_002,1,pure_evolution_mutation,Affine,0.28,0.31
gen01_mut_002,1,pure_evolution_mutation,HorizontalFlip,0.45,0.21
gen01_mut_002,1,pure_evolution_mutation,VerticalFlip,0.52,0.47
gen01_cross_003,1,pure_evolution_crossover,RandomCrop,0.77,0.32
gen01_cross_003,1,pure_evolution_crossover,RandomCrop,0.77,0.32
gen01_mut_004,1,pure_evolution_mutation,Posterize,0.39,0.24
gen01_mut_004,1,pure_evolution_mutation,Rotation,0.62,0.32
gen01_mut_005,1,pure_evolution_mutation,VerticalFlip,0.31,0.36
gen01_mut_005,1,pure_evolution_mutation,VerticalFlip,0.69,0.77
gen01_mut_005,1,pure_evolution_mutation,Affine,0.28,0.31
gen01_mut_005,1,pure_evolution_mutation,HorizontalFlip,0.45,0.21
gen01_mut_005,1,pure_evolution_mutation,VerticalFlip,0.52,0.47
gen01_cross_006,1,pure_evolution_crossover,RandomCrop,0.77,0.32
gen01_cross_006,1,pure_evolution_crossover,VerticalFlip,0.72,0.77
gen01_mut_007,1,pure_evolution_mutation,GaussianBlur,0.8,0.56
gen01_mut_007,1,pure_evolution_mutation,Rotation,0.62,0.32
gen02_mut_000,2,pure_evolution_mutation,RandomCrop,0.77,0.32
gen02_mut_000,2,pure_evolution_mutation,VerticalFlip,0.72,0.77
gen02_mut_000,2,pure_evolution_mutation,ColorJitter,0.09,0.33
gen02_mut_001,2,pure_evolution_mutation,Affine,0.6,0.25
gen02_mut_001,2,pure_evolution_mutation,Rotation,0.62,0.32
gen02_mut_002,2,pure_evolution_mutation,RandomCrop,0.77,0.32
gen02_mut_002,2,pure_evolution_mutation,Grayscale,0.78,0.75
gen02_cross_003,2,pure_evolution_crossover,RandomCrop,0.77,0.32
gen02_cross_003,2,pure_evolution_crossover,RandomCrop,0.77,0.32
gen02_mut_004,2,pure_evolution_mutation,GaussianBlur,0.61,0.62
gen02_mut_004,2,pure_evolution_mutation,Rotation,0.62,0.32
gen02_mut_005,2,pure_evolution_mutation,RandomCrop,0.77,0.32
gen02_mut_005,2,pure_evolution_mutation,RandomCrop,0.72,0.56
gen02_cross_006,2,pure_evolution_crossover,VerticalFlip,0.72,0.77
gen02_cross_006,2,pure_evolution_crossover,VerticalFlip,0.72,0.77
gen02_mut_007,2,pure_evolution_mutation,GaussianBlur,0.74,0.63
gen02_mut_007,2,pure_evolution_mutation,ColorJitter,0.39,0.19
gen03_mut_000,3,pure_evolution_mutation,RandomCrop,0.77,0.32
gen03_mut_000,3,pure_evolution_mutation,HorizontalFlip,0.28,0.48
gen03_mut_000,3,pure_evolution_mutation,VerticalFlip,0.72,0.77
gen03_mut_000,3,pure_evolution_mutation,ColorJitter,0.27,0.22
gen03_mut_001,3,pure_evolution_mutation,GaussianBlur,0.88,0.41
gen03_mut_001,3,pure_evolution_mutation,ColorJitter,0.39,0.19
gen03_mut_002,3,pure_evolution_mutation,GaussianBlur,0.74,0.63
gen03_mut_002,3,pure_evolution_mutation,Rotation,0.62,0.32
gen03_cross_003,3,pure_evolution_crossover,RandomCrop,0.77,0.32
gen03_cross_003,3,pure_evolution_crossover,ColorJitter,0.27,0.22
gen03_mut_004,3,pure_evolution_mutation,GaussianBlur,0.8,0.66
gen03_mut_004,3,pure_evolution_mutation,ColorJitter,0.39,0.19
gen03_mut_005,3,pure_evolution_mutation,GaussianBlur,0.74,0.63
gen03_mut_005,3,pure_evolution_mutation,GaussianBlur,0.42,0.24
gen03_cross_006,3,pure_evolution_crossover,ColorJitter,0.27,0.22
gen03_cross_006,3,pure_evolution_crossover,VerticalFlip,0.72,0.77
gen03_mut_007,3,pure_evolution_mutation,GaussianBlur,0.79,0.66
gen03_mut_007,3,pure_evolution_mutation,ColorJitter,0.39,0.19
