method,stage,policy_id,source,seed,generation,valid,is_final_comparison,train_size,val_size,test_size,epochs,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,runtime_sec,device
none,baseline,,,42,,True,True,1000,1000,2000,,0.674,0.6596967724861944,0.6775,0.6554366434297514,32.97908401489258,mps
none,baseline,,,43,,True,True,1000,1000,2000,,0.683,0.6757841640873838,0.6765,0.6595391393700282,30.829190969467163,mps
none,baseline,,,44,,True,True,1000,1000,2000,,0.66,0.6492389182279237,0.6845,0.6679873979724784,30.818846940994263,mps
standard,baseline,,,42,,True,True,1000,1000,2000,,0.758,0.7465776501734966,0.7585,0.7369470376919498,33.315073013305664,mps
standard,baseline,,,43,,True,True,1000,1000,2000,,0.738,0.7255820309432108,0.7345,0.7198528913569208,33.86389923095703,mps
standard,baseline,,,44,,True,True,1000,1000,2000,,0.736,0.7337132842497838,0.7795,0.769205681575133,33.58973002433777,mps
randaugment,baseline,,,42,,True,True,1000,1000,2000,,0.699,0.6864355182540989,0.7105,0.6838734882964637,34.90350270271301,mps
randaugment,baseline,,,43,,True,True,1000,1000,2000,,0.682,0.6643045782837229,0.683,0.6610421271093483,34.82614612579346,mps
randaugment,baseline,,,44,,True,True,1000,1000,2000,,0.704,0.7006471426989691,0.7335,0.7229255453924914,35.19110703468323,mps
trivialaugment,baseline,,,42,,True,True,1000,1000,2000,,0.722,0.7137426443772019,0.71,0.6925948051950117,33.54883003234863,mps
trivialaugment,baseline,,,43,,True,True,1000,1000,2000,,0.711,0.7054211660878533,0.7315,0.713152165302636,33.984341859817505,mps
trivialaugment,baseline,,,44,,True,True,1000,1000,2000,,0.718,0.7110118791699934,0.749,0.7367777425307543,33.754966020584106,mps
augmix,baseline,,,42,,True,True,1000,1000,2000,,0.658,0.6484454270620776,0.6555,0.6355619625302862,70.71401119232178,mps
augmix,baseline,,,43,,True,True,1000,1000,2000,,0.657,0.6462657480865422,0.6865,0.6682453577015943,70.86125802993774,mps
augmix,baseline,,,44,,True,True,1000,1000,2000,,0.676,0.664691713001944,0.6825,0.6679318127607564,70.74765610694885,mps
one_shot_llm,one_shot,one_shot_000,one_shot_heuristic_llm,,,True,True,1000,1000,2000,25,0.741,0.7394004623233702,0.7255,0.7127652320962874,33.29757595062256,mps
random_search,random_rough,random_000,random_search,,,True,False,1000,1000,2000,5,0.591,0.5675877723279757,,,7.733057022094727,mps
random_search,random_rough,random_001,random_search,,,True,False,1000,1000,2000,5,0.587,0.549087310479735,,,7.874258995056152,mps
random_search,random_rough,random_002,random_search,,,True,False,1000,1000,2000,5,0.597,0.5786814323807464,,,7.055629730224609,mps
random_search,random_rough,random_003,random_search,,,True,False,1000,1000,2000,5,0.383,0.3103020769541352,,,8.225906133651733,mps
random_search,random_rough,random_004,random_search,,,True,False,1000,1000,2000,5,0.475,0.4628437685488598,,,6.720107078552246,mps
random_search,random_rough,random_005,random_search,,,True,False,1000,1000,2000,5,0.436,0.3724622981991373,,,8.774155139923096,mps
random_search,random_rough,random_006,random_search,,,True,False,1000,1000,2000,5,0.338,0.2452151354693403,,,7.691641807556152,mps
random_search,random_rough,random_007,random_search,,,True,False,1000,1000,2000,5,0.565,0.5395187638254593,,,6.784672021865845,mps
random_search,random_rough,random_008,random_search,,,True,False,1000,1000,2000,5,0.516,0.4774404914019359,,,6.978660821914673,mps
random_search,random_rough,random_009,random_search,,,True,False,1000,1000,2000,5,0.552,0.5274933416197072,,,6.988170862197876,mps
random_search,random_rough,random_010,random_search,,,True,False,1000,1000,2000,5,0.56,0.5125173210385707,,,9.068324089050291,mps
random_search,random_rough,random_011,random_search,,,True,False,1000,1000,2000,5,0.51,0.482253023915962,,,7.716953992843628,mps
random_search_full,random_full,random_002,random_search,,,True,True,1000,1000,2000,25,0.663,0.6468891189247503,0.695,0.6814498728419045,33.89961290359497,mps
random_search_full,random_full,random_000,random_search,,,True,True,1000,1000,2000,25,0.711,0.7044362628641746,0.733,0.7212646596008432,35.264060974121094,mps
random_search_full,random_full,random_001,random_search,,,True,True,1000,1000,2000,25,0.709,0.7004562482100833,0.722,0.7111666826301171,36.39083504676819,mps
llm_guided_evolution,evolution_rough,heuristic_init_000,heuristic,,0,True,False,,,,,0.566,0.5433013143855293,,,7.795303821563721,
llm_guided_evolution,evolution_rough,heuristic_init_001,heuristic,,0,True,False,,,,,0.436,0.3878835338515981,,,6.807570934295654,
llm_guided_evolution,evolution_rough,heuristic_init_002,heuristic,,0,True,False,,,,,0.609,0.6080404377385844,,,38.35687208175659,
llm_guided_evolution,evolution_full,heuristic_init_002,heuristic,,0,True,True,,,,,0.721,,0.726,0.720307464011258,38.35687208175659,
llm_guided_evolution,evolution_rough,heuristic_init_003,heuristic,,0,True,False,,,,,0.589,0.562906326095329,,,8.037288904190063,
llm_guided_evolution,evolution_rough,heuristic_init_004,heuristic,,0,True,False,,,,,0.494,0.4413510066768819,,,7.420210123062134,
llm_guided_evolution,evolution_rough,heuristic_init_005,heuristic,,0,True,False,,,,,0.427,0.3947335006459047,,,7.55287504196167,
llm_guided_evolution,evolution_rough,heuristic_init_006,heuristic,,0,True,False,,,,,0.345,0.2614515784256855,,,7.290544986724853,
llm_guided_evolution,evolution_rough,heuristic_init_007,heuristic,,0,True,False,,,,,0.514,0.4858265347151552,,,7.2741498947143555,
llm_guided_evolution,evolution_rough,gen01_mut_000,heuristic_feedback,,1,True,False,,,,,0.501,0.4661650719151217,,,7.1308910846710205,
llm_guided_evolution,evolution_rough,gen01_mut_001,heuristic_feedback,,1,True,False,,,,,0.518,0.4752115889065497,,,8.032243967056274,
llm_guided_evolution,evolution_rough,gen01_mut_002,heuristic_feedback,,1,True,False,,,,,0.481,0.4272880304715351,,,6.66624903678894,
llm_guided_evolution,evolution_rough,gen01_cross_003,heuristic_crossover,,1,True,False,,,,,0.457,0.3970196060243378,,,6.626136064529419,
llm_guided_evolution,evolution_rough,gen01_mut_004,heuristic_feedback,,1,True,False,,,,,0.486,0.4517992020376038,,,6.7083048820495605,
llm_guided_evolution,evolution_rough,gen01_mut_005,heuristic_feedback,,1,True,False,,,,,0.487,0.4478185917497517,,,6.888729810714722,
llm_guided_evolution,evolution_rough,gen01_cross_006,heuristic_crossover,,1,True,False,,,,,0.437,0.3897644658117062,,,6.6923668384552,
llm_guided_evolution,evolution_rough,gen01_mut_007,heuristic_feedback,,1,True,False,,,,,0.512,0.4507486390905123,,,8.13433289527893,
llm_guided_evolution,evolution_rough,gen02_mut_000,heuristic_feedback,,2,True,False,,,,,0.511,0.4757991804789947,,,7.068076848983765,
llm_guided_evolution,evolution_rough,gen02_mut_001,heuristic_feedback,,2,True,False,,,,,0.592,0.5795241750763444,,,6.777469873428345,
llm_guided_evolution,evolution_rough,gen02_mut_002,heuristic_feedback,,2,True,False,,,,,0.591,0.5507818828342212,,,6.985149145126343,
llm_guided_evolution,evolution_rough,gen02_cross_003,heuristic_crossover,,2,True,False,,,,,0.441,0.4060541050640917,,,6.679598093032837,
llm_guided_evolution,evolution_rough,gen02_mut_004,heuristic_feedback,,2,True,False,,,,,0.605,0.6048944343270029,,,45.968721866607666,
llm_guided_evolution,evolution_full,gen02_mut_004,heuristic_feedback,,2,True,True,,,,,0.659,,0.6765,0.6705874098451134,45.968721866607666,
llm_guided_evolution,evolution_rough,gen02_mut_005,heuristic_feedback,,2,True,False,,,,,0.493,0.4743326858807976,,,7.01195216178894,
llm_guided_evolution,evolution_rough,gen02_cross_006,heuristic_crossover,,2,True,False,,,,,0.522,0.4908903364291143,,,6.805325984954834,
llm_guided_evolution,evolution_rough,gen02_mut_007,heuristic_feedback,,2,True,False,,,,,0.554,0.5364730421372439,,,7.974172830581665,
llm_guided_evolution,evolution_rough,gen03_mut_000,heuristic_feedback,,3,True,False,,,,,0.553,0.5548037689715893,,,7.430113077163696,
llm_guided_evolution,evolution_rough,gen03_mut_001,heuristic_feedback,,3,True,False,,,,,0.576,0.5558975134729545,,,8.519400835037231,
llm_guided_evolution,evolution_rough,gen03_mut_002,heuristic_feedback,,3,True,False,,,,,0.513,0.4992663205071876,,,6.755328893661499,
llm_guided_evolution,evolution_rough,gen03_cross_003,heuristic_crossover,,3,True,False,,,,,0.519,0.5201270666927588,,,6.646764039993286,
llm_guided_evolution,evolution_rough,gen03_mut_004,heuristic_feedback,,3,True,False,,,,,0.537,0.5198473710417899,,,7.800904035568237,
llm_guided_evolution,evolution_rough,gen03_mut_005,heuristic_feedback,,3,True,False,,,,,0.546,0.5166160113271251,,,6.781797885894775,
llm_guided_evolution,evolution_rough,gen03_cross_006,heuristic_crossover,,3,True,False,,,,,0.517,0.525205343011695,,,6.7042906284332275,
llm_guided_evolution,evolution_rough,gen03_mut_007,heuristic_feedback,,3,True,False,,,,,0.607,0.5938284852036986,,,47.69125199317932,
llm_guided_evolution,evolution_full,gen03_mut_007,heuristic_feedback,,3,True,True,,,,,0.641,,0.658,0.6507983553401047,47.69125199317932,
