method,seed,train_size,val_size,test_size,val_accuracy,val_macro_f1,runtime_sec,device,test_accuracy,test_macro_f1
none,42,1000,1000,2000,0.674,0.6596967724861944,32.97908401489258,mps,0.6775,0.6554366434297514
none,43,1000,1000,2000,0.683,0.6757841640873838,30.829190969467163,mps,0.6765,0.6595391393700282
none,44,1000,1000,2000,0.66,0.6492389182279237,30.818846940994263,mps,0.6845,0.6679873979724784
standard,42,1000,1000,2000,0.758,0.7465776501734966,33.315073013305664,mps,0.7585,0.7369470376919498
standard,43,1000,1000,2000,0.738,0.7255820309432108,33.86389923095703,mps,0.7345,0.7198528913569208
standard,44,1000,1000,2000,0.736,0.7337132842497838,33.58973002433777,mps,0.7795,0.769205681575133
randaugment,42,1000,1000,2000,0.699,0.6864355182540989,34.90350270271301,mps,0.7105,0.6838734882964637
randaugment,43,1000,1000,2000,0.682,0.6643045782837229,34.82614612579346,mps,0.683,0.6610421271093483
randaugment,44,1000,1000,2000,0.704,0.7006471426989691,35.19110703468323,mps,0.7335,0.7229255453924914
trivialaugment,42,1000,1000,2000,0.722,0.7137426443772019,33.54883003234863,mps,0.71,0.6925948051950117
trivialaugment,43,1000,1000,2000,0.711,0.7054211660878533,33.984341859817505,mps,0.7315,0.713152165302636
trivialaugment,44,1000,1000,2000,0.718,0.7110118791699934,33.754966020584106,mps,0.749,0.7367777425307543
augmix,42,1000,1000,2000,0.658,0.6484454270620776,70.71401119232178,mps,0.6555,0.6355619625302862
augmix,43,1000,1000,2000,0.657,0.6462657480865422,70.86125802993774,mps,0.6865,0.6682453577015943
augmix,44,1000,1000,2000,0.676,0.664691713001944,70.74765610694885,mps,0.6825,0.6679318127607564
