method,policy_id,generation,source,valid,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy,full_test_macro_f1,runtime_sec
llm_guided_evolution,heuristic_init_000,0,heuristic,True,0.566,0.5433013143855293,,,,7.795303821563721
llm_guided_evolution,heuristic_init_001,0,heuristic,True,0.436,0.38788353385159813,,,,6.807570934295654
llm_guided_evolution,heuristic_init_002,0,heuristic,True,0.609,0.6080404377385844,0.721,0.726,0.720307464011258,38.35687208175659
llm_guided_evolution,heuristic_init_003,0,heuristic,True,0.589,0.562906326095329,,,,8.037288904190063
llm_guided_evolution,heuristic_init_004,0,heuristic,True,0.494,0.4413510066768819,,,,7.420210123062134
llm_guided_evolution,heuristic_init_005,0,heuristic,True,0.427,0.3947335006459047,,,,7.55287504196167
llm_guided_evolution,heuristic_init_006,0,heuristic,True,0.345,0.26145157842568556,,,,7.2905449867248535
llm_guided_evolution,heuristic_init_007,0,heuristic,True,0.514,0.48582653471515524,,,,7.2741498947143555
llm_guided_evolution,gen01_mut_000,1,heuristic_feedback,True,0.501,0.46616507191512174,,,,7.1308910846710205
llm_guided_evolution,gen01_mut_001,1,heuristic_feedback,True,0.518,0.47521158890654974,,,,8.032243967056274
llm_guided_evolution,gen01_mut_002,1,heuristic_feedback,True,0.481,0.4272880304715351,,,,6.66624903678894
llm_guided_evolution,gen01_cross_003,1,heuristic_crossover,True,0.457,0.3970196060243378,,,,6.626136064529419
llm_guided_evolution,gen01_mut_004,1,heuristic_feedback,True,0.486,0.4517992020376038,,,,6.7083048820495605
llm_guided_evolution,gen01_mut_005,1,heuristic_feedback,True,0.487,0.4478185917497517,,,,6.888729810714722
llm_guided_evolution,gen01_cross_006,1,heuristic_crossover,True,0.437,0.3897644658117062,,,,6.6923668384552
llm_guided_evolution,gen01_mut_007,1,heuristic_feedback,True,0.512,0.4507486390905123,,,,8.13433289527893
llm_guided_evolution,gen02_mut_000,2,heuristic_feedback,True,0.511,0.4757991804789947,,,,7.068076848983765
llm_guided_evolution,gen02_mut_001,2,heuristic_feedback,True,0.592,0.5795241750763444,,,,6.777469873428345
llm_guided_evolution,gen02_mut_002,2,heuristic_feedback,True,0.591,0.5507818828342212,,,,6.985149145126343
llm_guided_evolution,gen02_cross_003,2,heuristic_crossover,True,0.441,0.4060541050640917,,,,6.679598093032837
llm_guided_evolution,gen02_mut_004,2,heuristic_feedback,True,0.605,0.6048944343270029,0.659,0.6765,0.6705874098451134,45.968721866607666
llm_guided_evolution,gen02_mut_005,2,heuristic_feedback,True,0.493,0.4743326858807976,,,,7.01195216178894
llm_guided_evolution,gen02_cross_006,2,heuristic_crossover,True,0.522,0.49089033642911434,,,,6.805325984954834
llm_guided_evolution,gen02_mut_007,2,heuristic_feedback,True,0.554,0.5364730421372439,,,,7.974172830581665
llm_guided_evolution,gen03_mut_000,3,heuristic_feedback,True,0.553,0.5548037689715893,,,,7.430113077163696
llm_guided_evolution,gen03_mut_001,3,heuristic_feedback,True,0.576,0.5558975134729545,,,,8.519400835037231
llm_guided_evolution,gen03_mut_002,3,heuristic_feedback,True,0.513,0.4992663205071876,,,,6.755328893661499
llm_guided_evolution,gen03_cross_003,3,heuristic_crossover,True,0.519,0.5201270666927588,,,,6.646764039993286
llm_guided_evolution,gen03_mut_004,3,heuristic_feedback,True,0.537,0.5198473710417899,,,,7.800904035568237
llm_guided_evolution,gen03_mut_005,3,heuristic_feedback,True,0.546,0.5166160113271251,,,,6.781797885894775
llm_guided_evolution,gen03_cross_006,3,heuristic_crossover,True,0.517,0.525205343011695,,,,6.7042906284332275
llm_guided_evolution,gen03_mut_007,3,heuristic_feedback,True,0.607,0.5938284852036986,0.641,0.658,0.6507983553401047,47.69125199317932
