policy_id,generation,source,status,validation_ok,num_sub_policies,num_operations,mean_probability,mean_magnitude,mixup_alpha,cutmix_alpha,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,rough_evaluated,True,3,3,0.5866666666666667,0.4366666666666667,0.26,0.0,0.566,0.5433013143855293,,
heuristic_init_001,0,heuristic,rough_evaluated,True,3,5,0.5780000000000001,0.5900000000000001,0.0,0.0,0.436,0.38788353385159813,,
heuristic_init_002,0,heuristic,full_evaluated,True,3,5,0.45,0.42400000000000004,0.0,0.0,0.609,0.6080404377385844,0.721,0.726
heuristic_init_003,0,heuristic,rough_evaluated,True,2,2,0.6799999999999999,0.475,0.0,0.0,0.589,0.562906326095329,,
heuristic_init_004,0,heuristic,rough_evaluated,True,3,8,0.45625,0.5425,0.0,0.0,0.494,0.4413510066768819,,
heuristic_init_005,0,heuristic,rough_evaluated,True,1,3,0.58,0.57,0.0,0.45,0.427,0.3947335006459047,,
heuristic_init_006,0,heuristic,rough_evaluated,True,2,4,0.6975,0.6225,0.0,0.0,0.345,0.26145157842568556,,
heuristic_init_007,0,heuristic,rough_evaluated,True,3,7,0.6128571428571429,0.4828571428571428,0.0,0.0,0.514,0.48582653471515524,,
gen01_mut_000,1,heuristic_feedback,rough_evaluated,True,3,5,0.526,0.45,0.0,0.0,0.501,0.46616507191512174,,
gen01_mut_001,1,heuristic_feedback,rough_evaluated,True,2,2,0.625,0.435,0.0,0.0,0.518,0.47521158890654974,,
gen01_mut_002,1,heuristic_feedback,rough_evaluated,True,3,3,0.5666666666666667,0.3933333333333333,0.26,0.0,0.481,0.4272880304715351,,
gen01_cross_003,1,heuristic_crossover,rough_evaluated,True,2,4,0.5,0.565,0.0,0.0,0.457,0.3970196060243378,,
gen01_mut_004,1,heuristic_feedback,rough_evaluated,True,2,2,0.505,0.28,0.0,0.0,0.486,0.4517992020376038,,
gen01_mut_005,1,heuristic_feedback,rough_evaluated,True,3,3,0.5866666666666667,0.4366666666666667,0.26,0.0,0.487,0.4478185917497517,,
gen01_cross_006,1,heuristic_crossover,rough_evaluated,True,2,4,0.4325,0.4125,0.0,0.0,0.437,0.3897644658117062,,
gen01_mut_007,1,heuristic_feedback,rough_evaluated,True,2,2,0.71,0.44000000000000006,0.0,0.0,0.512,0.4507486390905123,,
gen02_mut_000,2,heuristic_feedback,rough_evaluated,True,3,5,0.414,0.446,0.0,0.0,0.511,0.4757991804789947,,
gen02_mut_001,2,heuristic_feedback,rough_evaluated,True,2,2,0.61,0.28500000000000003,0.0,0.0,0.592,0.5795241750763444,,
gen02_mut_002,2,heuristic_feedback,rough_evaluated,True,4,3,0.5866666666666667,0.4366666666666667,0.26,0.0,0.591,0.5507818828342212,,
gen02_cross_003,2,heuristic_crossover,rough_evaluated,True,2,4,0.4325,0.4125,0.0,0.0,0.441,0.4060541050640917,,
gen02_mut_004,2,heuristic_feedback,full_evaluated,True,2,2,0.775,0.58,0.0,0.0,0.605,0.6048944343270029,0.659,0.6765
gen02_mut_005,2,heuristic_feedback,rough_evaluated,True,3,3,0.5866666666666667,0.4366666666666667,0.26,0.0,0.493,0.4743326858807976,,
gen02_cross_006,2,heuristic_crossover,rough_evaluated,True,2,4,0.365,0.26,0.0,0.0,0.522,0.49089033642911434,,
gen02_mut_007,2,heuristic_feedback,rough_evaluated,True,2,2,0.655,0.595,0.0,0.0,0.554,0.5364730421372439,,
gen03_mut_000,3,heuristic_feedback,rough_evaluated,True,3,6,0.4916666666666667,0.4633333333333333,0.0,0.0,0.553,0.5548037689715893,,
gen03_mut_001,3,heuristic_feedback,rough_evaluated,True,2,2,0.66,0.515,0.0,0.0,0.576,0.5558975134729545,,
gen03_mut_002,3,heuristic_feedback,rough_evaluated,True,2,3,0.5,0.35000000000000003,0.0,0.0,0.513,0.4992663205071876,,
gen03_cross_003,3,heuristic_crossover,rough_evaluated,True,2,3,0.5066666666666667,0.5333333333333333,0.0,0.0,0.519,0.5201270666927588,,
gen03_mut_004,3,heuristic_feedback,rough_evaluated,True,3,2,0.775,0.58,0.0,0.0,0.537,0.5198473710417899,,
gen03_mut_005,3,heuristic_feedback,rough_evaluated,True,2,2,0.5900000000000001,0.395,0.0,0.0,0.546,0.5166160113271251,,
gen03_cross_006,3,heuristic_crossover,rough_evaluated,True,2,3,0.5066666666666667,0.5333333333333333,0.0,0.0,0.517,0.525205343011695,,
gen03_mut_007,3,heuristic_feedback,full_evaluated,True,2,2,0.8049999999999999,0.595,0.0,0.0,0.607,0.5938284852036986,0.641,0.658
