policy_id,generation,source,parent_ids,status,rough_val_accuracy,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,,rough_evaluated,0.566,,
heuristic_init_001,0,heuristic,,rough_evaluated,0.436,,
heuristic_init_002,0,heuristic,,full_evaluated,0.609,0.721,0.726
heuristic_init_003,0,heuristic,,rough_evaluated,0.589,,
heuristic_init_004,0,heuristic,,rough_evaluated,0.494,,
heuristic_init_005,0,heuristic,,rough_evaluated,0.427,,
heuristic_init_006,0,heuristic,,rough_evaluated,0.345,,
heuristic_init_007,0,heuristic,,rough_evaluated,0.514,,
gen01_mut_000,1,heuristic_feedback,heuristic_init_002,rough_evaluated,0.501,,
gen01_mut_001,1,heuristic_feedback,heuristic_init_003,rough_evaluated,0.518,,
gen01_mut_002,1,heuristic_feedback,heuristic_init_000,rough_evaluated,0.481,,
gen01_cross_003,1,heuristic_crossover,heuristic_init_002;heuristic_init_002,rough_evaluated,0.457,,
gen01_mut_004,1,heuristic_feedback,heuristic_init_003,rough_evaluated,0.486,,
gen01_mut_005,1,heuristic_feedback,heuristic_init_000,rough_evaluated,0.487,,
gen01_cross_006,1,heuristic_crossover,heuristic_init_002;heuristic_init_002,rough_evaluated,0.437,,
gen01_mut_007,1,heuristic_feedback,heuristic_init_003,rough_evaluated,0.512,,
gen02_mut_000,2,heuristic_feedback,heuristic_init_002,rough_evaluated,0.511,,
gen02_mut_001,2,heuristic_feedback,heuristic_init_003,rough_evaluated,0.592,,
gen02_mut_002,2,heuristic_feedback,heuristic_init_000,rough_evaluated,0.591,,
gen02_cross_003,2,heuristic_crossover,heuristic_init_002;heuristic_init_002,rough_evaluated,0.441,,
gen02_mut_004,2,heuristic_feedback,heuristic_init_003,full_evaluated,0.605,0.659,0.6765
gen02_mut_005,2,heuristic_feedback,heuristic_init_000,rough_evaluated,0.493,,
gen02_cross_006,2,heuristic_crossover,heuristic_init_002;heuristic_init_002,rough_evaluated,0.522,,
gen02_mut_007,2,heuristic_feedback,heuristic_init_003,rough_evaluated,0.554,,
gen03_mut_000,3,heuristic_feedback,heuristic_init_002,rough_evaluated,0.553,,
gen03_mut_001,3,heuristic_feedback,gen02_mut_004,rough_evaluated,0.576,,
gen03_mut_002,3,heuristic_feedback,gen02_mut_001,rough_evaluated,0.513,,
gen03_cross_003,3,heuristic_crossover,heuristic_init_002;heuristic_init_002,rough_evaluated,0.519,,
gen03_mut_004,3,heuristic_feedback,gen02_mut_004,rough_evaluated,0.537,,
gen03_mut_005,3,heuristic_feedback,gen02_mut_001,rough_evaluated,0.546,,
gen03_cross_006,3,heuristic_crossover,heuristic_init_002;heuristic_init_002,rough_evaluated,0.517,,
gen03_mut_007,3,heuristic_feedback,gen02_mut_004,full_evaluated,0.607,0.641,0.658
