generation,source,operation,count,mean_probability,mean_magnitude
0,heuristic,Affine,6,0.515,0.44
0,heuristic,ColorJitter,7,0.5214285714285715,0.5371428571428571
0,heuristic,GaussianBlur,1,0.74,0.63
0,heuristic,Grayscale,1,0.74,0.39
0,heuristic,HorizontalFlip,5,0.666,0.524
0,heuristic,Posterize,3,0.41,0.4466666666666667
0,heuristic,RandomCrop,3,0.5266666666666667,0.53
0,heuristic,RandomErasing,1,0.89,0.76
0,heuristic,Rotation,4,0.5,0.4125
0,heuristic,VerticalFlip,6,0.58,0.645
1,heuristic_crossover,Affine,1,0.28,0.31
1,heuristic_crossover,HorizontalFlip,1,0.45,0.21
1,heuristic_crossover,VerticalFlip,6,0.5,0.5650000000000001
1,heuristic_feedback,Affine,1,0.28,0.31
1,heuristic_feedback,ColorJitter,2,0.27,0.22
1,heuristic_feedback,GaussianBlur,2,0.77,0.595
1,heuristic_feedback,HorizontalFlip,2,0.58,0.2
1,heuristic_feedback,Posterize,1,0.39,0.24
1,heuristic_feedback,RandomCrop,1,0.77,0.32
1,heuristic_feedback,Rotation,4,0.6625,0.37
1,heuristic_feedback,VerticalFlip,4,0.61,0.6675
2,heuristic_crossover,Affine,3,0.28,0.31
2,heuristic_crossover,HorizontalFlip,3,0.45,0.21
2,heuristic_crossover,VerticalFlip,2,0.5,0.565
2,heuristic_feedback,Affine,2,0.44,0.28
2,heuristic_feedback,ColorJitter,2,0.27,0.22
2,heuristic_feedback,GaussianBlur,2,0.835,0.735
2,heuristic_feedback,HorizontalFlip,1,0.45,0.21
2,heuristic_feedback,RandomCrop,2,0.77,0.32
2,heuristic_feedback,Rotation,3,0.6033333333333334,0.4000000000000001
2,heuristic_feedback,VerticalFlip,5,0.556,0.65
3,heuristic_crossover,VerticalFlip,6,0.5066666666666667,0.5333333333333333
3,heuristic_feedback,Affine,3,0.48,0.3433333333333333
3,heuristic_feedback,ColorJitter,2,0.5449999999999999,0.42500000000000004
3,heuristic_feedback,GaussianBlur,3,0.9500000000000001,0.85
3,heuristic_feedback,HorizontalFlip,2,0.365,0.345
3,heuristic_feedback,Rotation,4,0.62,0.32
3,heuristic_feedback,VerticalFlip,3,0.5066666666666667,0.5333333333333333
