method,valid,policy_id,source,stage,train_size,val_size,test_size,epochs,val_accuracy,val_macro_f1,runtime_sec,device,test_accuracy,test_macro_f1
random_search,True,random_000,random_search,random_rough,1000,1000,2000,5,0.591,0.5675877723279757,7.733057022094727,mps,,
random_search,True,random_001,random_search,random_rough,1000,1000,2000,5,0.587,0.549087310479735,7.874258995056152,mps,,
random_search,True,random_002,random_search,random_rough,1000,1000,2000,5,0.597,0.5786814323807464,7.055629730224609,mps,,
random_search,True,random_003,random_search,random_rough,1000,1000,2000,5,0.383,0.31030207695413525,8.225906133651733,mps,,
random_search,True,random_004,random_search,random_rough,1000,1000,2000,5,0.475,0.46284376854885984,6.720107078552246,mps,,
random_search,True,random_005,random_search,random_rough,1000,1000,2000,5,0.436,0.37246229819913734,8.774155139923096,mps,,
random_search,True,random_006,random_search,random_rough,1000,1000,2000,5,0.338,0.24521513546934037,7.691641807556152,mps,,
random_search,True,random_007,random_search,random_rough,1000,1000,2000,5,0.565,0.5395187638254593,6.784672021865845,mps,,
random_search,True,random_008,random_search,random_rough,1000,1000,2000,5,0.516,0.47744049140193595,6.978660821914673,mps,,
random_search,True,random_009,random_search,random_rough,1000,1000,2000,5,0.552,0.5274933416197072,6.988170862197876,mps,,
random_search,True,random_010,random_search,random_rough,1000,1000,2000,5,0.56,0.5125173210385707,9.068324089050293,mps,,
random_search,True,random_011,random_search,random_rough,1000,1000,2000,5,0.51,0.48225302391596203,7.716953992843628,mps,,
random_search_full,True,random_002,random_search,random_full,1000,1000,2000,25,0.663,0.6468891189247503,33.89961290359497,mps,0.695,0.6814498728419045
random_search_full,True,random_000,random_search,random_full,1000,1000,2000,25,0.711,0.7044362628641746,35.264060974121094,mps,0.733,0.7212646596008432
random_search_full,True,random_001,random_search,random_full,1000,1000,2000,25,0.709,0.7004562482100833,36.39083504676819,mps,0.722,0.7111666826301171
