policy_id,generation,source,status,validation_ok,num_sub_policies,num_operations,mean_probability,mean_magnitude,mixup_alpha,cutmix_alpha,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,rough_evaluated,True,3,5,0.48200000000000004,0.48600000000000004,0.0,0.0,0.020588235294117647,0.014252682714852302,,
heuristic_init_001,0,heuristic,rough_evaluated,True,2,5,0.472,0.532,0.21,0.47,0.07450980392156863,0.049159145499639956,,
heuristic_init_002,0,heuristic,rough_evaluated,True,1,3,0.5366666666666667,0.5666666666666667,0.0,0.15,0.12941176470588237,0.14753578649983215,,
heuristic_init_003,0,heuristic,rough_evaluated,True,1,2,0.6,0.355,0.0,0.0,0.12549019607843137,0.08812348496014395,,
heuristic_init_004,0,heuristic,rough_evaluated,True,3,5,0.61,0.45600000000000007,0.0,0.0,0.03333333333333333,0.022784892008071874,,
heuristic_init_005,0,heuristic,rough_evaluated,True,3,7,0.4828571428571428,0.5985714285714286,0.0,0.0,0.11960784313725491,0.0811199001614323,,
heuristic_init_006,0,heuristic,rough_evaluated,True,1,2,0.94,0.635,0.3,0.0,0.09803921568627451,0.07927863868031522,,
heuristic_init_007,0,heuristic,rough_evaluated,True,3,8,0.675,0.47250000000000003,0.0,0.21,0.16862745098039217,0.1747850794795357,,
gen01_mut_000,1,pure_evolution_mutation,rough_evaluated,True,3,8,0.66125,0.48875,0.0,0.21,0.1568627450980392,0.15878301304290687,,
gen01_mut_001,1,pure_evolution_mutation,rough_evaluated,True,2,3,0.5366666666666667,0.5666666666666667,0.0,0.15,0.059803921568627454,0.05845186209478522,,
gen01_mut_002,1,pure_evolution_mutation,rough_evaluated,True,1,2,0.5249999999999999,0.46499999999999997,0.0,0.0,0.14019607843137255,0.13189844460443143,,
gen01_cross_003,1,pure_evolution_crossover,rough_evaluated,True,2,6,0.7583333333333333,0.545,0.0,0.21,0.19019607843137254,0.13672247713935856,,
gen01_mut_004,1,pure_evolution_mutation,rough_evaluated,True,1,3,0.5366666666666667,0.5666666666666667,0.0,0.15,0.1323529411764706,0.08222737827086113,,
gen01_mut_005,1,pure_evolution_mutation,rough_evaluated,True,1,1,0.69,0.41,0.0,0.0,0.09509803921568627,0.10874814218555812,,
gen01_cross_006,1,pure_evolution_crossover,rough_evaluated,True,2,4,0.425,0.255,0.0,0.21,0.045098039215686274,0.028726270280787912,,
gen01_mut_007,1,pure_evolution_mutation,rough_evaluated,True,1,3,0.5433333333333333,0.58,0.0,0.15,0.10098039215686275,0.0929048231349458,,
gen02_mut_000,2,pure_evolution_mutation,rough_evaluated,True,3,6,0.7583333333333333,0.545,0.0,0.21,0.027450980392156862,0.023207232982319487,,
gen02_mut_001,2,pure_evolution_mutation,rough_evaluated,True,3,9,0.6644444444444445,0.4577777777777778,0.0,0.21,0.058823529411764705,0.04787792519853786,,
gen02_mut_002,2,pure_evolution_mutation,rough_evaluated,True,3,8,0.6525,0.48625,0.0,0.21,0.09901960784313725,0.09329620067559401,,
gen02_cross_003,2,pure_evolution_crossover,rough_evaluated,True,2,6,0.7583333333333333,0.545,0.0,0.21,0.024509803921568627,0.013506453317234485,,
gen02_mut_004,2,pure_evolution_mutation,rough_evaluated,True,3,8,0.6825,0.46375,0.0,0.21,0.058823529411764705,0.049965832708735496,,
gen02_mut_005,2,pure_evolution_mutation,rough_evaluated,True,3,8,0.66875,0.4975,0.0,0.21,0.09117647058823529,0.07977619271099796,,
gen02_cross_006,2,pure_evolution_crossover,rough_evaluated,True,2,6,0.7583333333333333,0.545,0.0,0.21,0.09803921568627451,0.06731755169933173,,
gen02_mut_007,2,pure_evolution_mutation,rough_evaluated,True,3,8,0.68875,0.45875,0.0,0.21,0.07647058823529412,0.05725904602386907,,
gen03_mut_000,3,pure_evolution_mutation,rough_evaluated,True,3,6,0.7333333333333334,0.5566666666666666,0.0,0.21,0.06568627450980392,0.04307470857669885,,
gen03_mut_001,3,pure_evolution_mutation,rough_evaluated,True,4,8,0.65875,0.47125,0.0,0.21,0.0392156862745098,0.03538687088141568,,
gen03_mut_002,3,pure_evolution_mutation,full_evaluated,True,3,8,0.655,0.5125,0.0,0.21,0.22647058823529412,0.22272807383797444,0.3990196078431373,0.33137254901960783
gen03_cross_003,3,pure_evolution_crossover,full_evaluated,True,2,6,0.7433333333333333,0.5466666666666667,0.0,0.21,0.2529411764705882,0.2477230320382408,0.37450980392156863,0.32794117647058824
gen03_mut_004,3,pure_evolution_mutation,full_evaluated,True,3,7,0.6985714285714285,0.5028571428571429,0.0,0.21,0.35,0.3734961764481981,0.28921568627450983,0.2803921568627451
gen03_mut_005,3,pure_evolution_mutation,rough_evaluated,True,4,8,0.6725,0.46125,0.0,0.21,0.1323529411764706,0.1262727278960231,,
gen03_cross_006,3,pure_evolution_crossover,rough_evaluated,True,2,6,0.7583333333333333,0.545,0.0,0.21,0.05196078431372549,0.04914119701788781,,
gen03_mut_007,3,pure_evolution_mutation,rough_evaluated,True,4,8,0.675,0.47250000000000003,0.0,0.21,0.14607843137254903,0.10531208003917084,,
