policy_id,generation,source,parent_ids,status,rough_val_accuracy,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,,rough_evaluated,0.020588235294117647,,
heuristic_init_001,0,heuristic,,rough_evaluated,0.07450980392156863,,
heuristic_init_002,0,heuristic,,rough_evaluated,0.12941176470588237,,
heuristic_init_003,0,heuristic,,rough_evaluated,0.12549019607843137,,
heuristic_init_004,0,heuristic,,rough_evaluated,0.03333333333333333,,
heuristic_init_005,0,heuristic,,rough_evaluated,0.11960784313725491,,
heuristic_init_006,0,heuristic,,rough_evaluated,0.09803921568627451,,
heuristic_init_007,0,heuristic,,rough_evaluated,0.16862745098039217,,
gen01_mut_000,1,pure_evolution_mutation,heuristic_init_007,rough_evaluated,0.1568627450980392,,
gen01_mut_001,1,pure_evolution_mutation,heuristic_init_002,rough_evaluated,0.059803921568627454,,
gen01_mut_002,1,pure_evolution_mutation,heuristic_init_003,rough_evaluated,0.14019607843137255,,
gen01_cross_003,1,pure_evolution_crossover,heuristic_init_007;heuristic_init_007,rough_evaluated,0.19019607843137254,,
gen01_mut_004,1,pure_evolution_mutation,heuristic_init_002,rough_evaluated,0.1323529411764706,,
gen01_mut_005,1,pure_evolution_mutation,heuristic_init_003,rough_evaluated,0.09509803921568627,,
gen01_cross_006,1,pure_evolution_crossover,heuristic_init_007;heuristic_init_007,rough_evaluated,0.045098039215686274,,
gen01_mut_007,1,pure_evolution_mutation,heuristic_init_002,rough_evaluated,0.10098039215686275,,
gen02_mut_000,2,pure_evolution_mutation,gen01_cross_003,rough_evaluated,0.027450980392156862,,
gen02_mut_001,2,pure_evolution_mutation,heuristic_init_007,rough_evaluated,0.058823529411764705,,
gen02_mut_002,2,pure_evolution_mutation,gen01_mut_000,rough_evaluated,0.09901960784313725,,
gen02_cross_003,2,pure_evolution_crossover,gen01_cross_003;gen01_cross_003,rough_evaluated,0.024509803921568627,,
gen02_mut_004,2,pure_evolution_mutation,heuristic_init_007,rough_evaluated,0.058823529411764705,,
gen02_mut_005,2,pure_evolution_mutation,gen01_mut_000,rough_evaluated,0.09117647058823529,,
gen02_cross_006,2,pure_evolution_crossover,gen01_cross_003;gen01_cross_003,rough_evaluated,0.09803921568627451,,
gen02_mut_007,2,pure_evolution_mutation,heuristic_init_007,rough_evaluated,0.07647058823529412,,
gen03_mut_000,3,pure_evolution_mutation,gen01_cross_003,rough_evaluated,0.06568627450980392,,
gen03_mut_001,3,pure_evolution_mutation,heuristic_init_007,rough_evaluated,0.0392156862745098,,
gen03_mut_002,3,pure_evolution_mutation,gen01_mut_000,full_evaluated,0.22647058823529412,0.3990196078431373,0.33137254901960783
gen03_cross_003,3,pure_evolution_crossover,gen01_cross_003;gen01_cross_003,full_evaluated,0.2529411764705882,0.37450980392156863,0.32794117647058824
gen03_mut_004,3,pure_evolution_mutation,heuristic_init_007,full_evaluated,0.35,0.28921568627450983,0.2803921568627451
gen03_mut_005,3,pure_evolution_mutation,gen01_mut_000,rough_evaluated,0.1323529411764706,,
gen03_cross_006,3,pure_evolution_crossover,gen01_cross_003;gen01_cross_003,rough_evaluated,0.05196078431372549,,
gen03_mut_007,3,pure_evolution_mutation,heuristic_init_007,rough_evaluated,0.14607843137254903,,
