generation,source,operation,count,mean_probability,mean_magnitude
0,heuristic,Affine,3,0.6433333333333334,0.7200000000000001
0,heuristic,ColorJitter,5,0.558,0.576
0,heuristic,GaussianBlur,9,0.5344444444444444,0.49
0,heuristic,HorizontalFlip,6,0.5683333333333334,0.5083333333333333
0,heuristic,RandomErasing,1,0.79,0.31
0,heuristic,RandomResizedCrop,4,0.565,0.405
0,heuristic,Rotation,8,0.60125,0.52875
0,heuristic,VerticalFlip,1,0.49,0.36
1,pure_evolution_crossover,GaussianBlur,4,0.54,0.31
1,pure_evolution_crossover,HorizontalFlip,2,0.75,0.39499999999999996
1,pure_evolution_crossover,Rotation,2,0.8049999999999999,0.77
1,pure_evolution_crossover,VerticalFlip,2,0.49,0.36
1,pure_evolution_mutation,Affine,6,0.665,0.695
1,pure_evolution_mutation,GaussianBlur,5,0.346,0.27599999999999997
1,pure_evolution_mutation,HorizontalFlip,2,0.75,0.39499999999999996
1,pure_evolution_mutation,RandomErasing,1,0.36,0.52
1,pure_evolution_mutation,Rotation,5,0.7619999999999999,0.634
1,pure_evolution_mutation,VerticalFlip,1,0.49,0.36
2,pure_evolution_crossover,GaussianBlur,4,0.72,0.47000000000000003
2,pure_evolution_crossover,HorizontalFlip,4,0.75,0.39499999999999996
2,pure_evolution_crossover,Rotation,4,0.8049999999999999,0.77
2,pure_evolution_mutation,GaussianBlur,15,0.572,0.33533333333333337
2,pure_evolution_mutation,HorizontalFlip,11,0.7427272727272727,0.3854545454545455
2,pure_evolution_mutation,RandomErasing,1,0.82,0.55
2,pure_evolution_mutation,RandomResizedCrop,1,0.58,0.34
2,pure_evolution_mutation,Rotation,15,0.7933333333333333,0.7406666666666666
2,pure_evolution_mutation,VerticalFlip,4,0.505,0.34249999999999997
3,pure_evolution_crossover,GaussianBlur,4,0.8250000000000001,0.5750000000000001
3,pure_evolution_crossover,HorizontalFlip,4,0.6799999999999999,0.3075
3,pure_evolution_crossover,Rotation,4,0.7474999999999999,0.755
3,pure_evolution_mutation,ColorJitter,1,0.78,0.75
3,pure_evolution_mutation,GaussianBlur,13,0.5492307692307693,0.31461538461538463
3,pure_evolution_mutation,HorizontalFlip,12,0.75,0.39499999999999996
3,pure_evolution_mutation,Rotation,14,0.8099999999999999,0.7735714285714286
3,pure_evolution_mutation,VerticalFlip,5,0.46399999999999997,0.358
