policy_id,generation,source,operation,probability,magnitude
heuristic_init_000,0,heuristic,RandomResizedCrop,0.77,0.32
heuristic_init_000,0,heuristic,HorizontalFlip,0.32,0.67
heuristic_init_000,0,heuristic,RandomResizedCrop,0.27,0.22
heuristic_init_000,0,heuristic,GaussianBlur,0.41,0.57
heuristic_init_000,0,heuristic,ColorJitter,0.64,0.65
heuristic_init_001,0,heuristic,Rotation,0.25,0.71
heuristic_init_001,0,heuristic,Rotation,0.74,0.39
heuristic_init_001,0,heuristic,ColorJitter,0.36,0.82
heuristic_init_001,0,heuristic,HorizontalFlip,0.52,0.4
heuristic_init_001,0,heuristic,RandomResizedCrop,0.49,0.34
heuristic_init_002,0,heuristic,Affine,0.68,0.75
heuristic_init_002,0,heuristic,Affine,0.65,0.64
heuristic_init_002,0,heuristic,GaussianBlur,0.28,0.31
heuristic_init_003,0,heuristic,Rotation,0.69,0.41
heuristic_init_003,0,heuristic,ColorJitter,0.51,0.3
heuristic_init_004,0,heuristic,GaussianBlur,0.69,0.52
heuristic_init_004,0,heuristic,HorizontalFlip,0.57,0.34
heuristic_init_004,0,heuristic,RandomResizedCrop,0.73,0.74
heuristic_init_004,0,heuristic,RandomErasing,0.79,0.31
heuristic_init_004,0,heuristic,Rotation,0.27,0.37
heuristic_init_005,0,heuristic,Affine,0.6,0.77
heuristic_init_005,0,heuristic,Rotation,0.7,0.25
heuristic_init_005,0,heuristic,GaussianBlur,0.35,0.67
heuristic_init_005,0,heuristic,Rotation,0.55,0.56
heuristic_init_005,0,heuristic,HorizontalFlip,0.5,0.85
heuristic_init_005,0,heuristic,GaussianBlur,0.35,0.5
heuristic_init_005,0,heuristic,ColorJitter,0.33,0.59
heuristic_init_006,0,heuristic,ColorJitter,0.95,0.52
heuristic_init_006,0,heuristic,GaussianBlur,0.93,0.75
heuristic_init_007,0,heuristic,VerticalFlip,0.49,0.36
heuristic_init_007,0,heuristic,GaussianBlur,0.36,0.15
heuristic_init_007,0,heuristic,GaussianBlur,0.93,0.68
heuristic_init_007,0,heuristic,HorizontalFlip,0.61,0.22
heuristic_init_007,0,heuristic,Rotation,0.69,0.74
heuristic_init_007,0,heuristic,GaussianBlur,0.51,0.26
heuristic_init_007,0,heuristic,Rotation,0.92,0.8
heuristic_init_007,0,heuristic,HorizontalFlip,0.89,0.57
gen01_mut_000,1,pure_evolution_mutation,VerticalFlip,0.49,0.36
gen01_mut_000,1,pure_evolution_mutation,GaussianBlur,0.36,0.15
gen01_mut_000,1,pure_evolution_mutation,Rotation,0.82,0.81
gen01_mut_000,1,pure_evolution_mutation,HorizontalFlip,0.61,0.22
gen01_mut_000,1,pure_evolution_mutation,Rotation,0.69,0.74
gen01_mut_000,1,pure_evolution_mutation,GaussianBlur,0.51,0.26
gen01_mut_000,1,pure_evolution_mutation,Rotation,0.92,0.8
gen01_mut_000,1,pure_evolution_mutation,HorizontalFlip,0.89,0.57
gen01_mut_001,1,pure_evolution_mutation,Affine,0.68,0.75
gen01_mut_001,1,pure_evolution_mutation,Affine,0.65,0.64
gen01_mut_001,1,pure_evolution_mutation,GaussianBlur,0.28,0.31
gen01_mut_002,1,pure_evolution_mutation,Rotation,0.69,0.41
gen01_mut_002,1,pure_evolution_mutation,RandomErasing,0.36,0.52
gen01_cross_003,1,pure_evolution_crossover,GaussianBlur,0.51,0.26
gen01_cross_003,1,pure_evolution_crossover,Rotation,0.92,0.8
gen01_cross_003,1,pure_evolution_crossover,HorizontalFlip,0.89,0.57
gen01_cross_003,1,pure_evolution_crossover,GaussianBlur,0.93,0.68
gen01_cross_003,1,pure_evolution_crossover,HorizontalFlip,0.61,0.22
gen01_cross_003,1,pure_evolution_crossover,Rotation,0.69,0.74
gen01_mut_004,1,pure_evolution_mutation,Affine,0.68,0.75
gen01_mut_004,1,pure_evolution_mutation,Affine,0.65,0.64
gen01_mut_004,1,pure_evolution_mutation,GaussianBlur,0.28,0.31
gen01_mut_005,1,pure_evolution_mutation,Rotation,0.69,0.41
gen01_cross_006,1,pure_evolution_crossover,VerticalFlip,0.49,0.36
gen01_cross_006,1,pure_evolution_crossover,GaussianBlur,0.36,0.15
gen01_cross_006,1,pure_evolution_crossover,VerticalFlip,0.49,0.36
gen01_cross_006,1,pure_evolution_crossover,GaussianBlur,0.36,0.15
gen01_mut_007,1,pure_evolution_mutation,Affine,0.68,0.75
gen01_mut_007,1,pure_evolution_mutation,Affine,0.65,0.64
gen01_mut_007,1,pure_evolution_mutation,GaussianBlur,0.3,0.35
gen02_mut_000,2,pure_evolution_mutation,GaussianBlur,0.51,0.26
gen02_mut_000,2,pure_evolution_mutation,Rotation,0.92,0.8
gen02_mut_000,2,pure_evolution_mutation,HorizontalFlip,0.89,0.57
gen02_mut_000,2,pure_evolution_mutation,GaussianBlur,0.93,0.68
gen02_mut_000,2,pure_evolution_mutation,HorizontalFlip,0.61,0.22
gen02_mut_000,2,pure_evolution_mutation,Rotation,0.69,0.74
gen02_mut_001,2,pure_evolution_mutation,VerticalFlip,0.49,0.36
gen02_mut_001,2,pure_evolution_mutation,GaussianBlur,0.36,0.15
gen02_mut_001,2,pure_evolution_mutation,RandomResizedCrop,0.58,0.34
gen02_mut_001,2,pure_evolution_mutation,GaussianBlur,0.93,0.68
gen02_mut_001,2,pure_evolution_mutation,HorizontalFlip,0.61,0.22
gen02_mut_001,2,pure_evolution_mutation,Rotation,0.69,0.74
gen02_mut_001,2,pure_evolution_mutation,GaussianBlur,0.51,0.26
gen02_mut_001,2,pure_evolution_mutation,Rotation,0.92,0.8
gen02_mut_001,2,pure_evolution_mutation,HorizontalFlip,0.89,0.57
gen02_mut_002,2,pure_evolution_mutation,VerticalFlip,0.49,0.36
gen02_mut_002,2,pure_evolution_mutation,GaussianBlur,0.36,0.15
gen02_mut_002,2,pure_evolution_mutation,Rotation,0.82,0.81
gen02_mut_002,2,pure_evolution_mutation,HorizontalFlip,0.61,0.22
gen02_mut_002,2,pure_evolution_mutation,Rotation,0.69,0.74
gen02_mut_002,2,pure_evolution_mutation,GaussianBlur,0.51,0.26
gen02_mut_002,2,pure_evolution_mutation,Rotation,0.92,0.8
gen02_mut_002,2,pure_evolution_mutation,RandomErasing,0.82,0.55
gen02_cross_003,2,pure_evolution_crossover,GaussianBlur,0.51,0.26
gen02_cross_003,2,pure_evolution_crossover,Rotation,0.92,0.8
gen02_cross_003,2,pure_evolution_crossover,HorizontalFlip,0.89,0.57
gen02_cross_003,2,pure_evolution_crossover,GaussianBlur,0.93,0.68
gen02_cross_003,2,pure_evolution_crossover,HorizontalFlip,0.61,0.22
gen02_cross_003,2,pure_evolution_crossover,Rotation,0.69,0.74
gen02_mut_004,2,pure_evolution_mutation,VerticalFlip,0.55,0.29
gen02_mut_004,2,pure_evolution_mutation,GaussianBlur,0.36,0.15
gen02_mut_004,2,pure_evolution_mutation,GaussianBlur,0.93,0.68
gen02_mut_004,2,pure_evolution_mutation,HorizontalFlip,0.61,0.22
gen02_mut_004,2,pure_evolution_mutation,Rotation,0.69,0.74
gen02_mut_004,2,pure_evolution_mutation,GaussianBlur,0.51,0.26
gen02_mut_004,2,pure_evolution_mutation,Rotation,0.92,0.8
gen02_mut_004,2,pure_evolution_mutation,HorizontalFlip,0.89,0.57
gen02_mut_005,2,pure_evolution_mutation,VerticalFlip,0.49,0.36
gen02_mut_005,2,pure_evolution_mutation,GaussianBlur,0.36,0.15
gen02_mut_005,2,pure_evolution_mutation,Rotation,0.82,0.81
gen02_mut_005,2,pure_evolution_mutation,HorizontalFlip,0.61,0.22
gen02_mut_005,2,pure_evolution_mutation,Rotation,0.69,0.74
gen02_mut_005,2,pure_evolution_mutation,GaussianBlur,0.51,0.26
gen02_mut_005,2,pure_evolution_mutation,Rotation,0.92,0.8
gen02_mut_005,2,pure_evolution_mutation,HorizontalFlip,0.95,0.64
gen02_cross_006,2,pure_evolution_crossover,GaussianBlur,0.51,0.26
gen02_cross_006,2,pure_evolution_crossover,Rotation,0.92,0.8
gen02_cross_006,2,pure_evolution_crossover,HorizontalFlip,0.89,0.57
gen02_cross_006,2,pure_evolution_crossover,GaussianBlur,0.93,0.68
gen02_cross_006,2,pure_evolution_crossover,HorizontalFlip,0.61,0.22
gen02_cross_006,2,pure_evolution_crossover,Rotation,0.69,0.74
gen02_mut_007,2,pure_evolution_mutation,Rotation,0.6,0.25
gen02_mut_007,2,pure_evolution_mutation,GaussianBlur,0.36,0.15
gen02_mut_007,2,pure_evolution_mutation,GaussianBlur,0.93,0.68
gen02_mut_007,2,pure_evolution_mutation,HorizontalFlip,0.61,0.22
gen02_mut_007,2,pure_evolution_mutation,Rotation,0.69,0.74
gen02_mut_007,2,pure_evolution_mutation,GaussianBlur,0.51,0.26
gen02_mut_007,2,pure_evolution_mutation,Rotation,0.92,0.8
gen02_mut_007,2,pure_evolution_mutation,HorizontalFlip,0.89,0.57
gen03_mut_000,3,pure_evolution_mutation,GaussianBlur,0.51,0.26
gen03_mut_000,3,pure_evolution_mutation,Rotation,0.92,0.8
gen03_mut_000,3,pure_evolution_mutation,HorizontalFlip,0.89,0.57
gen03_mut_000,3,pure_evolution_mutation,ColorJitter,0.78,0.75
gen03_mut_000,3,pure_evolution_mutation,HorizontalFlip,0.61,0.22
gen03_mut_000,3,pure_evolution_mutation,Rotation,0.69,0.74
gen03_mut_001,3,pure_evolution_mutation,VerticalFlip,0.36,0.35
gen03_mut_001,3,pure_evolution_mutation,GaussianBlur,0.36,0.15
gen03_mut_001,3,pure_evolution_mutation,GaussianBlur,0.93,0.68
gen03_mut_001,3,pure_evolution_mutation,HorizontalFlip,0.61,0.22
