method,seed,train_size,val_size,test_size,val_accuracy,val_macro_f1,runtime_sec,device,test_accuracy,test_macro_f1
none,42,510,1020,2040,0.3382352941176471,0.39674555288381924,203.09184789657593,mps,0.31519607843137254,0.16862863292106323
none,43,510,1020,2040,0.29705882352941176,0.3479785206118928,195.67843580245972,mps,0.23284313725490197,0.14505384483428407
none,44,510,1020,2040,0.2411764705882353,0.29686772939576356,202.0497169494629,mps,0.23970588235294119,0.1553325266159459
standard,42,510,1020,2040,0.4392156862745098,0.5082255416834728,203.24081301689148,mps,0.42598039215686273,0.23095368490255602
standard,43,510,1020,2040,0.4627450980392157,0.4456386962548074,200.65680623054504,mps,0.43333333333333335,0.2174229705006662
standard,44,510,1020,2040,0.49607843137254903,0.5483357084297457,197.0004060268402,mps,0.48333333333333334,0.25889443238189697
autoaugment,42,510,1020,2040,0.3352941176470588,0.3916052423393802,199.35841989517212,mps,0.30196078431372547,0.18286934857913645
autoaugment,43,510,1020,2040,0.3333333333333333,0.3557823426785218,197.09528923034668,mps,0.23970588235294119,0.13371407754553036
autoaugment,44,510,1020,2040,0.37745098039215685,0.4188778602501279,201.2929937839508,mps,0.367156862745098,0.1879682853564844
randaugment,42,510,1020,2040,0.4264705882352941,0.4941450148289592,218.81818795204163,mps,0.3769607843137255,0.20986031439420916
randaugment,43,510,1020,2040,0.5470588235294118,0.5984243444389691,231.10069584846497,mps,0.5416666666666666,0.2712036429235351
randaugment,44,510,1020,2040,0.45294117647058824,0.514006488586195,223.57203197479248,mps,0.45588235294117646,0.2436044374272337
trivialaugment,42,510,1020,2040,0.5107843137254902,0.5578473960025769,229.11451697349548,mps,0.48627450980392156,0.23928866788646197
trivialaugment,43,510,1020,2040,0.5607843137254902,0.6014809282244532,235.29268193244934,mps,0.5210784313725491,0.26630125632558943
trivialaugment,44,510,1020,2040,0.4362745098039216,0.4949559875449368,222.70975399017334,mps,0.4166666666666667,0.25478030597487017
augmix,42,510,1020,2040,0.396078431372549,0.4425231090772504,297.41032910346985,mps,0.442156862745098,0.2267018668884493
augmix,43,510,1020,2040,0.4088235294117647,0.49074546650689704,310.62270307540894,mps,0.38529411764705884,0.22189677151034284
augmix,44,510,1020,2040,0.43823529411764706,0.5058423145072253,301.9304111003876,mps,0.3803921568627451,0.23334099857161938
