policy_id,generation,source,status,validation_ok,num_sub_policies,num_operations,mean_probability,mean_magnitude,mixup_alpha,cutmix_alpha,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,rough_evaluated,True,3,5,0.48200000000000004,0.48600000000000004,0.0,0.0,0.06764705882352941,0.05028307487800424,,
heuristic_init_001,0,heuristic,rough_evaluated,True,2,5,0.472,0.532,0.21,0.47,0.11274509803921569,0.08407356681049255,,
heuristic_init_002,0,heuristic,rough_evaluated,True,1,3,0.5366666666666667,0.5666666666666667,0.0,0.15,0.11176470588235295,0.09996388507621008,,
heuristic_init_003,0,heuristic,rough_evaluated,True,1,2,0.6,0.355,0.0,0.0,0.12549019607843137,0.12537610919652675,,
heuristic_init_004,0,heuristic,rough_evaluated,True,3,5,0.61,0.45600000000000007,0.0,0.0,0.045098039215686274,0.033488853616441785,,
heuristic_init_005,0,heuristic,rough_evaluated,True,3,7,0.4828571428571428,0.5985714285714286,0.0,0.0,0.153921568627451,0.17256456506805043,,
heuristic_init_006,0,heuristic,rough_evaluated,True,1,2,0.94,0.635,0.3,0.0,0.14901960784313725,0.12372076655617198,,
heuristic_init_007,0,heuristic,rough_evaluated,True,3,8,0.675,0.47250000000000003,0.0,0.21,0.1607843137254902,0.12382058830320739,,
gen01_mut_000,1,heuristic_feedback,rough_evaluated,True,3,8,0.66125,0.48875,0.0,0.21,0.10980392156862745,0.09455044524703445,,
gen01_mut_001,1,heuristic_feedback,rough_evaluated,True,4,7,0.4828571428571428,0.5985714285714286,0.0,0.0,0.13137254901960785,0.14432667118123393,,
gen01_mut_002,1,heuristic_feedback,full_evaluated,True,1,2,0.655,0.52,0.3,0.0,0.2872549019607843,0.23506980120260632,0.24705882352941178,0.16470588235294117
gen01_cross_003,1,heuristic_crossover,full_evaluated,True,2,6,0.7583333333333333,0.545,0.0,0.21,0.2529411764705882,0.26518863997204944,0.40980392156862744,0.4196078431372549
gen01_mut_004,1,heuristic_feedback,rough_evaluated,True,3,7,0.5642857142857143,0.6,0.0,0.0,0.043137254901960784,0.027569029447845114,,
gen01_mut_005,1,heuristic_feedback,rough_evaluated,True,1,2,0.885,0.595,0.3,0.0,0.17941176470588235,0.20355935741616463,,
gen01_cross_006,1,heuristic_crossover,rough_evaluated,True,2,6,0.7733333333333334,0.5433333333333333,0.0,0.21,0.20588235294117646,0.1456428358988988,,
gen01_mut_007,1,heuristic_feedback,rough_evaluated,True,3,7,0.4942857142857143,0.5671428571428572,0.0,0.0,0.09901960784313725,0.05996345054313408,,
gen02_mut_000,2,heuristic_feedback,rough_evaluated,True,2,3,0.63,0.46,0.3,0.0,0.06862745098039216,0.05174984938370479,,
gen02_mut_001,2,heuristic_feedback,full_evaluated,True,2,5,0.808,0.6020000000000001,0.0,0.21,0.21568627450980393,0.21917601437344103,0.34019607843137256,0.3715686274509804
gen02_mut_002,2,heuristic_feedback,rough_evaluated,True,2,6,0.8016666666666667,0.5666666666666667,0.0,0.21,0.052941176470588235,0.03734668267187013,,
gen02_cross_003,2,heuristic_crossover,rough_evaluated,True,2,4,0.655,0.52,0.3,0.0,0.08431372549019608,0.06526931808791657,,
gen02_mut_004,2,heuristic_feedback,rough_evaluated,True,2,6,0.7516666666666666,0.5316666666666666,0.0,0.21,0.17352941176470588,0.18089154757180698,,
gen02_mut_005,2,heuristic_feedback,rough_evaluated,True,2,6,0.7783333333333333,0.5750000000000001,0.0,0.21,0.06372549019607843,0.05593297582838573,,
gen02_cross_006,2,heuristic_crossover,rough_evaluated,True,2,4,0.655,0.52,0.3,0.0,0.0696078431372549,0.05940526268966943,,
gen02_mut_007,2,heuristic_feedback,rough_evaluated,True,2,5,0.732,0.54,0.0,0.21,0.1,0.09096452511372098,,
gen03_mut_000,3,heuristic_feedback,rough_evaluated,True,2,2,0.59,0.515,0.3,0.0,0.08725490196078431,0.06621389284450631,,
gen03_mut_001,3,heuristic_feedback,rough_evaluated,True,2,6,0.75,0.5850000000000001,0.0,0.21,0.06372549019607843,0.03871120116394039,,
gen03_mut_002,3,heuristic_feedback,rough_evaluated,True,2,5,0.808,0.6020000000000001,0.0,0.21,0.07450980392156863,0.0744264754320586,,
gen03_cross_003,3,heuristic_crossover,rough_evaluated,True,2,4,0.655,0.52,0.3,0.0,0.09313725490196079,0.09150712320985376,,
gen03_mut_004,3,heuristic_feedback,rough_evaluated,True,3,6,0.725,0.4633333333333333,0.0,0.21,0.12254901960784313,0.13230803461212634,,
gen03_mut_005,3,heuristic_feedback,rough_evaluated,True,2,4,0.78,0.5525,0.0,0.21,0.10686274509803921,0.08275250648570395,,
gen03_cross_006,3,heuristic_crossover,rough_evaluated,True,2,4,0.655,0.52,0.3,0.0,0.12745098039215685,0.12410597748206613,,
gen03_mut_007,3,heuristic_feedback,rough_evaluated,True,2,6,0.7766666666666667,0.5366666666666667,0.0,0.21,0.1627450980392157,0.17328650622435599,,
