policy_id,generation,source,parent_ids,status,rough_val_accuracy,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,,rough_evaluated,0.06764705882352941,,
heuristic_init_001,0,heuristic,,rough_evaluated,0.11274509803921569,,
heuristic_init_002,0,heuristic,,rough_evaluated,0.11176470588235295,,
heuristic_init_003,0,heuristic,,rough_evaluated,0.12549019607843137,,
heuristic_init_004,0,heuristic,,rough_evaluated,0.045098039215686274,,
heuristic_init_005,0,heuristic,,rough_evaluated,0.153921568627451,,
heuristic_init_006,0,heuristic,,rough_evaluated,0.14901960784313725,,
heuristic_init_007,0,heuristic,,rough_evaluated,0.1607843137254902,,
gen01_mut_000,1,heuristic_feedback,heuristic_init_007,rough_evaluated,0.10980392156862745,,
gen01_mut_001,1,heuristic_feedback,heuristic_init_005,rough_evaluated,0.13137254901960785,,
gen01_mut_002,1,heuristic_feedback,heuristic_init_006,full_evaluated,0.2872549019607843,0.24705882352941178,0.16470588235294117
gen01_cross_003,1,heuristic_crossover,heuristic_init_007;heuristic_init_007,full_evaluated,0.2529411764705882,0.40980392156862744,0.4196078431372549
gen01_mut_004,1,heuristic_feedback,heuristic_init_005,rough_evaluated,0.043137254901960784,,
gen01_mut_005,1,heuristic_feedback,heuristic_init_006,rough_evaluated,0.17941176470588235,,
gen01_cross_006,1,heuristic_crossover,heuristic_init_007;heuristic_init_007,rough_evaluated,0.20588235294117646,,
gen01_mut_007,1,heuristic_feedback,heuristic_init_005,rough_evaluated,0.09901960784313725,,
gen02_mut_000,2,heuristic_feedback,gen01_mut_002,rough_evaluated,0.06862745098039216,,
gen02_mut_001,2,heuristic_feedback,gen01_cross_003,full_evaluated,0.21568627450980393,0.34019607843137256,0.3715686274509804
gen02_mut_002,2,heuristic_feedback,gen01_cross_006,rough_evaluated,0.052941176470588235,,
gen02_cross_003,2,heuristic_crossover,gen01_mut_002;gen01_mut_002,rough_evaluated,0.08431372549019608,,
gen02_mut_004,2,heuristic_feedback,gen01_cross_003,rough_evaluated,0.17352941176470588,,
gen02_mut_005,2,heuristic_feedback,gen01_cross_006,rough_evaluated,0.06372549019607843,,
gen02_cross_006,2,heuristic_crossover,gen01_mut_002;gen01_mut_002,rough_evaluated,0.0696078431372549,,
gen02_mut_007,2,heuristic_feedback,gen01_cross_003,rough_evaluated,0.1,,
gen03_mut_000,3,heuristic_feedback,gen01_mut_002,rough_evaluated,0.08725490196078431,,
gen03_mut_001,3,heuristic_feedback,gen01_cross_003,rough_evaluated,0.06372549019607843,,
gen03_mut_002,3,heuristic_feedback,gen02_mut_001,rough_evaluated,0.07450980392156863,,
gen03_cross_003,3,heuristic_crossover,gen01_mut_002;gen01_mut_002,rough_evaluated,0.09313725490196079,,
gen03_mut_004,3,heuristic_feedback,gen01_cross_003,rough_evaluated,0.12254901960784313,,
gen03_mut_005,3,heuristic_feedback,gen02_mut_001,rough_evaluated,0.10686274509803921,,
gen03_cross_006,3,heuristic_crossover,gen01_mut_002;gen01_mut_002,rough_evaluated,0.12745098039215685,,
gen03_mut_007,3,heuristic_feedback,gen01_cross_003,rough_evaluated,0.1627450980392157,,
