generation,source,operation,count,mean_probability,mean_magnitude
0,heuristic,Affine,3,0.6433333333333334,0.7200000000000001
0,heuristic,ColorJitter,5,0.558,0.576
0,heuristic,GaussianBlur,9,0.5344444444444444,0.49
0,heuristic,HorizontalFlip,6,0.5683333333333334,0.5083333333333333
0,heuristic,RandomErasing,1,0.79,0.31
0,heuristic,RandomResizedCrop,4,0.565,0.405
0,heuristic,Rotation,8,0.60125,0.52875
0,heuristic,VerticalFlip,1,0.49,0.36
1,heuristic_crossover,GaussianBlur,4,0.615,0.365
1,heuristic_crossover,HorizontalFlip,4,0.8200000000000001,0.48249999999999993
1,heuristic_crossover,Rotation,4,0.8625,0.785
1,heuristic_feedback,Affine,3,0.6266666666666666,0.6966666666666667
1,heuristic_feedback,ColorJitter,5,0.67,0.548
1,heuristic_feedback,GaussianBlur,9,0.43333333333333335,0.5188888888888888
1,heuristic_feedback,HorizontalFlip,5,0.6,0.6679999999999999
1,heuristic_feedback,RandomErasing,1,0.36,0.52
1,heuristic_feedback,Rotation,9,0.6866666666666666,0.5311111111111111
1,heuristic_feedback,VerticalFlip,1,0.49,0.36
2,heuristic_crossover,ColorJitter,4,0.95,0.52
2,heuristic_crossover,RandomErasing,4,0.36,0.52
2,heuristic_feedback,ColorJitter,1,0.95,0.52
2,heuristic_feedback,GaussianBlur,7,0.6842857142857143,0.42857142857142855
2,heuristic_feedback,HorizontalFlip,10,0.7849999999999999,0.44799999999999995
2,heuristic_feedback,RandomErasing,2,0.45,0.485
2,heuristic_feedback,RandomResizedCrop,1,0.58,0.34
2,heuristic_feedback,Rotation,10,0.851,0.782
3,heuristic_crossover,ColorJitter,4,0.95,0.52
3,heuristic_crossover,RandomErasing,4,0.36,0.52
3,heuristic_feedback,ColorJitter,1,0.82,0.51
3,heuristic_feedback,GaussianBlur,8,0.74125,0.49125
3,heuristic_feedback,HorizontalFlip,10,0.761,0.39
3,heuristic_feedback,RandomErasing,1,0.36,0.52
3,heuristic_feedback,Rotation,9,0.7922222222222222,0.7666666666666667
